dataset,target_name,declared_rows,source_complete_rows,fully_covered_rows,fixed_model_pass_rows,coverage_fraction_of_source_complete
nh3,CA,16,14,1,0,0.07142857142857142
nh3,CA_div_10,16,14,13,10,0.9285714285714286
nh3,CA_div_100,16,14,1,0,0.07142857142857142
p03,CA,24,24,0,0,0.0
p03,CA_div_10,24,24,19,17,0.7916666666666666
p03,CA_div_100,24,24,0,0,0.0
