system_id,formula_id,point_count,reliable_prefix_point_count,physical_minimum_gap_hartree,early_phase_gap_slope_median_hartree,early_slope_maximum_relative_error,dominant_mixing_gap_hartree,dominant_mixing_gap_over_minimum_gap,dominant_group_absolute_mixing_share,lowest_gap_group_absolute_mixing_share,minimum_reliable_normalized_phase_gap,minimum_reliable_normalized_phase_gap_time,first_phase_compression_time,first_branch_warning_time,branch_summary_first_warning_time,first_warning_due_selection_disagreement,first_warning_due_ground_overlap,first_warning_due_previous_overlap,first_warning_due_phase_gap_threshold,first_warning_ground_overlap_probability,first_warning_previous_overlap_probability,first_warning_phase_gap_radians,full_curve_minimum_phase_gap_radians,full_curve_minimum_phase_gap_time,full_curve_minimum_is_inside_reliable_prefix
H2,yoshida4,536,359,0.355278537197052,0.3552785714405301,3.920215636776803e-06,1.140197961597709,3.2093071835783555,1.0,1.7167989864838944e-31,1.0000000004513172,0.02,,3.9176676675900746,3.9176676675900746,False,True,False,False,0.8922955771534833,0.9996103122298091,1.4525973506600185,0.007105570747147907,0.02,True
H2,current_m3,536,414,0.355278537197052,0.35527853729065995,1.074014943647228e-08,1.140197961597709,3.2093071835783555,1.0,1.5224320182798526e-34,0.10777322963438284,5.346812479039768,,5.390119897568547,5.390119897568547,False,True,False,False,0.8590489874186934,0.9916168342345413,0.1679537988290252,0.007105570743949771,0.02,True
H2,two_term_center,536,415,0.355278537197052,0.3552785373562132,1.826292783668748e-08,1.140197961597709,3.2093071835783555,1.0,2.2867787757152007e-33,0.06833428603076618,5.390119897568547,5.346812479039768,5.433427316097325,5.433427316097325,False,True,False,False,0.7901794493440827,0.9730195452686825,0.09632628084908412,0.007105570743955966,0.02,True
H4,yoshida4,584,341,0.23263021512018422,0.2326303156602919,1.3616668920635178e-05,1.6148300439093695,6.9416178077946435,0.26293072546432045,2.6512780702300137e-31,0.3115324224396244,2.072885650591521,,2.1054711371088466,2.1054711371088466,False,True,False,False,0.8449965185446319,0.937047688749675,0.06531347770949791,0.00040892123707969574,4.940408464116184,False
H4,current_m3,584,358,0.23263021512018422,0.23263021539500459,3.731011344321189e-08,2.0798111338616896,8.940417016711232,0.27239264234551785,3.124714626661914e-33,0.02079266013908963,2.333569542730127,2.138056623626172,2.5942534348687327,2.5942534348687327,False,True,True,False,0.8387157510616431,0.885634514147076,0.0169825752669317,0.004652604302426332,0.02,True
H4,two_term_center,584,358,0.23263021512018422,0.2326302155875497,6.3452947784981e-08,2.0798111338616896,8.940417016711232,0.2729174651624228,1.0287927001258103e-32,0.01873007299317807,2.333569542730127,2.138056623626172,2.5942534348687327,2.5942534348687327,False,True,True,False,0.8557866282513391,0.8908322579903762,0.014093468277224465,0.002734700312008398,4.97299395063351,False
