absolute_mixing_share,degenerate_group_index,excitation_gap_hartree,excited_energy_hartree,first_state_index,formula_id,last_state_index,mixing_contribution_hartree,squared_d4_coupling,state_count,system_id
1.7167989864838944e-31,0,0.355278537197052,-0.4182636033607578,1,yoshida4,1,-3.9460938306549004e-38,1.4019624437973845e-38,1,H2
1.8647243591680912e-33,1,0.7488597041679921,-0.024682436389817708,2,yoshida4,2,-4.2861030018753145e-40,3.209689826017891e-40,1,H2
1.0,2,1.140197961597709,0.36665582103989913,3,yoshida4,3,-2.2985182666823058e-07,2.620765842366264e-07,1,H2
1.5224320182798526e-34,0,0.355278537197052,-0.4182636033607578,1,current_m3,1,-6.042635740790777e-44,2.1468187868027719e-44,1,H2
9.788488144841085e-34,1,0.7488597041679921,-0.024682436389817708,2,current_m3,2,-3.885117207345212e-43,2.909407722550511e-43,1,H2
1.0,2,1.140197961597709,0.36665582103989913,3,current_m3,3,-3.96906769447621e-10,4.525522894685093e-10,1,H2
2.2867787757152007e-33,0,0.355278537197052,-0.4182636033607578,1,two_term_center,1,-4.760255794131267e-43,1.6912167152227477e-43,1,H2
9.179283000466031e-34,1,0.7488597041679921,-0.024682436389817708,2,two_term_center,2,-1.910798523800057e-43,1.4309200172575466e-43,1,H2
1.0,2,1.140197961597709,0.36665582103989913,3,two_term_center,3,-2.081642459114776e-10,2.3734844886579097e-10,1,H2
2.6512780702300137e-31,0,0.23263021512018422,-1.602279420097768,1,yoshida4,1,-2.399614155615273e-36,5.582227572262202e-37,1,H4
6.527674468639666e-05,1,0.44689330600359045,-1.3880163292143617,2,yoshida4,2,-5.908056282016927e-10,2.6402708039258254e-10,1,H4
0.0032895695635358755,2,0.5167295624334949,-1.3181800727844573,3,yoshida4,3,-2.9773179128875827e-08,1.5384681823518068e-08,1,H4
4.9419566498128996e-31,3,0.5432494222542252,-1.291660212963727,4,yoshida4,4,-4.4728575499058256e-36,2.429877279811789e-36,1,H4
3.4884393554891477e-31,4,0.7286961653819206,-1.1062134698360315,5,yoshida4,5,-3.15731063913298e-36,2.3007201556557436e-36,1,H4
0.037826442353499176,5,0.8341120911830855,-1.0007975440348666,6,yoshida4,6,-3.423589081327369e-07,2.85565704797755e-07,1,H4
0.00031122401429581407,6,0.8815648825135551,-0.953344752704397,7,yoshida4,7,-2.8168209085924164e-09,2.4832103933449993e-09,1,H4
0.08385622371517029,7,0.9517308732502905,-0.8831787619676617,8,yoshida4,8,-7.58964454625865e-07,7.223299031670049e-07,1,H4
0.1797843159422253,8,1.0195830968018438,-0.8153265384161082,9,yoshida4,9,-1.627188767322112e-06,1.6590541624674539e-06,1,H4
