condition,evaluation_group,selected_formula,selected_time,predicted_cost,predicted_error_hartree,exact_time_direct_signed_shift_hartree,exact_time_direct_error_hartree,exact_time_direct_cost,original_same_formula_grid_best_time,original_same_formula_grid_best_cost,original_joint_grid_best_formula,original_joint_grid_best_time,original_joint_grid_best_cost,extended_joint_grid_best_formula,extended_joint_grid_best_time,extended_joint_grid_best_cost,same_formula_time_selection_regret,joint_formula_time_selection_regret,extended_grid_joint_regret,selected_time_shift_from_original_joint_best,new_direct_truth_points,anchor_recomputations,old_nearest_grid_scored_time,old_nearest_grid_selection_regret,frozen_budget_gamma_1_00,phase_estimation_error_gamma_1_00_hartree,energy_margin_gamma_1_00_hartree,success_gamma_1_00,budget_over_original_reference_gamma_1_00_minus_one,frozen_budget_gamma_1_01,phase_estimation_error_gamma_1_01_hartree,energy_margin_gamma_1_01_hartree,success_gamma_1_01,budget_over_original_reference_gamma_1_01_minus_one
N2_active_eq_sto3g,primary,current_m3,0.5983202971910435,298110124.44559836,3.0348397151007198e-05,-2.1708888669736095e-05,2.1708888669736095e-05,279399598.0082803,0.6625313450512949,273562446.926076,current_m3,0.6625313450512949,273562446.926076,current_m3,0.6625313450512949,273562446.926076,0.02133754522155451,0.02133754522155451,0.02133754522155451,0.09691775089566512,3,1,0.5984798875391262,0.021234329660755114,298110124.44559836,0.0001290116130480328,8.639508481271096e-06,True,0.08973335995256626,301091225.69005436,0.00012773427034458692,9.91685118471698e-06,True,0.10063069355209198
N2_active_stretch150_sto3g,primary,current_m3,0.8303584711475099,208603332.59679866,2.8064634326220847e-05,-8.568591745727244e-06,8.568591745727244e-06,181632703.25691193,1.2408164760332248,147957576.27790663,current_m3,1.2408164760332248,147957576.27790663,current_m3,1.2408164760332248,147957576.27790663,0.22759988252141805,0.22759988252141805,0.22759988252141805,0.33079670750174994,3,1,0.8332680282293169,0.2242747381000174,208603332.59679866,0.00013129537587281917,1.9496042580493606e-05,True,0.40988611630797434,210689365.92276666,0.00012999542165625661,2.0795996797056158e-05,True,0.42398497747105424
CO_active_eq_sto3g,primary,current_m3,0.6127481451622522,573237653.784658,2.97567078775186e-05,-1.998541374977085e-05,1.998541374977085e-05,533049026.4240849,0.6934555307359384,516598986.2848441,current_m3,0.6934555307359384,516598986.2848441,current_m3,0.6934555307359384,516598986.2848441,0.03184295861194464,0.03184295861194464,0.03184295861194464,0.11638437072963348,3,1,0.6130161952687655,0.031646667300942566,573237653.784658,0.0001296033023215214,9.771294127747736e-06,True,0.10963758931687928,578970030.3225045,0.00012832010130843703,1.1054495140832123e-05,True,0.12073396521004787
CO_active_stretch150_sto3g,primary,current_m3,0.8652659966787087,399939334.26033634,2.8587320950995892e-05,-1.5196991115748711e-05,1.5196991115748711e-05,362791668.8334559,1.0818169269343512,338482010.43392205,current_m3,1.0818169269343512,338482010.43392205,current_m3,1.0818169269343512,338482010.43392205,0.07181964668778029,0.07181964668778029,0.07181964668778029,0.2001733610041615,3,1,0.8643673153099357,0.07247418925510285,399939334.26033634,0.0001307726892480441,1.3390329835247201e-05,True,0.18156747458344435,403938727.6029397,0.00012947791014657832,1.4685108936712989e-05,True,0.1933831493292788
HF_full_eq_sto3g,stress_test,current_m3,0.148871685974198,463823391.8193374,1.0751001536769666e-06,-1.9998854262236836e-06,1.9998854262236836e-06,466549222.40975195,0.31867286821641844,217857453.1696019,current_m3,0.31867286821641844,217857453.1696019,current_m3,0.31867286821641844,217857453.1696019,1.1415343639702962,1.1415343639702962,1.1415343639702962,0.5328385287162394,3,1,0.14887081576026273,1.1415464680247585,463823391.8193374,0.00015828491004536306,-9.247852725467428e-07,False,1.1290223725247133,468461625.7375308,0.00015671773271818122,6.423920546350928e-07,True,1.1503125962499605
HF_full_stretch150_sto3g,stress_test,current_m3,0.20600464713499966,334916449.94069874,9.470274280034474e-07,-5.140509990558424e-07,5.140509990558424e-07,334003547.0930502,0.42904038927151034,160860033.9862181,current_m3,0.42904038927151034,160860033.9862181,current_m3,0.42904038927151034,160860033.9862181,1.0763612863694059,1.0763612863694059,1.0763612863694059,0.5198478924448453,3,1,0.205995582445216,1.0764596024394275,334916449.94069874,0.00015841298277103656,4.3297642894759647e-07,True,1.0820364240964486,338265614.44010574,0.00015684453739706587,2.001421802918287e-06,True,1.1028567883374132
