system_id,formula_id,group_count,s2_block_count,d4_raw_commutator_term_count,symbolic_expansion_seconds,dense_nested_commutator_d4_seconds,dense_bch_vs_f01_d4_frobenius_difference,maximum_matrix_free_action_relative_error,maximum_matrix_free_expectation_absolute_error_hartree,streaming_unique_word_count,streaming_group_action_count,streaming_peak_vector_count,cached_group_action_count,cached_peak_vector_count,cached_group_action_reuse_fraction,representative_one_term_time,direct_pf_unitary_schur_min_seconds,direct_pf_unitary_schur_median_seconds
H2,yoshida4,2,3,6,0.022374899126589298,9.244796819984913e-05,3.771403350556304e-18,2.4694565606731263e-15,1.1926223897340549e-18,30,150,3,60,62,0.6,0.42229526276576485,3.566918894648552e-05,3.9763981476426125e-05
H2,current_m3,2,7,6,0.04645250900648534,6.839795969426632e-05,6.0608745903337e-20,2.3250225350380176e-15,1.1858461261560205e-20,30,150,3,60,62,0.6,1.8470457479478768,6.080698221921921e-05,6.382004357874393e-05
H2,two_term_center,2,7,6,0.046137331053614616,8.53280071169138e-05,6.450849430515041e-20,2.977162873739322e-15,1.3552527156068805e-20,30,150,3,60,62,0.6,1.6175138794170938,6.164121441543102e-05,6.340094842016697e-05
H2,m5_best,2,11,6,0.0833647248800844,7.33579508960247e-05,1.4683298045481344e-20,1.4002702355236777e-15,2.117582368135751e-21,30,150,3,60,62,0.6,3.3929367528400936,8.696201257407665e-05,8.825003169476986e-05
