evaluation_group,condition_count,selected_count,abstention_count,scorable_execution_count,coverage,budget_1_01_accuracy_rate,unsafe_execution_count,maximum_selection_regret
primary,4,4,0,4,1.0,1.0,0,0.2242747381000174
stress_test,2,2,0,2,1.0,1.0,0,1.1415464680247585
