condition,evaluation_group,selection_status,selected_formula,selected_time,scored_time,relative_time_mapping_difference,scoring_status,truth_sources,predicted_error_hartree,direct_error_hartree,direct_cost,best_existing_direct_cost,budget_1_00_total_error_hartree,budget_1_00_met,budget_1_01_total_error_hartree,budget_1_01_met,selection_regret,unsafe_execution,abstention,new_direct_truth_points
N2_active_eq_sto3g,primary,selected,current_m3,0.5983202971910435,0.5984798875391262,0.00026673062711046747,scored_existing_truth,h01_saved_truth,3.0348397151007198e-05,2.1731686040010535e-05,279371362.1069071,273562446.926076,0.00015074329908804334,True,0.00014946595638459749,True,0.021234329660755114,False,False,0
N2_active_stretch150_sto3g,primary,selected,current_m3,0.8303584711475099,0.8332680282293169,0.00350397711699868,scored_existing_truth,h01_saved_truth,2.8064634326220847e-05,8.686995296560378e-06,181140722.9475475,147957576.27790663,0.00013998237116937955,True,0.00013868241695281697,True,0.2242747381000174,False,False,0
CO_active_eq_sto3g,primary,selected,current_m3,0.6127481451622522,0.6130161952687655,0.0004374555984048012,scored_existing_truth,h01_saved_truth,2.97567078775186e-05,2.0019850091987867e-05,532947622.5318048,516598986.2848441,0.0001496231524135093,True,0.00014833995140042493,True,0.031646667300942566,False,False,0
CO_active_stretch150_sto3g,primary,selected,current_m3,0.8652659966787087,0.8643673153099357,0.0010386186123372276,scored_existing_truth,h01_saved_truth,2.8587320950995892e-05,1.5135180769287875e-05,363013219.71755785,338482010.43392205,0.000145907870017332,True,0.0001446130909158662,True,0.07247418925510285,False,False,0
HF_full_eq_sto3g,stress_test,selected,current_m3,0.148871685974198,0.14887081576026273,5.845395849357615e-06,scored_existing_truth,p03_raw,1.0751001536769666e-06,1.9998549957362754e-06,466551859.3682301,217857453.1696019,0.0001602847650410993,False,0.0001587175877139175,True,1.1415464680247585,False,False,0
HF_full_stretch150_sto3g,stress_test,selected,current_m3,0.20600464713499966,0.205995582445216,4.400235581925038e-05,scored_existing_truth,p03_raw,9.470274280034474e-07,5.145824538489088e-07,334019362.21941525,160860033.9862181,0.00015892756522488548,True,0.00015735911985091482,True,1.0764596024394275,False,False,0
