condition,formula,formal_order,grid,noise_floor_hartree,qualified,selected_times,free_order,fixed_order_alpha,r2,excluded_by_floor,failure_reasons,source_protocol,selected_window
active_equilibrium,m5_best,4,legacy_molecular_sensitivity,5e-13,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9896546752025657,4.631221875063481e-06,0.9999931117017221,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9896546752025657, ""free_alpha"": 4.460098814302045e-06, ""r2"": 0.9999931117017221, ""fixed_order_alpha"": 4.631221875063481e-06, ""order_deviation"": 0.01034532479743433}"
active_equilibrium,m5_best,4,legacy_molecular_sensitivity,5e-12,True,"[0.034507053373351075, 0.039548256806109475, 0.0453259395834091, 0.051947695424124994, 0.059536836625564964]",4.001704353940608,4.617017322968398e-06,0.9999998875925487,"[{""time"": 0.02, ""error_hartree"": 7.417677583276827e-13}, {""time"": 0.02292183941538839, ""error_hartree"": 1.2847426942713924e-12}, {""time"": 0.026270536109242643, ""error_hartree"": 2.2012775664223013e-12}, {""time"": 0.030108450502611094, ""error_hartree"": 3.8035668750257815e-12}]",[],legacy_molecular_sensitivity,"{""start_index"": 4, ""stop_index_exclusive"": 9, ""t_start"": 0.034507053373351075, ""t_stop"": 0.059536836625564964, ""num_points"": 5, ""free_order"": 4.001704353940608, ""free_alpha"": 4.64142743097256e-06, ""r2"": 0.9999998875925487, ""fixed_order_alpha"": 4.617017322968398e-06, ""order_deviation"": 0.0017043539406076391}"
active_equilibrium,two_term_center,4,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9994553101741332,8.942022527502102e-05,0.9999999992383823,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9994553101741332, ""free_alpha"": 8.930129682781064e-05, ""r2"": 0.9999999992383823, ""fixed_order_alpha"": 8.942022527502102e-05, ""order_deviation"": 0.000544689825866751}"
active_equilibrium,two_term_center,4,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9994553101741332,8.942022527502102e-05,0.9999999992383823,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9994553101741332, ""free_alpha"": 8.930129682781064e-05, ""r2"": 0.9999999992383823, ""fixed_order_alpha"": 8.942022527502102e-05, ""order_deviation"": 0.000544689825866751}"
active_equilibrium,two_term_center,4,legacy_molecular_sensitivity,5e-13,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9991089286423454,8.945265512637892e-05,0.9999999690050503,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9991089286423454, ""free_alpha"": 8.91630405262076e-05, ""r2"": 0.9999999690050503, ""fixed_order_alpha"": 8.945265512637892e-05, ""order_deviation"": 0.0008910713576546492}"
active_equilibrium,two_term_center,4,legacy_molecular_sensitivity,5e-12,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9991089286423454,8.945265512637892e-05,0.9999999690050503,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9991089286423454, ""free_alpha"": 8.91630405262076e-05, ""r2"": 0.9999999690050503, ""fixed_order_alpha"": 8.945265512637892e-05, ""order_deviation"": 0.0008910713576546492}"
active_equilibrium,joint_refine_r0_s0046,4,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.998580000956176,0.0020588325513750476,0.99999999417555,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.998580000956176, ""free_alpha"": 0.002051701631194346, ""r2"": 0.99999999417555, ""fixed_order_alpha"": 0.0020588325513750476, ""order_deviation"": 0.0014199990438239496}"
active_equilibrium,joint_refine_r0_s0046,4,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.998580000956176,0.0020588325513750476,0.99999999417555,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.998580000956176, ""free_alpha"": 0.002051701631194346, ""r2"": 0.99999999417555, ""fixed_order_alpha"": 0.0020588325513750476, ""order_deviation"": 0.0014199990438239496}"
active_equilibrium,joint_refine_r0_s0046,4,legacy_molecular_sensitivity,5e-13,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9998517893712062,0.002060246409564844,0.9999999999319622,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9998517893712062, ""free_alpha"": 0.002059135445222408, ""r2"": 0.9999999999319622, ""fixed_order_alpha"": 0.002060246409564844, ""order_deviation"": 0.00014821062879377678}"
active_equilibrium,joint_refine_r0_s0046,4,legacy_molecular_sensitivity,5e-12,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9998517893712062,0.002060246409564844,0.9999999999319622,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9998517893712062, ""free_alpha"": 0.002059135445222408, ""r2"": 0.9999999999319622, ""fixed_order_alpha"": 0.002060246409564844, ""order_deviation"": 0.00014821062879377678}"
active_equilibrium,yoshida6_m3,6,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",5.997204800587757,0.0011819792033468445,0.99999998687593,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 5.997204800587757, ""free_alpha"": 0.0011739341280572065, ""r2"": 0.99999998687593, ""fixed_order_alpha"": 0.0011819792033468445, ""order_deviation"": 0.0027951994122430435}"
active_equilibrium,yoshida6_m3,6,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",5.997204800587757,0.0011819792033468445,0.99999998687593,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 5.997204800587757, ""free_alpha"": 0.0011739341280572065, ""r2"": 0.99999998687593, ""fixed_order_alpha"": 0.0011819792033468445, ""order_deviation"": 0.0027951994122430435}"
