formal_order,correct_time,legacy_tdepth_time,legacy_over_correct_time_ratio,expected_ratio,per_rotation_t_depth_underestimate,qpe_iteration_factor_affected,total_rz_layer_count_affected,rotation_synthesis_t_depth_affected
2,0.7288347096542535,2.1865041289627603,3.0,3.0,4.754887502163468,False,False,True
4,0.751367379199928,1.6801085359669006,2.23606797749979,2.23606797749979,3.482892142331044,False,False,True
6,0.7814122551777771,1.4947878695300651,1.9129311827723892,1.912931182772389,2.8073549220576046,False,False,True
8,0.8054101621009789,1.395011321691181,1.7320508075688774,1.7320508075688772,2.3774437510817346,False,False,True
10,0.8243253703396677,1.331610476731686,1.615394266202178,1.615394266202178,2.0756589711823787,False,False,True
