system_id,state_id,state_provenance,subspace_dimension,full_sector_dimension,state_generation_seconds,normalization,energy_expectation_hartree,energy_error_hartree,energy_variance_hartree_squared,energy_residual_norm_hartree,exact_state_overlap_probability
H2,exact,stored F01 exact ground state; original FCI-only timing unavailable,4,4,,1.0,-0.7735421405578095,2.3314683517128287e-15,5.573124280103955e-32,2.360746551433244e-16,1.0
H2,hf,lowest-orbital occupied reference determinant,1,4,1.5820842236280441e-06,1.0,-0.738500459643127,0.035041680914684736,0.03872653374855178,0.1967905834854701,0.969267020206228
H2,cisd,lowest eigenstate in reference+single+double determinant subspace,4,4,9.429804049432278e-05,1.0,-0.7735421405578096,2.220446049250313e-15,1.825249119546072e-32,1.3510178087449744e-16,1.0000000000000004
H4,exact,stored F01 exact ground state; original FCI-only timing unavailable,36,36,,1.0,-1.8349096352179524,3.1086244689504383e-15,2.1397943833792425e-30,1.4628036038304125e-15,1.0
H4,hf,lowest-orbital occupied reference determinant,1,36,1.2761447578668594e-06,1.0,-1.7670681235809087,0.06784151163704677,0.08001674461394703,0.28287231150104997,0.9364638563852806
H4,cisd,lowest eigenstate in reference+single+double determinant subspace,27,36,0.000227401964366436,1.0,-1.8335540278267137,0.0013556073912417421,0.0036282414121280677,0.060234885341702675,0.9994668439213916
