formula_id,point_role,relative_to_proxy_t_ana,time_hartree_inverse,echo_real,echo_imaginary,echo_overlap_magnitude,echo_principal_phase_radians,echo_unwrapped_phase_radians,echo_unwrap_integer,proxy_imag_hartree,proxy_arg_hartree,unitarity_residual_frobenius,proxy_repeatability_error_hartree,proxy_noise_hartree,signal_to_noise_rho,quality_class
yoshida4,leading_grid,,0.02,1.0000000000000002,-1.4932996103882894e-11,1.0000000000000002,-1.493299610388289e-11,-1.493299610388289e-11,0,-7.466498051941446e-10,-7.466498051941445e-10,2.407686966357139e-13,0.0,1.2038434831785695e-11,62.022166139299685,marginal
yoshida4,leading_grid,,0.02292183941538839,0.9999999999999996,-2.9527942822241267e-11,0.9999999999999996,-2.952794282224128e-11,-2.952794282224128e-11,0,-1.288201277704525e-09,-1.2882012777045255e-09,2.4167633930915653e-13,0.0,1.0543496746901956e-11,122.17970077934943,resolved
yoshida4,leading_grid,,0.026270536109242643,0.9999999999999993,-5.838684498933074e-11,0.9999999999999993,-5.838684498933078e-11,-5.838684498933078e-11,0,-2.222522020355297e-09,-2.2225220203552983e-09,2.391247978275725e-13,0.0,9.102395049465408e-12,244.16892568135987,resolved
yoshida4,leading_grid,,0.030108450502611094,0.9999999999999994,-1.1544946571095487e-10,0.9999999999999994,-1.1544946571095493e-10,-1.1544946571095493e-10,0,-3.834453908577685e-09,-3.834453908577687e-09,2.3986460398638293e-13,0.0,7.966687092236154e-12,481.3109720745163,resolved
yoshida4,leading_grid,,0.034507053373351075,0.9999999999999986,-2.2827744638552999e-10,0.9999999999999986,-2.2827744638553032e-10,-2.2827744638553032e-10,0,-6.615385089989251e-09,-6.61538508998926e-09,2.402414598683328e-13,0.0,6.962097205722734e-12,950.2000466973527,resolved
yoshida4,leading_grid,,0.039548256806109475,0.9999999999999991,-4.5136261287322476e-10,0.9999999999999991,-4.5136261287322517e-10,-4.5136261287322517e-10,0,-1.1412958479714776e-08,-1.1412958479714788e-08,2.3925400255350095e-13,0.0,6.049672523531824e-12,1886.541533499708,resolved
yoshida4,leading_grid,,0.0453259395834091,0.9999999999999993,-8.924365144078576e-10,0.9999999999999993,-8.924365144078583e-10,-8.924365144078583e-10,0,-1.968931085842335e-08,-1.9689310858423365e-08,2.381431450952737e-13,0.0,5.254014528635222e-12,3747.479332444448,resolved
yoshida4,leading_grid,,0.051947695424124994,0.9999999999999996,-1.764471758496509e-09,0.9999999999999996,-1.7644717584965099e-09,-1.7644717584965099e-09,0,-3.396631446478128e-08,-3.3966314464781294e-08,2.417329304008055e-13,0.0,4.653390846835189e-12,7299.261029810566,resolved
yoshida4,leading_grid,,0.059536836625564964,0.9999999999999978,-3.488457012662587e-09,0.9999999999999978,-3.488457012662595e-09,-3.488457012662595e-09,0,-5.859325436791267e-08,-5.85932543679128e-08,2.417618316572015e-13,0.0,4.060710063883199e-12,14429.312471494402,resolved
yoshida4,leading_grid,,0.06823469042157068,0.9999999999999984,-6.89647744103181e-09,0.9999999999999984,-6.8964774410318205e-09,-6.8964774410318205e-09,0,-1.0106996013939065e-07,-1.010699601393908e-07,2.4227982347255027e-13,0.0,3.5506839992339086e-12,28464.92680317296,resolved
yoshida4,leading_grid,,0.07820323082009921,0.9999999999999998,-1.3632919217630939e-08,0.9999999999999999,-1.363291921763094e-08,-1.363291921763094e-08,0,-1.7432680305743976e-07,-1.743268030574398e-07,2.3968290002945826e-13,0.0,3.0648720969192588e-12,56878.98142068284,resolved
yoshida4,leading_grid,,0.08962809493114333,0.9999999999999977,-2.6946837910759813e-08,0.999999999999998,-2.694683791075987e-08,-2.694683791075987e-08,0,-3.0065168663309965e-07,-3.006516866331003e-07,2.3996687242668696e-13,0.0,2.6773621888431433e-12,112293.99140913681,resolved
yoshida4,leading_grid,,0.10272203995594266,0.9999999999999959,-5.32562738883301e-08,0.9999999999999973,-5.3256273888330265e-08,-5.3256273888330265e-08,0,-5.184503141796215e-07,-5.18450314179623e-07,2.3920264144621757e-13,0.0,2.328639905796373e-12,222640.82690033448,resolved
