experiment_id,case_id,formula_id,state_id,model_id,selection_active,signal_quality_gate_passed,stable,status,powers,coefficients,scaled_design_condition_number,maximum_absolute_residual_hartree,lambda
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-0.004649815526524773, 0.000979864410562649]",12.374975648872603,7.040277891307771e-11,
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-0.00012523146282661523, -4.183313358140463e-05]",15.450014763789298,4.714047692865602e-12,
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-0.004794710829511192, 0.0009432249214492129]",12.374975648872603,2.259253837477845e-11,
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-0.004794710829511194, 0.0009432249214492305]",12.374975648872603,2.2592538371390318e-11,
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[3.076232905947022e-18, -4.9633312059952186e-17]",15.450014763789298,3.605565063314931e-22,
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-0.004369695223852078, 0.0015032659049147444]",12.374975648872603,2.848870022062488e-09,
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-0.004404007722138048, 0.0009418531174831491]",12.374975648872603,6.712493865392998e-11,
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0002743106448225779, 9.163251513930562e-05]",15.450014763789298,1.032580202835213e-11,
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-0.004013304614768493, 0.0009404813135605248]",12.374975648872603,1.5684241790186472e-10,
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-0.004013304614768493, 0.0009404813135605248]",12.374975648872603,1.5684241790186472e-10,
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-0.004438320220424013, 0.0003804403300515184]",12.374975648872603,2.7222159016460337e-09,
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-0.004404007722138048, 0.0009418531174831491]",12.374975648872603,6.712493865392998e-11,
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-0.0002743106448225779, -9.163251513930562e-05]",15.450014763789298,1.032580202835213e-11,
B,H4,current_m3,rhf,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-4.948531839176148e-05, 1.8835382366805263e-05]",12.374975648872603,2.7068767492675037e-12,
B,H4,current_m3,rhf,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-4.948531839176148e-05, 1.8835382366805263e-05]",12.374975648872603,2.7068767492675037e-12,
B,H4,current_m3,rhf,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,current_m3,cisd,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.3585340429549149e-05, -7.761740969642211e-08]",12.374975648872603,3.059137741419819e-13,
B,H4,current_m3,cisd,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.3585340429549149e-05, -7.761740969642211e-08]",12.374975648872603,3.059137741419819e-13,
B,H4,current_m3,cisd,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,current_m3,controlled_q0.001_phi0.000000000000,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.1743449558221196e-05, 1.0900789652419401e-06]",12.374975648872603,3.5924232666189685e-13,
B,H4,current_m3,controlled_q0.001_phi0.000000000000,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.1743449558221185e-05, 1.0900789652417171e-06]",12.374975648872603,3.592423266817492e-13,
B,H4,current_m3,controlled_q0.001_phi0.000000000000,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-3.83307600806482e-20, 5.709967894854065e-19]",15.450014763789298,1.1574529220818442e-23,
B,H4,current_m3,controlled_q0.001_phi1.570796326795,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.277352539104368e-05, 2.1515951294974647e-07]",12.374975648872603,1.3462156964591858e-12,
B,H4,current_m3,controlled_q0.001_phi1.570796326795,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.2783379794603252e-05, 4.069279134186131e-07]",12.374975648872603,2.6104935651105608e-14,
B,H4,current_m3,controlled_q0.001_phi1.570796326795,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[3.2984021308903615e-08, -6.422181652864646e-07]",15.450014763789298,3.867029567986714e-14,
B,H4,current_m3,controlled_q0.001_phi3.141592653590,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.3823310031780474e-05, -2.762231281239283e-07]",12.374975648872603,4.1145114520803375e-13,
B,H4,current_m3,controlled_q0.001_phi3.141592653590,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.3823310031780474e-05, -2.762231281239283e-07]",12.374975648872603,4.1145114520803375e-13,
B,H4,current_m3,controlled_q0.001_phi3.141592653590,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,current_m3,controlled_q0.001_phi4.712388980385,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.2793234198162825e-05, 5.986963138875227e-07]",12.374975648872603,1.3951504654451423e-12,
B,H4,current_m3,controlled_q0.001_phi4.712388980385,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.2783379794603252e-05, 4.069279134186131e-07]",12.374975648872603,2.6104935651105608e-14,
B,H4,current_m3,controlled_q0.001_phi4.712388980385,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-3.2984021308903615e-08, 6.422181652864646e-07]",15.450014763789298,3.867029567986714e-14,
B,H4,current_m3,controlled_q0.010_phi0.000000000000,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-8.691276343117414e-06, 2.2800472807305856e-06]",12.374975648872603,1.155600208275256e-12,
B,H4,current_m3,controlled_q0.010_phi0.000000000000,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-8.691276343117411e-06, 2.2800472807305767e-06]",12.374975648872603,1.155600208275256e-12,
B,H4,current_m3,controlled_q0.010_phi0.000000000000,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-1.4547525628109366e-20, 6.823612711444153e-20]",15.450014763789298,5.4361469990362016e-24,
B,H4,current_m3,controlled_q0.010_phi1.570796326795,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.1933956032866894e-05, -4.741999689233312e-07]",12.374975648872603,4.260789051510194e-12,
B,H4,current_m3,controlled_q0.010_phi1.570796326795,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.1964977704214134e-05, 1.2948713323201223e-07]",12.374975648872603,5.747625964192714e-14,
B,H4,current_m3,controlled_q0.010_phi1.570796326795,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[1.038337311611851e-07, -2.0217034039237345e-06]",15.450014763789298,1.2173068900808084e-13,
B,H4,current_m3,controlled_q0.010_phi3.141592653590,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.5238679066198738e-05, -2.0210729917014246e-06]",12.374975648872603,1.2705435645353579e-12,
B,H4,current_m3,controlled_q0.010_phi3.141592653590,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.5238679066198738e-05, -2.0210729917014246e-06]",12.374975648872603,1.2705435645353579e-12,
B,H4,current_m3,controlled_q0.010_phi3.141592653590,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,current_m3,controlled_q0.010_phi4.712388980385,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.1995999375561377e-05, 7.331742353873814e-07]",12.374975648872603,4.369047270297944e-12,
B,H4,current_m3,controlled_q0.010_phi4.712388980385,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.1964977704214134e-05, 1.2948713323201223e-07]",12.374975648872603,5.747625964192714e-14,
B,H4,current_m3,controlled_q0.010_phi4.712388980385,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-1.038337311611851e-07, 2.0217034039237345e-06]",15.450014763789298,1.2173068900808084e-13,
B,H4,current_m3,controlled_q0.050_phi0.000000000000,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.1568242374193629e-06, 3.6070666178266856e-06]",12.374975648872603,2.4602662415284627e-12,
B,H4,current_m3,controlled_q0.050_phi0.000000000000,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.156824237419354e-06, 3.6070666178265556e-06]",12.374975648872603,2.460266241534253e-12,
B,H4,current_m3,controlled_q0.050_phi0.000000000000,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-3.915529507920638e-20, 5.399129058254217e-19]",15.450014763789298,4.895026194796743e-24,
B,H4,current_m3,controlled_q0.050_phi1.570796326795,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-8.259684311740108e-06, -2.425916737965861e-06]",12.374975648872603,9.26562662879903e-12,
B,H4,current_m3,controlled_q0.050_phi1.570796326795,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-8.327635086374317e-06, -1.1035829039640847e-06]",12.374975648872603,1.96873711424138e-13,
B,H4,current_m3,controlled_q0.050_phi1.570796326795,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[2.2744044064997368e-07, -4.4283981449399125e-06]",15.450014763789298,2.666484874235882e-13,
B,H4,current_m3,controlled_q0.050_phi3.141592653590,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.5498445924405694e-05, -5.814232542524204e-06]",12.374975648872603,2.854029765574748e-12,
B,H4,current_m3,controlled_q0.050_phi3.141592653590,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.5498445924405694e-05, -5.814232542524204e-06]",12.374975648872603,2.854029765574748e-12,
B,H4,current_m3,controlled_q0.050_phi3.141592653590,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,current_m3,controlled_q0.050_phi4.712388980385,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-8.395585861008529e-06, 2.1875093003766603e-07]",12.374975648872603,9.637447732723577e-12,
B,H4,current_m3,controlled_q0.050_phi4.712388980385,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-8.327635086374317e-06, -1.1035829039640847e-06]",12.374975648872603,1.96873711424138e-13,
B,H4,current_m3,controlled_q0.050_phi4.712388980385,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-2.2744044064997368e-07, 4.4283981449399125e-06]",15.450014763789298,2.666484874235882e-13,
B,H4,two_term_center,rhf,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-4.785670859864305e-05, 1.4408539482004262e-05]",12.374975648872603,2.1372772436737635e-12,
B,H4,two_term_center,rhf,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-4.785670859864305e-05, 1.4408539482004262e-05]",12.374975648872603,2.1372772436737635e-12,
B,H4,two_term_center,rhf,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,two_term_center,cisd,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-2.2335811060882445e-05, 1.6528905263987828e-07]",12.374975648872603,2.3299317702866895e-13,
B,H4,two_term_center,cisd,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-2.2335811060882445e-05, 1.6528905263987828e-07]",12.374975648872603,2.3299317702866895e-13,
B,H4,two_term_center,cisd,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,two_term_center,controlled_q0.001_phi0.000000000000,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-2.1128886285198052e-05, 1.1418030515655342e-06]",12.374975648872603,2.954310258687754e-13,
B,H4,two_term_center,controlled_q0.001_phi0.000000000000,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-2.1128886285198045e-05, 1.141803051565294e-06]",12.374975648872603,2.9543102590848006e-13,
B,H4,two_term_center,controlled_q0.001_phi0.000000000000,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-7.025383951186069e-20, 9.592465914494083e-19]",15.450014763789298,5.350299432178713e-24,
B,H4,two_term_center,controlled_q0.001_phi1.570796326795,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-2.1782446154618593e-05, 6.07168043478291e-07]",12.374975648872603,2.142347668651496e-12,
B,H4,two_term_center,controlled_q0.001_phi1.570796326795,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-2.1802996970190145e-05, 5.711405783400074e-07]",12.374975648872603,1.0675469517322423e-14,
B,H4,two_term_center,controlled_q0.001_phi1.570796326795,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[1.253431331887499e-07, -5.136766390042591e-07]",15.450014763789298,3.101324361269927e-14,
B,H4,two_term_center,controlled_q0.001_phi3.141592653590,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-2.2477107657521148e-05, 4.781327218207844e-10]",12.374975648872603,3.1678134839578353e-13,
B,H4,two_term_center,controlled_q0.001_phi3.141592653590,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-2.2477107657521148e-05, 4.781327218207844e-10]",12.374975648872603,3.1678134839578353e-13,
B,H4,two_term_center,controlled_q0.001_phi3.141592653590,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,two_term_center,controlled_q0.001_phi4.712388980385,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-2.1823547785761685e-05, 5.351131132015865e-07]",12.374975648872603,2.1629816842687255e-12,
B,H4,two_term_center,controlled_q0.001_phi4.712388980385,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-2.1802996970190145e-05, 5.711405783400074e-07]",12.374975648872603,1.0675469517322423e-14,
