condition,direct_grid_minimum_cost,direct_grid_minimum_time,display_name,eta_min,eta_star,eta_t,final_passed,formal_order,formula,local_minimum_bracketed,maximum_eigenpair_residual_2_norm,maximum_unseen_residual_over_epsilon,metric_source,minimum_adjacent_vector_overlap_probability,minimum_ground_overlap_probability,model,rotations,s2_stage_count,stable_analytic_model,stage2_reasons,stage2_selected,status,training_design_condition_number
active_equilibrium,645538001.0936115,0.78126117401147,two_term_center,5.0701012395348855e-05,0.0038542522772407307,0.00990099009900991,True,4,two_term_center,,1.2231050152481031e-14,0.005775111045849331,stage2_fine_grid,,0.9999999829111618,direct_refit_one_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_equilibrium,645513410.878616,0.7781228777008697,two_term_center,0.0,5.4136995637367946e-05,0.0,True,4,two_term_center,,1.3472437163421367e-14,0.00010453675066658602,stage2_fine_grid,,0.9999999820005091,two_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,29.20924143389023
active_equilibrium,645513391.8874203,0.7782001375805006,two_term_center,0.0,7.429643801819348e-06,0.0,True,4,two_term_center,,1.3452726251822196e-14,1.772423054178671e-05,stage2_fine_grid,,0.9999999819848294,three_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,875.1029252869498
active_equilibrium,1417570077.945627,0.3526732700068185,joint_refine_r0_s0046,0.0,0.0026823539398109554,0.0,True,4,joint_refine_r0_s0046,,7.598026694075322e-15,0.0038022564574337857,stage2_fine_grid,,0.9999999998548608,short_time_asymptotic_one_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_equilibrium,1417555386.565763,0.35288487396882257,joint_refine_r0_s0046,0.0,0.002070892735386246,0.0,True,4,joint_refine_r0_s0046,,5.37850037820557e-15,0.0030884881880885026,stage2_fine_grid,,0.9999999998541556,direct_refit_one_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_equilibrium,1417519226.0074914,0.3540310620963448,joint_refine_r0_s0046,0.0,7.383600912395004e-06,0.0,True,4,joint_refine_r0_s0046,,5.756803152425958e-15,1.3745673314702324e-05,stage2_fine_grid,,0.9999999998502898,two_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,29.20924143389023
active_equilibrium,1417519224.9905045,0.3540134284328444,joint_refine_r0_s0046,0.0,5.46204272707544e-07,0.0,True,4,joint_refine_r0_s0046,,7.457711056982453e-15,1.0164422486197584e-06,stage2_fine_grid,,0.9999999998503564,three_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,875.1029252869498
active_equilibrium,896628816.387588,0.5228945141190394,Yoshida 6th m=3,0.0003479760851876623,0.007536362137085058,0.00990099009900991,True,6,yoshida6_m3,,9.275845226038032e-15,0.013842220944082344,stage2_fine_grid,,0.9999999999676696,short_time_asymptotic_one_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_equilibrium,896635109.975883,0.5237834347930418,Yoshida 6th m=3,0.00023569117753208246,0.005910599921187688,0.00990099009900991,True,6,yoshida6_m3,,1.0615049675581243e-14,0.011406082466910772,stage2_fine_grid,,0.9999999999670051,direct_refit_one_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_equilibrium,896628808.438241,0.5231533727893953,Yoshida 6th m=3,0.0,0.00013603445299222825,0.0,True,6,yoshida6_m3,,9.09974891530622e-15,0.000327918995709227,stage2_fine_grid,,0.9999999999633704,two_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,45.796552584992625
active_equilibrium,896628623.8038198,0.5230239434542174,Yoshida 6th m=3,0.0,1.0198119883950372e-05,0.0,True,6,yoshida6_m3,,1.1073373695905483e-14,2.513922368981818e-05,stage2_fine_grid,,0.9999999999634785,three_term,53256,7,True,['all_four_coarse_checks_passed'],True,complete,2269.047884079149
active_equilibrium,,,,,,,False,,morales_y8m10b,,,,,,,,,,,,,short_time_fit_failed,
active_stretch150,694325579.8923788,0.3098677213910281,Yoshida 4th,0.00022701746483266838,0.006703107930016989,0.009900990099009799,True,4,yoshida4,,9.855852597820965e-15,0.009463451750676892,stage2_fine_grid,,0.9999999746911533,short_time_asymptotic_one_term,22788,3,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_stretch150,694331004.2869724,0.31034801635918413,Yoshida 4th,0.00015294315326386254,0.005192310025334232,0.009900990099009799,True,4,yoshida4,,1.0380895146274841e-14,0.007708775630930466,stage2_fine_grid,,0.9999999743794349,direct_refit_one_term,22788,3,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_stretch150,694325579.8923788,0.3098677213910281,Yoshida 4th,0.0,0.00012101231105761063,0.0,True,4,yoshida4,,7.907999822605338e-15,0.00022348004643286848,stage2_fine_grid,,0.9999999726206028,two_term,22788,3,True,['all_four_coarse_checks_passed'],True,complete,29.20924143389023
active_stretch150,694325475.1855178,0.3097910214599907,Yoshida 4th,0.0,5.234051751056977e-07,0.0,True,4,yoshida4,,8.514926982733098e-15,2.095054257107049e-06,stage2_fine_grid,,0.9999999726741193,three_term,22788,3,True,['all_four_coarse_checks_passed'],True,complete,875.1029252869498
active_stretch150,389581686.1361396,0.9352559429951393,paper 4th(new_2),0.0034214395297551548,0.024808238535268867,0.04761904761904767,False,4,paper_new4,True,1.91901622985704e-14,0.04582670939870593,stage1_coarse_grid_not_selected_for_stage2,0.9999999958699013,0.9999998601115831,short_time_asymptotic_one_term,37910,5,True,[],False,complete,1.0
active_stretch150,389704348.42129076,0.9408674786531102,paper 4th(new_2),0.002158771624622302,0.01966697758992988,0.04761904761904767,False,4,paper_new4,True,1.3671521398493893e-14,0.03903893206989115,stage1_coarse_grid_not_selected_for_stage2,0.9999999956460244,0.9999998528143822,direct_refit_one_term,37910,5,True,[],False,complete,1.0
active_stretch150,389522505.85368776,0.9279965754376055,paper 4th(new_2),0.0,0.00012755210310773517,0.0,True,4,paper_new4,,1.7603539401525255e-14,0.00020933902262054618,stage2_fine_grid,,0.9999998641553767,two_term,37910,5,True,['all_four_coarse_checks_passed'],True,complete,29.20924143389023
active_stretch150,389522455.9464308,0.9276402874593217,paper 4th(new_2),0.0,4.8397922452935595e-05,0.0,True,4,paper_new4,,1.3365893820478613e-14,0.00011200209260875235,stage2_fine_grid,,0.9999998645975515,three_term,37910,5,True,['all_four_coarse_checks_passed'],True,complete,875.1029252869498
active_stretch150,241574031.00193983,2.7101865802384153,4th(m5_best),0.09436430266504403,0.2034085615784208,0.09090909090909094,False,4,m5_best,,1.7035975170388397e-13,0.25061445186393605,stage2_fine_grid,,0.8507474848952133,short_time_asymptotic_one_term,83276,11,True,['isolated_coarse_grid_cost_drop'],True,complete,1.0
active_stretch150,255116038.07837698,2.7250384026981216,4th(m5_best),0.0847389671602281,0.12256935496608398,0.07407407407407407,False,4,m5_best,,1.7520558009021384e-13,0.4705735177752637,stage2_fine_grid,,0.9628762290064752,direct_refit_one_term,83276,11,True,['isolated_coarse_grid_cost_drop'],True,complete,1.0
active_stretch150,240713794.19630936,4.526036227057974,4th(m5_best),29.412212349385026,0.978235239373629,0.13043478260869557,False,4,m5_best,False,1.9739507483256172e-13,7.884961172548136,stage1_coarse_grid_not_selected_for_stage2,0.20351501544223818,0.4474457608318793,two_term,83276,11,True,[],False,complete,29.20924143389023
active_stretch150,189101083.78258795,3.3188920223539817,4th(m5_best),0.6320125161359518,0.3999922423083526,0.020408163265306145,False,4,m5_best,,2.212043197250812e-13,6.115196387374041,stage2_fine_grid,,0.6252944687957067,three_term,83276,11,True,['isolated_coarse_grid_cost_drop'],True,complete,875.1029252869498
active_stretch150,364451353.42239857,1.4089241277751794,current_m3,0.0013642381773235623,0.01934210622494455,0.04761904761904756,False,4,current_m3,True,1.172263446220912e-14,0.03626057593124415,stage1_coarse_grid_not_selected_for_stage2,0.9999999602751428,0.9999995380377827,short_time_asymptotic_one_term,53032,7,True,[],False,complete,1.0
active_stretch150,364616405.5991457,1.4153347325565566,current_m3,0.00034395736807857347,0.015321590367341374,0.04761904761904756,False,4,current_m3,True,1.786378389106688e-14,0.030911225828006626,stage1_coarse_grid_not_selected_for_stage2,0.9999999513125329,0.999999499854746,direct_refit_one_term,53032,7,True,[],False,complete,1.0
active_stretch150,364171671.4853078,1.3829596688490369,current_m3,0.0,0.000307214308901127,0.0,True,4,current_m3,,1.0596211870789908e-14,0.000723210967959222,stage2_fine_grid,,0.9999996262463721,two_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,29.20924143389023
active_stretch150,364171347.6487074,1.3833622185998298,current_m3,0.0,0.00018289457428032936,0.0,True,4,current_m3,,1.28989218396752e-14,0.0004955681479052213,stage2_fine_grid,,0.9999996247733841,three_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,875.1029252869498
active_stretch150,419712387.978559,1.174920840852668,two_term_center,0.0,0.012254045211459926,0.0,False,4,two_term_center,True,8.566320943071266e-15,0.022487698077170288,stage1_coarse_grid_not_selected_for_stage2,0.999999997375498,0.9999999206595196,short_time_asymptotic_one_term,53032,7,True,[],False,complete,1.0
active_stretch150,419406085.44730157,1.2020744364056137,two_term_center,0.0004946530275327099,0.009418651845693028,0.019607843137254832,True,4,two_term_center,,1.4009721801051368e-14,0.014000826044982087,stage2_fine_grid,,0.999999945136329,direct_refit_one_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_stretch150,419384836.5923325,1.1970680987027407,two_term_center,0.0,0.0002014553652782258,0.0,True,4,two_term_center,,1.5328685056392305e-14,0.0003578799022136724,stage2_fine_grid,,0.999999937004859,two_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,29.20924143389023
active_stretch150,419384683.994181,1.1964806382823145,two_term_center,0.0,2.6131625369728632e-05,0.0,True,4,two_term_center,,1.409520544339225e-14,6.263557111127581e-05,stage2_fine_grid,,0.9999999372787759,three_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,875.1029252869498
active_stretch150,922581557.5909358,0.5417465625298136,joint_refine_r0_s0046,0.0003440045791616164,0.008372476783779637,0.00990099009900991,True,4,joint_refine_r0_s0046,,9.75199328281235e-15,0.011802425533203747,stage2_fine_grid,,0.9999999748953704,short_time_asymptotic_one_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_stretch150,922570247.4703544,0.5428300556548732,joint_refine_r0_s0046,0.00025008732301690095,0.0064636707728286,0.00990099009900991,True,4,joint_refine_r0_s0046,,9.649275018429075e-15,0.009590281860350524,stage2_fine_grid,,0.9999999744960549,direct_refit_one_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_stretch150,922570392.3513646,0.5431679767780354,joint_refine_r0_s0046,0.0,0.0001709202118111803,0.0,True,4,joint_refine_r0_s0046,,1.263184676188931e-14,0.0003148162983089724,stage2_fine_grid,,0.999999972275244,two_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,29.20924143389023
active_stretch150,922570097.5936056,0.5429534236839643,joint_refine_r0_s0046,0.0,5.018196613915518e-06,0.0,True,4,joint_refine_r0_s0046,,1.5100629900185865e-14,1.130125555261457e-05,stage2_fine_grid,,0.9999999723615887,three_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,875.1029252869498
active_stretch150,615844167.4566216,0.7570516363380005,Yoshida 6th m=3,0.0004609740220467007,0.008815111459586583,0.00990099009900991,True,6,yoshida6_m3,,2.0304084069496786e-14,0.016110215354177455,stage2_fine_grid,,0.9999999976617175,short_time_asymptotic_one_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_stretch150,615835838.3248597,0.7587171499379441,Yoshida 6th m=3,0.0003177606001807387,0.00675521755956718,0.00990099009900991,True,6,yoshida6_m3,,1.2284347017078284e-14,0.013029955604385914,stage2_fine_grid,,0.9999999976011333,direct_refit_one_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,1.0
active_stretch150,615835976.5782794,0.7588130931156187,Yoshida 6th m=3,0.0,0.00017490094687622296,0.0,True,6,yoshida6_m3,,1.2313864618902382e-14,0.0004184843330984355,stage2_fine_grid,,0.999999997302683,two_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,45.796552584992625
active_stretch150,615835758.6424493,0.7585507484891649,Yoshida 6th m=3,0.0,6.4532859981185346e-06,0.0,True,6,yoshida6_m3,,1.445869052539639e-14,1.901499114514224e-05,stage2_fine_grid,,0.9999999973135159,three_term,53032,7,True,['all_four_coarse_checks_passed'],True,complete,2269.047884079149
active_stretch150,272902973.3050411,4.7060455448521505,Morales 8th Y8m10b,0.061767176556967396,0.08577302472406269,0.09090909090909094,False,8,morales_y8m10b,,2.5374162000763206e-13,0.29076065169508675,stage2_fine_grid,,0.9553849527681041,short_time_asymptotic_one_term,158886,21,True,['isolated_coarse_grid_cost_drop'],True,complete,1.0
active_stretch150,261118766.56826892,4.927229685460202,Morales 8th Y8m10b,0.05272115397282762,0.09316913541016308,0.09090909090909105,False,8,morales_y8m10b,True,2.3482863876650206e-13,2.202924104965972,stage1_coarse_grid_not_selected_for_stage2,0.5054861455406202,0.5182565430288149,direct_refit_one_term,158886,21,True,[],False,complete,1.0
active_stretch150,249006195.39890087,4.853815374960509,Morales 8th Y8m10b,0.12216786706314742,0.03670822668516057,0.09090909090909105,False,8,morales_y8m10b,,2.500999647196753e-13,1.6063665611847826,stage2_fine_grid,,0.6823999451730356,two_term,158886,21,True,['isolated_coarse_grid_cost_drop'],True,complete,71.15593041539339
active_stretch150,271559551.7505026,4.4746150596259895,Morales 8th Y8m10b,0.08207454503478395,0.020105046032698366,0.04761904761904767,False,8,morales_y8m10b,,2.44757376109339e-13,0.8296873054031547,stage2_fine_grid,,0.7890544164699551,three_term,158886,21,True,['isolated_coarse_grid_cost_drop'],True,complete,6084.068835784401
