condition,formula,point_role,relative_to_proxy_t_ana,short_grid_index,time,echo_real,echo_imaginary,echo_imag_hartree,state_error,diagonal_signal,cancellation_index,pf_state_norm,exact_state_norm,pf_action_seconds,hamiltonian_evolution_seconds,proxy_point_seconds
N2_active_eq_sto3g,current_m3,proxy_scale_fit,,0,0.02,0.9999999999999963,-6.627337567621794e-13,-3.313668783810897e-11,8.99416234244883e-12,6.627337567621794e-13,0.07368487820531575,0.9999999999999962,1.0,0.17301774094812572,0.005754145095124841,0.17938927421346307
N2_active_eq_sto3g,current_m3,proxy_scale_fit,,1,0.02292183941538839,0.9999999999999964,-1.3100076579064535e-12,-5.715107039040639e-11,1.7784517884802682e-11,1.3100076579064535e-12,0.07366000396479053,0.9999999999999966,1.0,0.15929106785915792,0.004951706156134605,0.16484343283809721
N2_active_eq_sto3g,current_m3,proxy_scale_fit,,2,0.026270536109242643,1.0000000000000009,-2.5910940060214216e-12,-9.863118115468563e-11,3.516643685989724e-11,2.5910940060214216e-12,0.0736808797645413,1.0000000000000007,1.0,0.1714952550828457,0.005501094972714782,0.17753931903280318
N2_active_eq_sto3g,current_m3,proxy_scale_fit,,3,0.030108450502611094,0.9999999999999994,-5.1239013032500225e-12,-1.701815011305767e-10,6.953591831590863e-11,5.1239013032500225e-12,0.07368711634714632,0.9999999999999993,1.0,0.16479094419628382,0.005118815926834941,0.1704434680286795
N2_active_eq_sto3g,current_m3,proxy_scale_fit,,4,0.034507053373351075,1.0000000000000018,-1.013303330132942e-11,-2.936510745120563e-10,1.3749450429778504e-10,1.013303330132942e-11,0.07369773325182027,1.0000000000000018,1.0,0.16977640008553863,0.005185405956581235,0.17596854292787611
N2_active_eq_sto3g,current_m3,selection_diagnostic,0.05,,0.031317471718976364,0.9999999999999942,-6.238703997851758e-12,-1.9920841803048572e-10,8.466327605257716e-11,6.238703997851758e-12,0.07368843126242161,0.9999999999999941,1.0,0.15934856794774532,0.004762497032061219,0.1645873449742794
N2_active_eq_sto3g,current_m3,model_training,0.1,,0.06263494343795273,0.9999999999999994,-1.998906040689974e-10,-3.1913592173514536e-09,2.707860034503511e-09,1.998906040689974e-10,0.07381866179270509,0.9999999999999994,0.9999999999999999,0.15858364081941545,0.005127906100824475,0.1641833260655403
N2_active_eq_sto3g,current_m3,model_training,0.2,,0.12526988687590546,0.9999999999999958,-6.4282578149388314e-09,-5.131526798061833e-08,8.647680484024466e-08,6.4282578149388314e-09,0.07433505235090788,0.9999999999999994,1.0,0.15924411895684898,0.005575604969635606,0.16537247179076076
N2_active_eq_sto3g,current_m3,model_training,0.3,,0.18790483031385818,0.9999999999997853,-4.919614543519302e-08,-2.6181416067389273e-07,6.54473366394015e-07,4.919614543519302e-08,0.07516905646787661,0.9999999999999996,0.9999999999999999,0.1601584458258003,0.006007894175127149,0.16666094795800745
N2_active_eq_sto3g,current_m3,selection_diagnostic,0.5,,0.31317471718976364,0.9999999999653406,-6.46269019244361e-07,-2.0636053415920026e-06,8.325814681553513e-06,6.46269019244361e-07,0.07762231612916151,1.0000000000000002,0.9999999999999999,0.1621642408426851,0.00668389187194407,0.16936551104299724
N2_active_eq_sto3g,yoshida4,proxy_scale_fit,,0,0.02,1.0,-2.135553955895375e-10,-1.0677769779476876e-08,2.768837379725813e-10,2.135553955895375e-10,0.7712818280815216,1.0,1.0,0.07919706590473652,0.005919493967667222,0.08540536905638874
N2_active_eq_sto3g,yoshida4,proxy_scale_fit,,1,0.02292183941538839,0.9999999999999988,-4.222701355249825e-10,-1.842217493424611e-08,5.474935033126232e-10,4.222701355249825e-10,0.7712788059950052,0.9999999999999989,1.0,0.07916633482091129,0.004755666945129633,0.08417733199894428
N2_active_eq_sto3g,yoshida4,proxy_scale_fit,,2,0.026270536109242643,0.9999999999999972,-8.349594071699329e-10,-3.178311259800187e-08,1.0825699564572714e-09,8.349594071699329e-10,0.7712752438672432,0.9999999999999971,1.0,0.07989465305581689,0.0049054562114179134,0.08506126888096333
N2_active_eq_sto3g,yoshida4,proxy_scale_fit,,3,0.030108450502611094,1.0000000000000007,-1.6509467959391344e-09,-5.48333364347647e-08,2.1405550666517975e-09,1.6509467959391344e-09,0.7712704156317286,1.0000000000000007,1.0,0.0782848778180778,0.004825026961043477,0.08335739397443831
N2_active_eq_sto3g,yoshida4,proxy_scale_fit,,4,0.034507053373351075,0.9999999999999954,-3.2643110159380484e-09,-9.459837038589314e-08,4.232416736805744e-09,3.2643110159380484e-09,0.7712640836028977,0.9999999999999953,1.0,0.0784107178915292,0.004830547142773867,0.08349208394065499
N2_active_eq_sto3g,yoshida4,selection_diagnostic,0.05,,0.007391693760593048,0.9999999999999997,-1.4727732922104053e-12,-1.992470656809573e-10,1.9095890189634984e-12,1.4727732922104053e-12,0.7712514460361783,0.9999999999999998,0.9999999999999999,0.07819413905963302,0.004497487796470523,0.08293504593893886
N2_active_eq_sto3g,yoshida4,model_training,0.1,,0.014783387521186096,1.0000000000000016,-4.712526202599321e-11,-3.1877174266356693e-09,6.109969028187365e-11,4.712526202599321e-11,0.7712847938931989,1.0000000000000018,0.9999999999999999,0.07946196501143277,0.004559737863019109,0.08427370199933648
N2_active_eq_sto3g,yoshida4,model_training,0.2,,0.029566775042372193,0.9999999999999997,-1.507700964076264e-09,-5.099308131899997e-08,1.954826188934021e-09,1.507700964076264e-09,0.7712711097340181,0.9999999999999996,1.0,0.07870153710246086,0.004706326872110367,0.08365404419600964
N2_active_eq_sto3g,yoshida4,model_training,0.3,,0.04435016256355828,1.0000000000000007,-1.144516431628162e-08,-2.580636384337834e-07,1.4839822387088815e-08,1.144516431628162e-08,0.7712467183056941,1.0000000000000009,1.0,0.07719020103104413,0.004934747004881501,0.08237797697074711
N2_active_eq_sto3g,yoshida4,selection_diagnostic,0.5,,0.07391693760593047,0.9999999999999833,-1.4702342054917494e-07,-1.9890356028139755e-06,1.9065063212033055e-07,1.4702342054917494e-07,0.7711667090428529,1.0000000000000013,1.0,0.07696353108622134,0.005079956026747823,0.08228361699730158
N2_active_stretch150_sto3g,current_m3,proxy_scale_fit,,0,0.02,0.9999999999999265,-1.248029457556754e-13,-6.2401472877837705e-12,1.2370356369014412e-12,1.248029457556754e-13,0.10088872303492004,0.9999999999999261,1.0000000000000002,0.16011173580773175,0.0048872060142457485,0.16545444214716554
N2_active_stretch150_sto3g,current_m3,proxy_scale_fit,,1,0.02292183941538839,0.9999999999999282,-2.466221671326707e-13,-1.0759265984871307e-11,2.4418566656064113e-12,2.466221671326707e-13,0.10099780654874126,0.999999999999928,1.0,0.16469393391162157,0.005442905006930232,0.17104020691476762
N2_active_stretch150_sto3g,current_m3,proxy_scale_fit,,2,0.026270536109242643,0.9999999999999276,-4.877487302934469e-13,-1.8566379013553684e-11,4.826508713301275e-12,4.877487302934469e-13,0.10105622081428554,0.9999999999999275,1.0,0.16631289920769632,0.004534987034276128,0.17131150583736598
N2_active_stretch150_sto3g,current_m3,proxy_scale_fit,,3,0.030108450502611094,0.9999999999999297,-9.644784970674891e-13,-3.2033481662692896e-11,9.542781021742625e-12,9.644784970674891e-13,0.10106891218293552,0.9999999999999295,1.0000000000000002,0.1614532119128853,0.004538687877357006,0.16647697892040014
N2_active_stretch150_sto3g,current_m3,proxy_scale_fit,,4,0.034507053373351075,0.999999999999933,-1.907585200910944e-12,-5.5281022701988336e-11,1.886903099948111e-11,1.907585200910944e-12,0.10109608707322605,0.9999999999999329,1.0,0.16162010305561125,0.004759567091241479,0.1668571881018579
