condition,formula,window_id,minimum_relative_to_t_ana,maximum_relative_to_t_ana,point_count,scaled_design_condition_number,training_residual_frobenius_max,branch_method,minimum_branch_cut_margin_radians,minimum_principal_branch_cut_margin_radians,minimum_reference_assignment_overlap_probability,maximum_unitary_reconstruction_residual_frobenius,point_role,used_as_direct_truth,relative_error_d4,relative_error_d6,relative_error_d8
HF_full_eq_sto3g,yoshida4,lower,0.25,0.75,11,6051.894295117043,2.87486910671234e-10,exact_hamiltonian_reference_unwrap,3.141515503438484,1.2046383611032518,0.9998331384991275,1.2086332851015282e-13,f01_finite_log_diagnostic_only,False,1.9046265257261394e-05,0.0011091915311786593,0.022062763986435963
HF_full_eq_sto3g,yoshida4,middle,0.35,1.0,14,4880.822569324297,5.573707099672972e-08,exact_hamiltonian_reference_unwrap,3.1412754406174095,0.5589856814022451,0.9998331384888763,1.2191416793229475e-13,f01_finite_log_diagnostic_only,False,0.0008091050120018898,0.02446671391754328,0.2515988800301414
HF_full_eq_sto3g,yoshida4,upper,0.5,1.25,16,4749.882673983184,4.647653579923065e-06,exact_hamiltonian_reference_unwrap,3.140655609271537,0.012729026199327809,0.9998331384056487,1.2706975794307748e-13,f01_finite_log_diagnostic_only,False,0.02594563880474295,0.45777471836207695,2.748756464937684
HF_full_eq_sto3g,current_m3,lower,0.25,0.75,11,6051.89429511658,0.8168119303403385,exact_hamiltonian_reference_unwrap,3.1387029383642044,0.002478196569858593,0.9113990377991066,2.7906213228163306e-13,f01_finite_log_diagnostic_only,False,94.73821504994477,187.2942624731773,153.1124448354557
HF_full_eq_sto3g,current_m3,middle,0.35,1.0,14,4880.822569324734,2.5613803197378404,exact_hamiltonian_reference_unwrap,3.1402277892374584,0.020079553001401074,0.9954943938471972,2.856614401565523e-13,f01_finite_log_diagnostic_only,False,109.2821631907611,136.1280400795289,58.036189049776624
HF_full_eq_sto3g,current_m3,upper,0.5,1.25,16,4749.882673983415,3.391891724605743,exact_hamiltonian_reference_unwrap,3.138248940744918,0.0032007825305711,0.983549493129169,2.88264850116873e-13,f01_finite_log_diagnostic_only,False,122.27737621495298,97.94527140996773,26.4607516622125
HF_full_stretch150_sto3g,yoshida4,lower,0.25,0.75,11,6051.894295116255,5.236256674847329e-08,exact_hamiltonian_reference_unwrap,3.1412401629815445,0.5012947388338618,0.9039793827768181,1.0746615831676512e-13,f01_finite_log_diagnostic_only,False,0.0009221266138913165,0.027553178445699905,0.27906661833210133
HF_full_stretch150_sto3g,yoshida4,middle,0.35,1.0,14,4880.822569324982,3.1186475847593245e-05,exact_hamiltonian_reference_unwrap,3.1401766719975566,0.0022330719953758127,0.9039801390014853,1.0868194418127256e-13,f01_finite_log_diagnostic_only,False,0.10511414843589974,1.5938933799302342,8.081797845175439
HF_full_stretch150_sto3g,yoshida4,upper,0.5,1.25,16,4749.882673983482,0.2463013784729778,exact_hamiltonian_reference_unwrap,3.137778597278971,0.0025769296326014768,0.9039803667811132,1.0864372335599504e-13,f01_finite_log_diagnostic_only,False,185.5434819056053,1571.574846011565,4405.137443316493
HF_full_stretch150_sto3g,current_m3,lower,0.25,0.75,11,6051.894295116319,6.137045861592122,exact_hamiltonian_reference_unwrap,3.139135237245517,0.018882882421993763,0.9039803590107367,2.461732423404535e-13,f01_finite_log_diagnostic_only,False,235.2122231689394,244.3844866755876,81.0876302155987
HF_full_stretch150_sto3g,current_m3,middle,0.35,1.0,14,4880.822569324648,3.8707006354948432,exact_hamiltonian_reference_unwrap,3.138681591994677,0.009710468977338849,0.9039802959510346,2.476215492946971e-13,f01_finite_log_diagnostic_only,False,47.240800528968705,31.48340429560259,6.799506614142679
HF_full_stretch150_sto3g,current_m3,upper,0.5,1.25,16,4749.882673983892,10.508592106332015,exact_hamiltonian_reference_unwrap,3.109016101017611,0.0005434471725132006,0.7757945182972414,2.578564030936449e-13,f01_finite_log_diagnostic_only,False,74.74253764929459,29.15376118732785,4.9193910579087365
