condition,formula,physical_gap_hartree,a8_diag,a8_mix,a8_total,a8_component_sum,a8_identity_relative_residual,mixing_fraction,cancellation_ratio,a8_diag_sign,a8_mix_sign,a8_total_sign
HF_full_eq_sto3g,yoshida4,0.5623239661768622,-301.64129975362357,-148.36123683864136,-450.0025365922554,-450.00253659226496,2.1221423418927672e-14,0.329689779000218,1.0000000000000213,-1,-1,-1
HF_full_eq_sto3g,current_m3,0.5623239661768622,6.522276870449318,-3.554032973674825,2.9682438967734193,2.9682438967744926,3.616157086600544e-13,0.352711759429203,3.3947041397364384,1,-1,1
HF_full_stretch150_sto3g,yoshida4,0.1751910263264449,-100.1276670847472,-35.34145296090789,-135.46912004565667,-135.46912004565507,1.1748919071491776e-14,0.2608819851269227,0.9999999999999882,-1,-1,-1
HF_full_stretch150_sto3g,current_m3,0.1751910263264449,1.5560113716696673,-0.8488245518566185,0.7071868198127897,0.7071868198130488,3.6626111288897727e-13,0.3529656820046004,3.4005666623748825,1,-1,1
