order,operator_frobenius_norm,operator_spectral_norm,diagonal_frobenius_norm_in_h_basis,off_diagonal_frobenius_norm_in_h_basis,ground_expectation_real,ground_expectation_imaginary,ground_to_excited_coupling_norm,centered_action_norm,selected_ground_index,selected_reference_overlap_probability,minimum_excitation_gap_hartree,condition,formula,formal_reference,formal_reference_precision_bits,formal_identity_gauge,total_removed_identity_hartree,maximum_group_identity_shift_hartree,arb_maximum_entry_radius,hermiticity_relative_residual,complex128_vs_clongdouble_relative_difference,clongdouble_vs_arb_relative_difference,h0_relative_frobenius,forbidden_order_max_relative_frobenius,stretch_over_equilibrium_frobenius_ratio,current_m3_over_yoshida4_frobenius_ratio,comparison_partner_condition,comparison_partner_formula
4,620.7642603708211,475.22287130075574,287.47685047152896,550.1866296055392,-1.506815411980176,0.0,84.76659774987743,84.76659774987573,0,0.9999999999999984,0.5623239661768622,HF_full_eq_sto3g,yoshida4,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-10.00519159313139,10.00519159313139,6.589232003669925e-29,0.0,6.044420607161221e-12,9.591695838078262e-13,1.9688400606863153e-16,3.0220270481861e-16,0.9415470968691277,0.14440714015641493,HF_full_stretch150_sto3g,current_m3
6,45721.37098850586,33215.7777219515,3145.575362060735,45613.036740719,50.38989341521517,0.0,8739.022015684423,8739.022015684246,0,0.9999999999999984,0.5623239661768622,HF_full_eq_sto3g,yoshida4,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-10.00519159313139,10.00519159313139,1.9082708808748554e-25,0.0,7.92280269910564e-11,3.8993553327647515e-11,1.9688400606863153e-16,3.0220270481861e-16,0.9393803920456424,0.14663070748689797,HF_full_stretch150_sto3g,current_m3
8,3497893.4950049855,2473831.9037057892,3070.5704050594163,3497892.1472789263,-301.64129975362357,0.0,737931.5380697218,737931.538069708,0,0.9999999999999984,0.5623239661768622,HF_full_eq_sto3g,yoshida4,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-10.00519159313139,10.00519159313139,5.674422272750023e-22,0.0,2.149126344974688e-09,1.1809332187256336e-10,1.9688400606863153e-16,3.0220270481861e-16,0.9341551654762287,0.14146126492390843,HF_full_stretch150_sto3g,current_m3
4,89.64279155146241,64.0917838977334,0.7855197478604432,89.6393498183954,-0.004117316787593415,0.0,14.053057006173834,14.053057006173544,0,0.999999999999998,0.5623239661768622,HF_full_eq_sto3g,current_m3,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-10.00519159313139,10.00519159313139,1.2603396710815885e-28,0.0,5.606791790717599e-11,6.6484159175301585e-12,4.144103854649558e-17,1.5615274820092007e-15,0.9399852115359587,0.14440714015641493,HF_full_stretch150_sto3g,yoshida4
6,6704.156975315546,4743.021018361839,4.96087355999143,6704.155139867038,0.07827023632155228,0.0,1307.7955582838338,1307.795558283808,0,0.999999999999998,0.5623239661768622,HF_full_eq_sto3g,current_m3,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-10.00519159313139,10.00519159313139,3.761751585503841e-25,0.0,6.505804938640226e-10,2.6588983023367146e-10,4.144103854649558e-17,1.5615274820092007e-15,0.9310540950608828,0.14663070748689797,HF_full_stretch150_sto3g,yoshida4
8,494816.4383725162,349889.8617252646,190.10054484617962,494816.40185572347,6.522276870449318,0.0,107040.6687862647,107040.6687862626,0,0.999999999999998,0.5623239661768622,HF_full_eq_sto3g,current_m3,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-10.00519159313139,10.00519159313139,1.1201719178331504e-21,0.0,1.0951661254921655e-08,8.365542916782922e-10,4.144103854649558e-17,1.5615274820092007e-15,0.9252012031351103,0.14146126492390843,HF_full_stretch150_sto3g,yoshida4
4,584.478787192258,447.38040957182034,274.61763669515864,515.9463211359281,-0.4105505120242126,0.0,40.418279508747176,40.41827950874793,0,0.9999999999999991,0.1751910263264449,HF_full_stretch150_sto3g,yoshida4,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-9.585053717840264,9.585053717840264,6.490220359002989e-29,0.0,6.9559150919835464e-12,1.067824172159804e-12,1.9484991026191268e-16,2.898458399688086e-16,0.9415470968691277,0.14416759038246818,HF_full_eq_sto3g,current_m3
6,42949.7594040469,31170.148488738192,2888.7441528410977,42852.502728369764,13.491986128346673,0.0,4124.582633655666,4124.582633655745,0,0.9999999999999991,0.1751910263264449,HF_full_stretch150_sto3g,yoshida4,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-9.585053717840264,9.585053717840264,1.8520421582200446e-25,0.0,1.52827516669094e-10,4.3920629740540083e-11,1.9484991026191268e-16,2.898458399688086e-16,0.9393803920456424,0.14533103077663298,HF_full_eq_sto3g,current_m3
8,3267575.276644606,2311131.9069217066,2426.9979596852495,3267574.3753157263,-100.1276670847472,0.0,343609.07445143926,343609.07445144583,0,0.9999999999999991,0.1751910263264449,HF_full_stretch150_sto3g,yoshida4,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-9.585053717840264,9.585053717840264,5.253001496470014e-22,0.0,1.1277900961451865e-09,1.3518135943221775e-10,1.9484991026191268e-16,2.898458399688086e-16,0.9341551654762287,0.14010534581574835,HF_full_eq_sto3g,current_m3
4,84.26289837917524,60.38058315085713,0.750382426901451,84.25955714025918,-0.0011218139274875678,0.0,6.827430274853189,6.827430274853309,0,0.9999999999999991,0.1751910263264449,HF_full_stretch150_sto3g,current_m3,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-9.585053717840264,9.585053717840264,1.1739890616571895e-28,0.0,5.668168574212712e-11,7.38484348910571e-12,3.8275208944468643e-17,1.4977111927936093e-15,0.9399852115359587,0.14416759038246818,HF_full_eq_sto3g,yoshida4
6,6241.932805798521,4417.225048808129,4.64483047269368,6241.931077611608,0.01976481790853149,0.0,625.6666190152205,625.6666190152315,0,0.9999999999999991,0.1751910263264449,HF_full_stretch150_sto3g,current_m3,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-9.585053717840264,9.585053717840264,3.328635301656659e-25,0.0,9.058894534972896e-10,3.019809468312315e-10,3.8275208944468643e-17,1.4977111927936093e-15,0.9310540950608828,0.14533103077663298,HF_full_eq_sto3g,yoshida4
8,457804.76411328214,323717.6559447727,175.08044852907372,457804.7306348572,1.5560113716696673,0.0,50546.98633972702,50546.98633972791,0,0.9999999999999991,0.1751910263264449,HF_full_stretch150_sto3g,current_m3,python-flint Arb ball arithmetic,128,per_group_spectral_midpoint,-9.585053717840264,9.585053717840264,9.424364062028672e-22,0.0,1.2515486065909175e-08,9.601826116450541e-10,3.8275208944468643e-17,1.4977111927936093e-15,0.9252012031351103,0.14010534581574835,HF_full_eq_sto3g,yoshida4
