system,number_of_qubits,number_of_groups,full_dimension,sector_dimension,sector_kind,projected_full_vs_restricted_unitary_residual,full_pf_sector_leakage_frobenius_norm,signed_shift_projected_full_hartree,signed_shift_restricted_hartree,signed_shift_difference_hartree,projected_ground_overlap_probability,restricted_ground_overlap_probability,restricted_pf_eigenpair_residual,full_ground_eigenpair_residual,sector_ground_eigenpair_residual,passed
H2,4,2,16,4,fixed_interleaved_spin_populations,6.943229358190827e-17,0.0,-3.373277528290877e-05,-3.373277528290877e-05,0.0,0.9999999997509348,0.9999999997509348,1.6667795129466247e-16,2.1916015783137436e-15,2.1761757759110414e-15,True
H3,6,7,64,3,fixed_interleaved_spin_populations,5.244028284486403e-15,5.0565431376478055e-15,-3.872871016134263e-16,-6.454785026890455e-16,2.5819140107561924e-16,1.0,1.0,4.628648324997341e-16,1.1123891834244414e-16,1.1123891834244414e-16,True
