formula_id,formal_order,s2_block_count,independent_vs_production_unitary_residual,signed_delta_e_independent_hartree,signed_delta_e_production_hartree,signed_delta_e_path_difference_hartree,ground_overlap_probability,commuting_pf_vs_exact_unitary_residual,commuting_signed_delta_e_hartree,production_merged_group_exponential_count,hand_group_exponential_count,passed
second_order,2,1,4.902612130890298e-16,0.0025357577285276423,0.002535757728527493,1.491862189340054e-16,0.9999805445009515,1.594436429147036e-16,9.100188726435712e-17,3,3,True
yoshida4,4,3,1.819234540385666e-15,-0.00025806354648827217,-0.0002580635464884225,1.503246312151152e-16,0.999999986083886,1.6184142622847344e-16,-9.100188726435712e-17,7,7,True
morales_y8m10b,8,21,5.240499705413768e-15,3.198642552028154e-13,3.203143456182052e-13,4.500904153898023e-16,1.0,3.2009291313835888e-16,-4.5500943632178536e-17,43,43,True
