time_hartree_inverse,reference_delta_e_120digit_hartree,reference_delta_e_absolute_hartree,numpy_eig_delta_e_hartree,scipy_schur_delta_e_hartree,numpy_vs_120digit_difference_hartree,schur_vs_120digit_difference_hartree,mp80_vs_mp120_difference_hartree,independent_vs_spectral_unitary_residual,cached_vs_sequential_unitary_residual,unitarity_residual_frobenius_norm,numpy_eigenpair_residual,schur_eigenpair_residual,exact_hamiltonian_ground_eigenpair_residual,phase_to_energy_amplification_inverse_time,above_fixed_5e_minus_13_floor,float_paths_agree_with_reference_within_fixed_floor
1e-05,-1.8241488804820562e-16,1.8241488804820562e-16,-3.2354964519219793e-12,5.091345639356152e-12,3.235314037033931e-12,5.0915280542442e-12,7.60172357382895e-72,1.0990647210956153e-15,9.930136614230075e-16,2.5121479338940403e-15,1.174128290495127e-16,1.3597399555105182e-16,2.220446049250313e-16,99999.99999999999,False,False
1.7673160060762067e-05,-1.8241614378436558e-16,1.8241614378436558e-16,-1.6248430319810658e-12,4.657129296725861e-12,1.6246606158372814e-12,4.657311712869646e-12,1.8571835808951564e-72,1.1670551216547562e-15,7.850462294334272e-16,2.198129442157285e-15,6.301176666330892e-17,1.1102230246251565e-16,2.220446049250313e-16,56582.97647743252,False,False
3.123405865333161e-05,-1.8242839435168949e-16,1.8242839435168949e-16,7.083453619602653e-13,-1.9576583073961577e-12,7.08527790354617e-13,1.957475879001806e-12,4.517997480445663e-73,5.266250204091196e-16,7.88961697046139e-16,1.2560739669470201e-15,2.3995234975467486e-17,2.2887833992611187e-16,2.220446049250313e-16,32016.33227045676,False,False
5.520045179275599e-05,-1.825479068570927e-16,1.825479068570927e-16,-1.8450436231977117e-13,-6.874414031874376e-13,1.843218144129141e-13,6.872588552805806e-13,9.107511933723887e-74,1.1102230271066984e-15,9.453208444320976e-16,1.88411095042053e-15,2.2306022169217456e-16,1.1188630228279524e-16,2.220446049250313e-16,18115.79375752919,False,False
9.75566419959759e-05,-1.837138309887276e-16,1.837138309887276e-16,1.3364063027790547e-13,-1.0045274402697865e-12,1.3382434410889421e-13,1.0043437264387977e-12,6.0693400654012425e-74,9.550499576304683e-16,4.775249793621182e-16,2.6691571797624175e-15,1.6262489630099798e-16,2.68024601344063e-16,2.220446049250313e-16,10250.455320522911,False,False
0.00017241341489853445,-1.9508819604973929e-16,1.9508819604973929e-16,1.6428409455756675e-13,1.6428409455756675e-13,1.644791827536165e-13,1.644791827536165e-13,1.233591508004846e-74,9.710485680103634e-16,3.9252311871526744e-16,2.3551386880256627e-15,1.6204557914134877e-16,1.1274368112207335e-16,2.220446049250313e-16,5800.012722841209,False,True
0.00030470898781243786,-3.060526824179054e-16,3.060526824179054e-16,-1.6563217085105013e-13,-1.6563217085105013e-13,1.6532611816863223e-13,1.6532611816863223e-13,2.1445384643228214e-75,3.510834431181687e-16,9.453208469151417e-16,1.4130832128153975e-15,7.906935065981217e-17,0.0,2.220446049250313e-16,3281.8198346533354,False,True
0.0005385170713562017,-1.3885848898067014e-15,1.3885848898067014e-15,-1.42945058459537e-13,8.898833216776809e-14,1.415564735697303e-13,9.037691705757479e-14,1.9525387099426615e-76,1.4130833401947079e-15,9.550499971321346e-16,3.2971941632359274e-15,1.388289976893252e-16,1.1102230246251565e-16,2.220446049250313e-16,1856.95134507361,False,True
0.0009517298397530989,-1.1949403551521811e-14,1.1949403551521811e-14,-5.1377519057069224e-14,9.44389430117747e-14,3.942811550554741e-14,1.0638834656329651e-13,8.241682995866233e-76,6.329254795800363e-16,7.889619550828422e-16,1.7271017045521525e-15,2.5147255466427915e-16,1.0880810145981694e-16,2.220446049250313e-16,1050.7183427803666,False,True
0.0016820073792559965,-1.1497714127717223e-13,1.1497714127717223e-13,-1.1112701218895957e-13,-1.1112701218895957e-13,3.85012908821266e-15,3.85012908821266e-15,1.6326243315332234e-76,1.1018670454909614e-15,5.266252084994556e-16,1.5700924586837751e-15,1.952307350858566e-16,1.962615573354719e-17,2.220446049250313e-16,594.5277127394831,False,True
0.0029726385636974183,-1.120079237726353e-12,1.120079237726353e-12,-1.1109590845390798e-12,-1.1109590845390798e-12,9.120153187273264e-15,9.120153187273264e-15,1.2638444702657102e-77,9.55051779290276e-16,4.965135099524143e-16,1.5700924586837751e-15,1.2597981373116924e-16,1.5700924586837752e-16,2.220446049250313e-16,336.401475851199,True,True
0.005253591713901833,-1.0925459386746968e-11,1.0925459386746968e-11,-1.0923927834718889e-11,-1.0923927834718889e-11,1.5315520280792253e-15,1.5315520280792253e-15,3.4086042237375625e-78,1.4217860703552681e-15,3.510861385777922e-16,1.4130832128153975e-15,2.126509377364718e-16,1.5700924586837752e-16,2.220446049250313e-16,190.3459679506198,True,True
0.009284756725368049,-1.0658167625560674e-10,1.0658167625560674e-10,-1.0658356771656116e-10,-1.0658356771656116e-10,1.8914609544220537e-15,1.8914609544220537e-15,6.175961097445386e-78,9.421409205057417e-16,7.89047065329925e-16,2.5121479338940403e-15,7.931025968324712e-17,2.7755575615628914e-17,2.220446049250313e-16,107.70341427124036,True,True
0.016409099173266675,-1.0397173932471295e-09,1.0397173932471295e-09,-1.039722099147408e-09,-1.0397161789860614e-09,4.705900278532819e-15,1.2142610681174307e-15,2.45195771075024e-78,1.1020929109555204e-15,3.9255857009321114e-16,1.4130832128153975e-15,1.5101064282943807e-16,1.6653345369377348e-16,2.220446049250313e-16,60.94179756248758,True,True
0.02,-2.294455125890987e-09,2.294455125890987e-09,-2.294455597739999e-09,-2.294455597739999e-09,4.718490119450314e-16,4.718490119450314e-16,6.533359240370591e-79,1.1240907738876272e-15,1.7645601336644302e-16,1.88411095042053e-15,4.0049201387917773e-17,1.2456232622454378e-16,2.220446049250313e-16,50.0,True,True
0.029000063614206043,-1.0141424259751124e-08,1.0141424259751124e-08,-1.0141425301477913e-08,-1.0141422789125287e-08,1.0417267888293188e-15,1.4706258375445536e-15,5.291570772208439e-79,4.712129990826937e-16,9.461436407377026e-16,1.88411095042053e-15,1.5142854222490728e-16,1.3597399555105182e-16,2.220446049250313e-16,34.482682979706894,True,True
0.051252276602614597,-9.888429554665315e-08,9.888429554665315e-08,-9.888429719399522e-08,-9.88842952985767e-08,1.6473420748303958e-15,2.480764420232181e-16,9.194218402315441e-80,1.1117290494725534e-15,4.775755878506095e-16,2.198129442157285e-15,1.712375058312158e-16,1.1443916996305594e-16,2.220446049250313e-16,19.511328399195165,True,True
0.09057896878764593,-9.630973280507565e-07,9.630973280507565e-07,-9.630973280184384e-07,-9.63097326792742e-07,3.23181185860142e-17,1.2580146038115077e-15,1.1058296860377845e-80,1.128419287040234e-15,4.816776654391586e-16,2.198129442157285e-15,1.4505441958944427e-16,1.2412670766236366e-16,2.220446049250313e-16,11.0400903585512,True,True
0.1600816613522838,-9.347447149684776e-06,9.347447149684776e-06,-9.347447149512372e-06,-9.347447148818837e-06,1.7240339201824578e-16,8.659387226370163e-16,1.5510452955808842e-80,1.1149833088894026e-15,4.4376216117500693e-16,2.198129442157285e-15,2.1000903724951387e-16,1.3256738189514616e-16,2.220446049250313e-16,6.246811730666322,True,True
0.2829148823871626,-8.97292872346648e-05,8.97292872346648e-05,-8.972928723478043e-05,-8.972928723478043e-05,1.1563016169557905e-16,1.1563016169557905e-16,1.1167559052592211e-80,8.914385952932924e-16,8.179352401935264e-16,2.198129442157285e-15,1.1188630228279524e-16,4.443059973708341e-17,2.220446049250313e-16,3.5346320121524135,True,True
0.5,-0.000831607718087697,0.000831607718087697,-0.0008316077180875529,-0.0008316077180875529,1.4409046872332354e-16,1.4409046872332354e-16,1.0494762122585848e-81,1.0430521681988632e-15,8.362590728544057e-16,2.5121479338940403e-15,5.551115123125783e-17,9.614813431917819e-17,2.220446049250313e-16,2.0,True,True
