condition,evaluation_group,selected_formula,direct_error_hartree,predicted_error_hartree,signed_absolute_error_bias_hartree,relative_bias_to_direct_error,remaining_error_budget_hartree,signed_bias_over_remaining_budget,absolute_bias_over_remaining_budget,factor_model_from_costs,factor_model_from_bias_identity,identity_absolute_error,factor_margin,factor_calibration,energy_margin_gamma_1_01_hartree,success_gamma_1_01
N2_active_eq_sto3g,primary,current_m3,2.1708888669736095e-05,3.0348397151007198e-05,8.639508481271103e-06,0.39797101605275903,0.0001376511215293039,0.062763807408804,0.062763807408804,1.0669669053595545,1.0669669053595545,0.0,1.01,1.0776365744131502,9.91685118471698e-06,True
N2_active_stretch150_sto3g,primary,current_m3,8.568591745727244e-06,2.8064634326220847e-05,1.9496042580493603e-05,2.2752913383013453,0.00015079141845331277,0.1292914595569632,0.1292914595569632,1.1484899407225024,1.1484899407225024,0.0,1.01,1.1599748401297274,2.0795996797056158e-05,True
CO_active_eq_sto3g,primary,current_m3,1.998541374977085e-05,2.97567078775186e-05,9.77129412774775e-06,0.4889212827960485,0.00013937459644926915,0.0701081429233368,0.0701081429233368,1.0753938669209755,1.0753938669209755,0.0,1.01,1.0861478055901852,1.1054495140832123e-05,True
CO_active_stretch150_sto3g,primary,current_m3,1.5196991115748711e-05,2.8587320950995892e-05,1.339032983524718e-05,0.8811171720282656,0.0001441630190832913,0.0928832506449578,0.0928832506449578,1.10239393188473,1.10239393188473,0.0,1.01,1.1134178712035774,1.4685108936712989e-05,True
HF_full_eq_sto3g,stress_test,current_m3,1.9998854262236836e-06,1.0751001536769666e-06,-9.24785272546717e-07,-0.46241912682615915,0.00015736012477281632,-0.005876871754403133,0.005876871754403133,0.9941574640799197,0.9941574640799197,0.0,1.01,1.004099038720719,6.423920546350928e-07,True
HF_full_stretch150_sto3g,stress_test,current_m3,5.140509990558424e-07,9.470274280034474e-07,4.3297642894760494e-07,0.8422830220014217,0.00015884595919998416,0.0027257629412057974,0.0027257629412057974,1.0027332130319988,1.0027332130319988,0.0,1.01,1.012760545162319,2.001421802918287e-06,True
