condition,formula,point_role,new_direct_truth_coordinate,minimum_inserted_time,uniform_anchor_time_factor,source_truth_provenance,source_signed_direct_shift_hartree,source_reproduction_absolute_difference_hartree,time,signed_direct_shift_hartree,direct_error_hartree,direct_cost,ground_state_overlap_probability,previous_branch_overlap_probability,degenerate_subspace_projector_overlap_probability,minimum_selected_phase_gap_radians,phase_cluster_size,branch_quality,selected_eigenvalue,selected_eigenvalue_magnitude,eigenpair_residual_2_norm,unitarity_residual_frobenius,selected_eigenbranch_id,maximum_ground_overlap_comparator_id,branch_selection_disagrees_with_comparator,phase_unwrap_integer,selection_rule,timing_seconds,peak_cpu_rss_kib
CO_active_eq_sto3g,yoshida4,new_uniform_lower_anchor,True,0.15326888565274296,0.5,,,,0.07663444282637148,-1.8407401363664543e-06,1.8407401363664543e-06,1623937370.2409031,0.9999999999969444,0.9999999999969444,0.9999999999969444,0.025717394060585506,1,resolved,"{'real': 0.8998455515569939, 'imag': -0.43620864657063396}",0.9999999999999474,6.50832760788552e-15,4.106135943185359e-12,9,9,False,0,maximum exact-ground overlap at preregistered new uniform lower anchor,"{'schur': 5.662875040899962, 'unitarity': 0.6193776014260948, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.4200752223841846, 'cpu_component_gate_materialization_seconds': 0.17678974894806743, 'gpu_transfer_sparse_multiply_seconds': 0.22298584645614028, 'gpu_dense_multiply_seconds': 0.006707920227199793, 'output_transfer_seconds': 0.00799560360610485, 'cupy_pool_peak_reserved_mib': 187.61767578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 2, 'minimum_used_mib': 587, 'maximum_used_mib': 625, 'peak_increment_mib': 38}, 'unique_s2_stage_count': 2, 'total': 6.720876589883119}",1007588
CO_active_eq_sto3g,yoshida4,inserted_exact_time_triplet,True,,,,,,0.15326888565274296,-2.9359083855892222e-05,2.9359083855892222e-05,983844640.124473,0.9999999992104656,0.9999999993056041,0.9999999993056041,0.05143566974693407,1,resolved,"{'real': 0.6194407222371757, 'imag': -0.7850434329603728}",0.9999999999999606,9.86737843304662e-15,3.922696338395836e-12,9,9,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.765355557203293, 'unitarity': 0.6198221887461841, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.42617874406278133, 'cpu_component_gate_materialization_seconds': 0.1809357418678701, 'gpu_transfer_sparse_multiply_seconds': 0.22460947092622519, 'gpu_dense_multiply_seconds': 0.006738050375133753, 'output_transfer_seconds': 0.008024973794817924, 'cupy_pool_peak_reserved_mib': 187.61767578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 2, 'minimum_used_mib': 587, 'maximum_used_mib': 625, 'peak_increment_mib': 38}, 'unique_s2_stage_count': 2, 'total': 6.838489008136094}",1007588
CO_active_eq_sto3g,yoshida4,inserted_exact_time_triplet,True,,,,,,0.1548170562148919,-3.056082231196442e-05,3.056082231196442e-05,983093989.3735855,0.9999999991441184,0.9999999999986604,0.9999999999986604,0.051955260904920864,1,resolved,"{'real': 0.6122562261859765, 'imag': -0.7906594168770743}",0.9999999999999444,8.371619102612804e-15,3.990348436626853e-12,9,9,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.772852182853967, 'unitarity': 0.6198217486962676, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.42252698028460145, 'cpu_component_gate_materialization_seconds': 0.17722116922959685, 'gpu_transfer_sparse_multiply_seconds': 0.2244145581498742, 'gpu_dense_multiply_seconds': 0.006741239223629236, 'output_transfer_seconds': 0.008358872029930353, 'cupy_pool_peak_reserved_mib': 187.61767578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 2, 'minimum_used_mib': 587, 'maximum_used_mib': 625, 'peak_increment_mib': 38}, 'unique_s2_stage_count': 2, 'total': 6.8425677781924605}",1007588
CO_active_eq_sto3g,yoshida4,inserted_exact_time_triplet,True,,,,,,0.15636522677704082,-3.179900269471104e-05,3.179900269471104e-05,982808380.311408,0.9999999990729571,0.9999999999985723,0.9999999999985723,0.05247485403757115,1,resolved,"{'real': 0.6050208096978643, 'imag': -0.796209658213489}",0.9999999999999502,6.8439290209141684e-15,3.96229908037296e-12,15,15,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.7673699469305575, 'unitarity': 0.6198288979940116, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.42500571021810174, 'cpu_component_gate_materialization_seconds': 0.18079101433977485, 'gpu_transfer_sparse_multiply_seconds': 0.2235916517674923, 'gpu_dense_multiply_seconds': 0.006739379372447729, 'output_transfer_seconds': 0.008010574150830507, 'cupy_pool_peak_reserved_mib': 187.61767578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 2, 'minimum_used_mib': 587, 'maximum_used_mib': 625, 'peak_increment_mib': 38}, 'unique_s2_stage_count': 2, 'total': 6.839476281777024}",1007588
CO_active_stretch150_sto3g,current_m3,new_uniform_lower_anchor,True,0.47876891164314866,0.5,,,,0.23938445582157433,-9.166981021174974e-08,9.166981021174974e-08,1186958158.9436715,0.9999999999990592,0.9999999999990592,0.9999999999990592,0.015954031393660764,1,resolved,"{'real': 0.46895670487212876, 'imag': -0.8832211551788074}",0.9999999999999559,2.3223761298259213e-14,1.0117057528247136e-11,90,90,False,0,maximum exact-ground overlap at preregistered new uniform lower anchor,"{'schur': 5.8555750250816345, 'unitarity': 0.6194956400431693, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8284268560819328, 'cpu_component_gate_materialization_seconds': 0.35824306355789304, 'gpu_transfer_sparse_multiply_seconds': 0.43770908983424306, 'gpu_dense_multiply_seconds': 0.01559046795591712, 'output_transfer_seconds': 0.008151153102517128, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.3222119570709765}",1007604
CO_active_stretch150_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.47876891164314866,-1.4565704381362314e-06,1.4565704381362314e-06,598609049.8477674,0.9999999997452915,0.9999999997752655,0.9999999997752655,0.03190819265776784,1,resolved,"{'real': -0.5601597592371383, 'imag': -0.8283845991635206}",0.9999999999999577,3.110488930128721e-14,9.894295220584005e-12,128,128,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.870256290305406, 'unitarity': 0.6196970990858972, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8186313495971262, 'cpu_component_gate_materialization_seconds': 0.3482041545212269, 'gpu_transfer_sparse_multiply_seconds': 0.4378825225867331, 'gpu_dense_multiply_seconds': 0.015623347368091345, 'output_transfer_seconds': 0.008036834187805653, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.335882946383208}",1007604
CO_active_stretch150_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.48360496125570573,-1.5160318661589063e-06,1.5160318661589063e-06,592846206.4304525,0.9999999997234739,0.9999999999995508,0.9999999999995508,0.03223050342788342,1,resolved,"{'real': -0.5781431727134849, 'imag': -0.815935335577944}",0.9999999999999533,2.0512706568869508e-14,9.80254502209616e-12,100,100,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.872181280050427, 'unitarity': 0.6194818001240492, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8142060902900994, 'cpu_component_gate_materialization_seconds': 0.3450078540481627, 'gpu_transfer_sparse_multiply_seconds': 0.4366695233620703, 'gpu_dense_multiply_seconds': 0.01557373208925128, 'output_transfer_seconds': 0.008264551870524883, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.332960077561438}",1007604
CO_active_stretch150_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.4884410108682628,-1.5772864091001462e-06,1.5772864091001462e-06,587204318.5028379,0.9999999997000171,0.9999999999995133,0.9999999999995133,0.032552814495768946,1,resolved,"{'real': -0.5958500109897475, 'imag': -0.8030957380060048}",0.9999999999999458,3.666905835538272e-14,9.958084730136243e-12,156,156,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.8656579977832735, 'unitarity': 0.618712124414742, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8138091019354761, 'cpu_component_gate_materialization_seconds': 0.34502317337319255, 'gpu_transfer_sparse_multiply_seconds': 0.43658507196232677, 'gpu_dense_multiply_seconds': 0.0155621781013906, 'output_transfer_seconds': 0.007989373989403248, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.324915912933648}",1007604
CO_active_stretch150_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.8478997425200163,-1.4034189039659467e-05,1.4034189039659467e-05,367259908.9725103,0.9999999554309353,0.9999999611236597,0.9999999611236597,0.056511687683911474,1,resolved,"{'real': -0.7691431103109588, 'imag': 0.6390765805919445}",0.9999999999999539,2.7092663432049542e-14,9.905223106753104e-12,160,160,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 6.173718214966357, 'unitarity': 0.6193426102399826, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8139980109408498, 'cpu_component_gate_materialization_seconds': 0.34428298054262996, 'gpu_transfer_sparse_multiply_seconds': 0.437237246427685, 'gpu_dense_multiply_seconds': 0.015560679603368044, 'output_transfer_seconds': 0.008260902017354965, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.63420194434002}",1007604
CO_active_stretch150_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.8564643863838549,-1.4599274143959654e-05,1.4599274143959654e-05,365006602.00940955,0.9999999521257453,0.9999999989700981,0.9999999989700981,0.057082622633984795,1,resolved,"{'real': -0.7438165640740244, 'imag': 0.6683838111512119}",0.9999999999999531,2.791201248355721e-14,1.0034095700762296e-11,168,168,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 6.193732803687453, 'unitarity': 0.6197072588838637, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8121013701893389, 'cpu_component_gate_materialization_seconds': 0.3437519087456167, 'gpu_transfer_sparse_multiply_seconds': 0.4360789153724909, 'gpu_dense_multiply_seconds': 0.01555546885356307, 'output_transfer_seconds': 0.008043522946536541, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.652734999079257}",1007604
