check_id,input_value,reference_value,measured_residual,tolerance,passed,note
hartree_atomic_time_phase_+0.47,0.47,2.4188843265857192e-17,0.0,2e-15,True,tau fields are atomic time units (Hartree^-1) when H is in Hartree
hartree_atomic_time_phase_-0.47,-0.47,2.4188843265857192e-17,0.0,2e-15,True,tau fields are atomic time units (Hartree^-1) when H is in Hartree
atomic_time_equals_hbar_over_hartree,2.4188843265857192e-17,2.4188843265857e-17,1.910522504832138e-31,2e-28,True,SI seconds per atomic time unit
