system_id,formula_id,method_id,estimate_state_id,estimated_a4_hartree,estimated_a6_hartree,estimated_a8_hartree,reference_a4_hartree,reference_a6_hartree,reference_a8_hartree,a6_relative_error,a8_relative_error,a6_sign_matches_reference,a8_sign_matches_reference,reference_three_term_tstar_hartree_inverse,reference_shift_at_tstar_hartree,higher_order_coefficient_residual_at_tstar_hartree,higher_order_residual_over_epsilon,full_coefficient_residual_at_tstar_hartree,full_residual_over_epsilon,meets_higher_order_residual_threshold,direct_point_count,direct_times_json,maximum_direct_training_time_hartree_inverse,tstar_to_maximum_training_time_ratio,scaled_design_condition_number,maximum_training_residual_hartree,online_evaluation_seconds,requires_exact_state,requires_exact_a4,requires_dense_d6_d8,requires_direct_pf_eigenvalues,acquisition_scope
H2,yoshida4,bch_exact_d8_diagonal,exact,-0.001002177172241285,8.401960299557285e-05,-9.742117955515936e-07,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198264e-06,0.0,0.1908967453434688,True,True,0.4245511280227318,-3.2067784480996605e-05,2.425984113305002e-10,1.5223292909400278e-06,2.425984113305002e-10,1.5223292909400278e-06,True,0,[],,,,,0.00033081485889852047,True,False,True,False,stored dense D6/D8 expectations; omits D4 response mixing
H2,yoshida4,bch_exact_response,exact,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198178e-06,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198264e-06,0.0,7.2106552753003e-15,True,True,0.4245511280227318,-3.2067784480996605e-05,9.163558610139458e-24,5.750224663448634e-20,9.163558610139458e-24,5.750224663448634e-20,True,0,[],,,,,0.00033081485889852047,True,False,True,False,H04 compact D4 action + stored dense D6/D8 + projected response
H2,yoshida4,bch_hf_response,hf,-0.0007638645294723295,0.00010595161641016595,-2.38251913783449e-06,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198264e-06,0.261034480438437,0.9787319323226862,True,True,0.4245511280227318,-3.2067784480996605e-05,1.2718383116522474e-07,0.000798091258944905,7.869431844855227e-06,0.049381471769651235,True,0,[],,,,,0.00026225391775369644,False,False,True,False,HF state + H04 compact D4 action + stored dense D6/D8 + projected response
H2,yoshida4,bch_cisd_response,cisd,-0.0010021771722412858,8.401960299557289e-05,-1.2040636222198182e-06,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198264e-06,4.839058983693215e-16,6.8589159935783336e-15,True,True,0.4245511280227318,-3.2067784480996605e-05,2.467958002265662e-22,1.5486683260017317e-18,-2.793185899150411e-20,1.7527520835758813e-16,True,0,[],,,,,0.00024932390078902245,False,False,True,False,CISD state + H04 compact D4 action + stored dense D6/D8 + projected response
H2,yoshida4,direct_free_3_tail,direct_pf_branch,-0.0010021839175937118,8.408240221164005e-05,-1.3972758031108583e-06,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198264e-06,0.0007474352868640696,0.16046675385377357,True,True,0.4245511280227318,-3.2067784480996605e-05,1.6380747544897076e-10,1.0279082891898405e-06,-5.533403052055364e-11,3.4722657491952757e-07,True,3,"[0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,0.6466528477080328,238.70602739061877,5.421010862427522e-20,,False,False,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,yoshida4,direct_free_5_tail,direct_pf_branch,-0.0010021819474971593,8.407129123938537e-05,-1.382077207521341e-06,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198264e-06,0.0006151926689684599,0.14784400260621325,True,True,0.4245511280227318,-3.2067784480996605e-05,1.1478622277334444e-10,7.202950265250166e-07,-4.035122557275257e-11,2.5320797559158066e-07,True,5,"[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,0.6466528477080328,115.5597404166589,7.647214214949113e-12,,False,False,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,yoshida4,direct_fixed_a4_2_tail,direct_pf_branch,-0.001002177172241285,8.403233670936164e-05,-1.3174305835735126e-06,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198264e-06,0.0001515564622397109,0.0941536304740122,True,True,0.4245511280227318,-3.2067784480996605e-05,-4.508879123391224e-11,2.829366738719239e-07,-4.508879123391224e-11,2.829366738719239e-07,True,2,"[0.3931379077393266, 0.65653639279173]",0.65653639279173,0.6466528477080328,67.7000299710837,0.0,,False,True,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,yoshida4,direct_fixed_a4_3_tail,direct_pf_branch,-0.001002177172241285,8.403973788836612e-05,-1.3345870743505075e-06,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198264e-06,0.00023964517892722357,0.10840245458960587,True,True,0.4245511280227318,-3.2067784480996605e-05,-1.98575052730837e-11,1.2460783133912803e-07,-1.98575052730837e-11,1.2460783133912803e-07,True,3,"[0.3931379077393266, 0.5080446277807349, 0.65653639279173]",0.65653639279173,0.6466528477080328,22.621806544636392,1.7535530167002043e-11,,False,True,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,yoshida4,direct_fixed_a4_5_tail,direct_pf_branch,-0.001002177172241285,8.404239374870468e-05,-1.3405299524729865e-06,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198264e-06,0.00027125518711428476,0.1133381390607658,True,True,0.4245511280227318,-3.2067784480996605e-05,-1.0577986125667338e-11,6.637792073717538e-08,-1.0577986125667338e-11,6.637792073717538e-08,True,5,"[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,0.6466528477080328,15.991232488996264,3.183865667042308e-11,,False,True,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,yoshida4,direct_order12_16,direct_pf_branch,-0.001002177170865418,8.40195868183748e-05,-1.2040123683851489e-06,-0.001002177172241285,8.401960299557285e-05,-1.2040636222198264e-06,1.9254075802304493e-07,4.256738076938102e-05,True,True,0.4245511280227318,-3.2067784480996605e-05,-4.0632925239069696e-14,2.549756691676873e-10,4.0659308721171426e-15,2.5514122815622385e-11,True,16,"[0.09595812310131174, 0.10908378919628715, 0.12400485420975636, 0.14096690242317253, 0.16024911045152293, 0.1821688421826532, 0.20708687223700614, 0.23541332392016362, 0.26761441940034525, 0.3042201532113438, 0.3458330153782965, 0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,0.6466528477080328,6784.797330107626,2.356025557389405e-15,,False,False,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,current_m3,bch_exact_d8_diagonal,exact,-2.7384116611797605e-06,3.6230290811605576e-08,5.930780775115656e-10,-2.738411661179765e-06,3.623029081160325e-08,1.9617130806385887e-10,6.429262787488646e-14,2.0232661614230723,True,True,1.879363470925947,-3.253497719773352e-05,6.1769595314363e-08,0.00038761038755716077,6.176959531442111e-08,0.00038761038755752544,True,0,[],,,,,0.00026320735923945904,True,False,True,False,stored dense D6/D8 expectations; omits D4 response mixing
H2,current_m3,bch_exact_response,exact,-2.7384116611797605e-06,3.6230290811605576e-08,1.961713080639417e-10,-2.738411661179765e-06,3.623029081160325e-08,1.9617130806385887e-10,6.429262787488646e-14,4.2218946108526406e-13,True,True,1.879363470925947,-3.253497719773352e-05,1.155248133694256e-19,7.249297563744855e-16,1.7364220547195122e-19,1.0896222035570456e-15,True,0,[],,,,,0.00026320735923945904,True,False,True,False,H04 compact D4 action + stored dense D6/D8 + projected response
H2,current_m3,bch_hf_response,hf,-9.91334455645084e-06,-2.3955840732124895e-07,-9.13755689550479e-09,-2.738411661179765e-06,3.623029081160325e-08,1.9617130806385887e-10,7.612102800028508,47.579476813858406,False,False,1.879363470925947,-3.253497719773352e-05,-1.3604399566579033e-05,0.08536896772024043,-0.00010311221725064198,0.647039474469506,False,0,[],,,,,0.0002525290474295616,False,False,True,False,HF state + H04 compact D4 action + stored dense D6/D8 + projected response
H2,current_m3,bch_cisd_response,cisd,-2.738411661179766e-06,3.623029081160543e-08,1.9617130806393745e-10,-2.738411661179765e-06,3.623029081160325e-08,1.9617130806385887e-10,6.027433863270606e-14,4.00579263951062e-13,True,True,1.879363470925947,-3.253497719773352e-05,1.0845034177954252e-19,6.8053673970081e-16,9.788354321544695e-20,6.142290220312536e-16,True,0,[],,,,,0.0002475909423083067,False,False,True,False,CISD state + H04 compact D4 action + stored dense D6/D8 + projected response
H2,current_m3,direct_free_3_tail,direct_pf_branch,-2.7384111077960573e-06,3.6226238092323944e-08,2.0645087857433693e-10,-2.738411661179765e-06,3.623029081160325e-08,1.9617130806385887e-10,0.00011185997099436936,0.05240098876810157,True,True,1.879363470925947,-3.253497719773352e-05,1.4212124094812747e-09,8.918249990735983e-06,1.4281159120996752e-09,8.961570160016708e-06,True,3,"[0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,2.862542718971755,238.70602739061877,2.117582368135751e-22,,False,False,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
