dataset_id,condition,new_pf,baseline_pf,recomputed_direct_cost_ratio,stored_direct_cost_ratio,absolute_reproduction_difference,reproduction_pass
five_condition_holdout,H6,two_term_center,current_m3,1.1512747225633688,1.1512747225633688,0.0,True
five_condition_holdout,H7,two_term_center,current_m3,1.151257977613777,1.151257977613777,0.0,True
five_condition_holdout,NH3_631g,two_term_center,current_m3,1.1547130916704504,1.1547130916704504,0.0,True
five_condition_holdout,NH3_ccpvdz,two_term_center,current_m3,1.1562103260130214,1.1562103260130214,0.0,True
five_condition_holdout,NH3_sto3g,two_term_center,current_m3,1.1480496599638446,1.1480496599638446,0.0,True
twelve_condition_holdout,BeH2_CAS4e4o,two_term_center,current_m3,1.1755372224939986,1.1755372224939986,0.0,True
twelve_condition_holdout,BeH2_CAS4e5o,two_term_center,current_m3,1.1592764403100608,1.1592764403100608,0.0,True
twelve_condition_holdout,BeH2_stretch125,two_term_center,current_m3,1.148138259446142,1.148138259446142,0.0,True
twelve_condition_holdout,BeH2_stretch150,two_term_center,current_m3,1.1464410389560309,1.1464410389560309,0.0,True
twelve_condition_holdout,BeH2_stretch150_631g,two_term_center,current_m3,1.1499847109288024,1.1499847109288024,0.0,True
twelve_condition_holdout,BeH2_stretch150_ccpvdz,two_term_center,current_m3,1.1528470627281333,1.1528470627281333,0.0,True
twelve_condition_holdout,H2O_CAS8e5o,two_term_center,current_m3,1.166432554104775,1.166432554104775,0.0,True
twelve_condition_holdout,H2O_stretch125,two_term_center,current_m3,1.1474471649260172,1.1474471649260172,0.0,True
twelve_condition_holdout,H2O_stretch150,two_term_center,current_m3,1.1486998254186966,1.1486998254186966,0.0,True
twelve_condition_holdout,H2O_stretch150_631g,two_term_center,current_m3,1.1445913761130564,1.1445913761130564,0.0,True
twelve_condition_holdout,H2O_stretch150_ccpvdz,two_term_center,current_m3,1.1444281217860994,1.1444281217860994,0.0,True
twelve_condition_holdout,LiH_CAS2e4o,two_term_center,current_m3,1.2101096263465227,1.2101096263465227,0.0,True
