system_id,formula_id,state_id,sign,time_hartree_inverse,auxiliary_fit_a4,auxiliary_fit_a6,scaled_design_condition_number,fhat_approx_hartree,g_approx_hartree,g_exact_hartree,delta_direct_hartree,E_fit_signed_hartree,E_state_signed_hartree,E_proxy_signed_hartree,E_total_signed_hartree,closure_residual_hartree,closure_over_target_error
H2_stored,current_m3,exact_ground,-1,-0.05,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-1.71145453110981e-11,-1.7114087924596788e-11,-1.7114087924596788e-11,-1.7112089523152463e-11,-4.573865013129856e-16,0.0,-1.9984014443252818e-15,-2.4557879456382673e-15,0.0,0.0
H2_stored,current_m3,exact_ground,-1,-0.08,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-1.1215607511925288e-10,-1.1215472994763331e-10,-1.1215472994763331e-10,-1.1215373074691115e-10,-1.3451716195634856e-15,0.0,-9.992007221626409e-16,-2.3443723417261265e-15,0.0,0.0
H2_stored,current_m3,exact_ground,-1,-0.12,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-5.677298057327139e-10,-5.677282718015894e-10,-5.677282718015894e-10,-5.677264214298816e-10,-1.533931124567372e-15,0.0,-1.85037170774306e-15,-3.384302832310432e-15,0.0,0.0
H2_stored,current_m3,exact_ground,-1,-0.18,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-2.8734450070976583e-09,-2.8734419165053913e-09,-2.8734419165053913e-09,-2.8734403745289683e-09,-3.0905922670185207e-15,0.0,-1.5419764229985862e-15,-4.632568690017107e-15,0.0,0.0
H2_stored,current_m3,exact_ground,-1,-0.27,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-1.453898845788118e-08,-1.4538989148407367e-08,-1.4538989148407367e-08,-1.4538998116542245e-08,6.905261865166455e-16,0.0,8.968134878164863e-15,9.658661064681509e-15,0.0,0.0
H2_stored,current_m3,exact_ground,-1,-0.4,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-6.99545554034503e-08,-6.995455520408811e-08,-6.995455520408811e-08,-6.995480739124815e-08,-1.9936218756319422e-16,0.0,2.521871600436043e-13,2.519877978560411e-13,0.0,0.0
H2_stored,current_m3,exact_ground,1,0.05,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-1.71145453110981e-11,-1.7114087924596788e-11,-1.7114087924596788e-11,-1.7112089523152463e-11,-4.573865013129856e-16,0.0,-1.9984014443252818e-15,-2.4557879456382673e-15,0.0,0.0
H2_stored,current_m3,exact_ground,1,0.08,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-1.1215607511925288e-10,-1.1215681161580449e-10,-1.1215681161580449e-10,-1.1215373074691115e-10,7.364965516086829e-16,0.0,-3.0808688933348094e-15,-2.3443723417261265e-15,0.0,0.0
H2_stored,current_m3,exact_ground,1,0.12,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-5.677298057327139e-10,-5.677282718015894e-10,-5.677282718015894e-10,-5.677264214298816e-10,-1.533931124567372e-15,0.0,-1.85037170774306e-15,-3.384302832310432e-15,0.0,0.0
H2_stored,current_m3,exact_ground,1,0.18,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-2.8734450070976583e-09,-2.873442224900676e-09,-2.873442224900676e-09,-2.8734403745289683e-09,-2.7821969821706493e-15,0.0,-1.8503717078464577e-15,-4.632568690017107e-15,0.0,0.0
H2_stored,current_m3,exact_ground,1,0.27,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-1.453898845788118e-08,-1.4538989354004224e-08,-1.4538989354004224e-08,-1.4538998116542245e-08,8.961230428061663e-16,0.0,8.762538021875343e-15,9.658661064681509e-15,0.0,0.0
H2_stored,current_m3,exact_ground,1,0.4,-2.738418161352337e-06,3.636463065662695e-08,17.3589273424777,-6.99545554034503e-08,-6.995455534286599e-08,-6.995455534286599e-08,-6.995480739124815e-08,-6.058430948504965e-17,0.0,2.5204838216552616e-13,2.519877978560411e-13,0.0,0.0
H2_stored,m5_best,exact_ground,-1,-0.05,-2.404964457160714e-07,4.764617537404755e-09,17.3589273424777,-1.5030283385764247e-12,-1.5043521983670871e-12,-1.5043521983670871e-12,-1.5007994846882866e-12,1.323859790662443e-15,0.0,-3.552713678800501e-15,-2.228853888138058e-15,0.0,0.0
