system_id,formula_id,state_id,sign,absolute_time,time_hartree_inverse,echo_real,echo_imaginary,echo_overlap_magnitude,echo_principal_phase_radians,echo_unwrapped_phase_radians,echo_unwrap_integer,proxy_imag_hartree,proxy_arg_hartree,direct_shift_hartree,unitarity_residual_frobenius
two_level_commuting,yoshida4,exact_ground,-1,0.05,-0.05,0.9999999999999994,9.8130778667736e-18,0.9999999999999994,9.813077866773606e-18,9.813077866773606e-18,0,-1.96261557335472e-16,-1.962615573354721e-16,2.220446049250313e-16,1.5700924586837751e-15
two_level_commuting,yoshida4,real_q001,-1,0.05,-0.05,0.9999999999999993,9.616816309438108e-18,0.9999999999999993,9.616816309438114e-18,9.616816309438114e-18,0,-1.9233632618876216e-16,-1.9233632618876229e-16,2.220446049250313e-16,1.5700924586837751e-15
two_level_commuting,yoshida4,complex_q001,-1,0.05,-0.05,0.9999999999999994,0.0,0.9999999999999994,0.0,0.0,0,-0.0,-0.0,2.220446049250313e-16,1.5700924586837751e-15
two_level_commuting,yoshida4,exact_ground,-1,0.08,-0.08,0.9999999999999992,9.8130778667736e-18,0.9999999999999992,9.813077866773607e-18,9.813077866773607e-18,0,-1.2266347333466998e-16,-1.2266347333467008e-16,0.0,1.7271017045521525e-15
two_level_commuting,yoshida4,real_q001,-1,0.08,-0.08,0.9999999999999992,1.1569594148795869e-17,0.9999999999999992,1.1569594148795878e-17,1.1569594148795878e-17,0,-1.4461992685994835e-16,-1.4461992685994847e-16,0.0,1.7271017045521525e-15
two_level_commuting,yoshida4,complex_q001,-1,0.08,-0.08,0.9999999999999992,0.0,0.9999999999999992,0.0,0.0,0,-0.0,-0.0,0.0,1.7271017045521525e-15
two_level_commuting,yoshida4,exact_ground,-1,0.12,-0.12,0.9999999999999992,4.906538933386795e-17,0.9999999999999992,4.9065389333867985e-17,4.9065389333867985e-17,0,-4.0887824444889957e-16,-4.0887824444889987e-16,-4.440892098500626e-16,1.88411095042053e-15
two_level_commuting,yoshida4,real_q001,-1,0.12,-0.12,0.9999999999999991,5.003685938654835e-17,0.9999999999999991,5.0036859386548394e-17,5.0036859386548394e-17,0,-4.1697382822123625e-16,-4.1697382822123664e-16,-4.440892098500626e-16,1.88411095042053e-15
two_level_commuting,yoshida4,complex_q001,-1,0.12,-0.12,0.9999999999999992,5.551115123125783e-17,0.9999999999999992,5.551115123125788e-17,5.551115123125788e-17,0,-4.625929269271486e-16,-4.62592926927149e-16,-4.440892098500626e-16,1.88411095042053e-15
two_level_commuting,yoshida4,exact_ground,-1,0.18,-0.18,0.9999999999999993,5.887846720064155e-17,0.9999999999999993,5.887846720064158e-17,5.887846720064158e-17,0,-3.271025955591197e-16,-3.271025955591199e-16,-4.440892098500626e-16,1.2560739669470201e-15
two_level_commuting,yoshida4,real_q001,-1,0.18,-0.18,0.9999999999999992,5.379534217791325e-17,0.9999999999999992,5.3795342177913295e-17,5.3795342177913295e-17,0,-2.988630120995181e-16,-2.9886301209951833e-16,-4.440892098500626e-16,1.2560739669470201e-15
two_level_commuting,yoshida4,complex_q001,-1,0.18,-0.18,0.9999999999999993,6.938893903907228e-17,0.9999999999999993,6.938893903907233e-17,6.938893903907233e-17,0,-3.854941057726238e-16,-3.854941057726241e-16,-4.440892098500626e-16,1.2560739669470201e-15
two_level_commuting,yoshida4,exact_ground,-1,0.27,-0.27,0.9999999999999992,3.925231146709435e-17,0.9999999999999992,3.925231146709438e-17,3.925231146709438e-17,0,-1.453789313596087e-16,-1.453789313596088e-16,0.0,1.5700924586837751e-15
two_level_commuting,yoshida4,real_q001,-1,0.27,-0.27,0.9999999999999991,8.533393338233846e-17,0.9999999999999991,8.533393338233854e-17,8.533393338233854e-17,0,-3.1605160511977205e-16,-3.1605160511977234e-16,0.0,1.5700924586837751e-15
two_level_commuting,yoshida4,complex_q001,-1,0.27,-0.27,0.9999999999999992,-2.0816681711721685e-17,0.9999999999999992,-2.08166817117217e-17,-2.08166817117217e-17,0,7.709882115452476e-17,7.709882115452481e-17,0.0,1.5700924586837751e-15
two_level_commuting,yoshida4,exact_ground,-1,0.4,-0.4,0.9999999999999993,-1.962615573354719e-16,0.9999999999999993,-1.9626155733547201e-16,-1.9626155733547201e-16,0,4.906538933386797e-16,4.9065389333868e-16,4.440892098500626e-16,1.88411095042053e-15
two_level_commuting,yoshida4,real_q001,-1,0.4,-0.4,0.9999999999999992,-2.001474375461934e-16,0.9999999999999992,-2.0014743754619355e-16,-2.0014743754619355e-16,0,5.003685938654835e-16,5.003685938654839e-16,4.440892098500626e-16,1.88411095042053e-15
two_level_commuting,yoshida4,complex_q001,-1,0.4,-0.4,0.9999999999999993,-2.0816681711721685e-16,0.9999999999999993,-2.08166817117217e-16,-2.08166817117217e-16,0,5.204170427930421e-16,5.204170427930424e-16,4.440892098500626e-16,1.88411095042053e-15
two_level_commuting,yoshida4,exact_ground,1,0.05,0.05,0.9999999999999994,-9.8130778667736e-18,0.9999999999999994,-9.813077866773606e-18,-9.813077866773606e-18,0,-1.96261557335472e-16,-1.962615573354721e-16,2.220446049250313e-16,1.5700924586837751e-15
two_level_commuting,yoshida4,real_q001,1,0.05,0.05,0.9999999999999993,-9.616816309438133e-18,0.9999999999999993,-9.616816309438139e-18,-9.616816309438139e-18,0,-1.9233632618876266e-16,-1.9233632618876278e-16,2.220446049250313e-16,1.5700924586837751e-15
two_level_commuting,yoshida4,complex_q001,1,0.05,0.05,0.9999999999999994,-1.3877787807814457e-17,0.9999999999999994,-1.3877787807814466e-17,-1.3877787807814466e-17,0,-2.7755575615628914e-16,-2.775557561562893e-16,2.220446049250313e-16,1.5700924586837751e-15
two_level_commuting,yoshida4,exact_ground,1,0.08,0.08,0.9999999999999992,-9.8130778667736e-18,0.9999999999999992,-9.813077866773607e-18,-9.813077866773607e-18,0,-1.2266347333466998e-16,-1.2266347333467008e-16,0.0,1.7271017045521525e-15
two_level_commuting,yoshida4,real_q001,1,0.08,0.08,0.9999999999999992,-1.1569594148795869e-17,0.9999999999999992,-1.1569594148795878e-17,-1.1569594148795878e-17,0,-1.4461992685994835e-16,-1.4461992685994847e-16,0.0,1.7271017045521525e-15
two_level_commuting,yoshida4,complex_q001,1,0.08,0.08,0.9999999999999992,-2.7755575615628914e-17,0.9999999999999992,-2.775557561562894e-17,-2.775557561562894e-17,0,-3.469446951953614e-16,-3.469446951953617e-16,0.0,1.7271017045521525e-15
two_level_commuting,yoshida4,exact_ground,1,0.12,0.12,0.9999999999999992,-4.9065389333867985e-17,0.9999999999999992,-4.906538933386802e-17,-4.906538933386802e-17,0,-4.0887824444889987e-16,-4.088782444489002e-16,-4.440892098500626e-16,1.88411095042053e-15
