system_id,formula_id,sign,absolute_time,time_hartree_inverse,selected_eigenbranch_id,principal_phase_radians,unwrapped_phase_radians,unwrap_integer,direct_shift_hartree,ground_state_overlap_probability,previous_branch_overlap_probability,degenerate_subspace_projector_overlap_probability,eigenpair_residual_2_norm
two_level_commuting,yoshida4,-1,0.05,-0.05,1,0.07071067811865475,0.07071067811865475,0,2.220446049250313e-16,0.9999999999999996,0.9999999999999998,0.9999999999999998,1.3877787807814457e-16
two_level_commuting,yoshida4,-1,0.08,-0.08,1,0.11313708498984762,0.11313708498984762,0,0.0,0.9999999999999998,1.0,1.0,1.2719202621569003e-16
two_level_commuting,yoshida4,-1,0.12,-0.12,1,0.16970562748477147,0.16970562748477147,0,-4.440892098500626e-16,0.9999999999999998,1.0,1.0,1.3383253895372864e-16
two_level_commuting,yoshida4,-1,0.18,-0.18,1,0.2545584412271572,0.2545584412271572,0,-4.440892098500626e-16,1.0,1.0000000000000004,1.0000000000000004,1.2412670766236366e-16
two_level_commuting,yoshida4,-1,0.27,-0.27,1,0.3818376618407357,0.3818376618407357,0,0.0,1.0,1.0,1.0,1.1443916996305594e-16
two_level_commuting,yoshida4,-1,0.4,-0.4,1,0.5656854249492379,0.5656854249492379,0,4.440892098500626e-16,1.0,1.0,1.0,1.0007415106216802e-16
two_level_commuting,yoshida4,1,0.05,0.05,1,-0.07071067811865475,-0.07071067811865475,0,2.220446049250313e-16,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.3877787807814457e-16
two_level_commuting,yoshida4,1,0.08,0.08,1,-0.11313708498984762,-0.11313708498984762,0,0.0,1.0,1.0,1.0,1.2719202621569003e-16
two_level_commuting,yoshida4,1,0.12,0.12,1,-0.16970562748477147,-0.16970562748477147,0,-4.440892098500626e-16,1.0,1.0,1.0,1.3383253895372864e-16
two_level_commuting,yoshida4,1,0.18,0.18,1,-0.2545584412271572,-0.2545584412271572,0,-4.440892098500626e-16,1.0,1.0000000000000004,1.0000000000000004,1.2412670766236366e-16
two_level_commuting,yoshida4,1,0.27,0.27,1,-0.3818376618407357,-0.3818376618407357,0,0.0,1.0,1.0,1.0,1.1443916996305594e-16
two_level_commuting,yoshida4,1,0.4,0.4,1,-0.5656854249492379,-0.5656854249492379,0,4.440892098500626e-16,0.9999999999999998,1.0,1.0,1.0007415106216802e-16
two_level_noncommuting,yoshida4,-1,0.05,-0.05,1,0.07071078498967769,0.07071078498967769,0,-2.137420458403483e-06,0.9999999999996871,0.9999999999996871,0.9999999999996871,5.594315114139762e-17
two_level_noncommuting,yoshida4,-1,0.08,-0.08,1,0.11313820054209894,0.11313820054209894,0,-1.3944403141508133e-05,0.9999999999864788,0.9999999999902784,0.9999999999902784,1.576213700060856e-16
two_level_noncommuting,yoshida4,-1,0.12,-0.12,1,0.169714020043661,0.169714020043661,0,-6.99379907467268e-05,0.9999999996488271,0.9999999997731208,0.9999999997731208,5.551115123125783e-17
two_level_noncommuting,yoshida4,-1,0.18,-0.18,1,0.25462084080959985,0.25462084080959985,0,-0.0003466643469041131,0.9999999907384729,0.999999993994181,0.999999993994181,1.4686870114880517e-16
two_level_noncommuting,yoshida4,-1,0.27,-0.27,1,0.3822892606416017,0.3822892606416017,0,-0.001672588151355514,0.9999997484068753,0.9999998356883152,0.9999998356883152,2.7511642410880956e-16
two_level_noncommuting,yoshida4,-1,0.4,-0.4,1,0.5685841928377906,0.5685841928377906,0,-0.007246919721381362,0.9999935440036919,0.9999958413535089,0.9999958413535089,1.5515838457795457e-16
