dataset,condition,formula,target_name,target_error_hartree,source_status,analysis_status,model_name,formal_order,rotations,alpha,source_analytic_time_ca_div_10,target_analytic_time,saved_direct_point_count,model_time,model_relative_to_target_t_ana,model_signed_shift_hartree,model_absolute_error_hartree,model_cost,model_optimum_at_search_boundary,model_status,nearest_direct_time,nearest_direct_time_relative_mismatch,model_time_direct_point_covered,nearest_direct_error_hartree,nearest_direct_cost,direct_grid_status,direct_grid_minimum_time,direct_grid_minimum_cost,direct_grid_minimum_error_hartree,direct_grid_minimum_bracketed,direct_grid_minimum_lower_gap_fraction,direct_grid_minimum_upper_gap_fraction,feasible_saved_point_count,local_unseen_point_count,local_unseen_coverage,full_existing_curve_coverage,check_eta_star,check_eta_min,check_eta_t,check_maximum_local_unseen_residual_over_target_error,fixed_model_passed,maximum_local_unseen_residual_over_target_error,eta_star,eta_min,eta_t
p03,CO_active_eq_sto3g,current_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,37936,0.00014510651589981813,0.6845900890823222,1.2173924597318053,51,1.2755838193069857,1.0478,-0.0003374515563117034,0.0003374515563117034,28410755.404744297,False,complete,0.797473860346329,0.3748165755351224,False,5.5638820629140594e-05,37116833.94585731,complete,0.797473860346329,37116833.94585731,5.5638820629140594e-05,False,0.0001974431117034915,,51,0,False,False,False,False,False,False,False,,,,
p03,CO_active_eq_sto3g,current_m3,CA_div_10,0.00015936001019904,complete,validated_existing_curve,two_term_5point,4,37936,0.00014510651589981813,0.6845900890823222,0.6845900890823222,51,0.6934555307359384,1.01295,-3.2354059882858325e-05,3.2354059882858325e-05,516880440.2969487,False,complete,0.6934555307359384,0.0,True,3.2284864365200195e-05,516598986.2848441,complete,0.6934555307359384,516598986.2848441,3.2284864365200195e-05,True,0.00019744311170342884,0.009800582457179496,51,45,True,True,True,True,True,True,True,0.0016771663994402024,0.0005448210692952885,0.0,0.0
p03,CO_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,37936,0.00014510651589981813,0.6845900890823222,0.3849732979067322,51,0.38647469376856847,1.0039,-3.2016624411221546e-06,3.2016624411221546e-06,9249863593.636282,False,complete,0.3422950445411611,0.11431446855318117,False,1.9749255081031217e-06,9526059608.908115,complete,0.3422950445411611,9526059608.908115,1.9749255081031217e-06,False,0.19999999999999993,,5,0,False,False,False,False,False,False,False,,,,
p03,CO_active_eq_sto3g,two_term_center,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,37936,0.00024674206908230416,0.5995032413814413,1.0660842704002114,51,1.084740745132215,1.0175,-0.00032528205130719296,0.00032528205130719296,33088620.08127357,False,complete,0.6930482284084979,0.36109320912065046,False,5.577508262970274e-05,42713228.85925221,complete,0.6930482284084979,42713228.85925221,5.577508262970274e-05,False,4.973887092768132e-05,,51,0,False,False,False,False,False,False,False,,,,
p03,CO_active_eq_sto3g,two_term_center,CA_div_10,0.00015936001019904,complete,validated_existing_curve,two_term_5point,4,37936,0.00024674206908230416,0.5995032413814413,0.5995032413814413,51,0.6026506333986938,1.00525,-3.206705846202255e-05,3.206705846202255e-05,593420859.2563109,False,complete,0.6026506333986938,0.0,True,3.2056551967514175e-05,593371883.5797225,complete,0.6026506333986938,593371883.5797225,3.2056551967514175e-05,True,4.973887092757719e-05,0.009949763740363233,51,45,True,True,True,True,True,True,True,0.000245458195137202,8.253791246891119e-05,0.0,0.0
p03,CO_active_eq_sto3g,two_term_center,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,37936,0.00024674206908230416,0.5995032413814413,0.33712544721434945,51,0.33766484792989243,1.0016,-3.192905715640801e-06,3.192905715640801e-06,10579667043.544003,False,complete,0.29975162069072064,0.11228064594702347,False,1.9848040004468727e-06,10885785460.320642,complete,0.29975162069072064,10885785460.320642,1.9848040004468727e-06,False,0.19999999999999993,,5,0,False,False,False,False,False,False,False,,,,
p03,CO_active_eq_sto3g,yoshida4,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,16336,0.053103439320029755,0.1565206611499901,0.2783374689687066,51,0.27977090693389545,1.00515,-0.000320618777229091,0.000320618777229091,55043036.9496944,False,complete,0.18028675833900462,0.3555914719123995,False,5.577396529734383e-05,70705940.43050908,complete,0.18028675833900462,70705940.43050908,5.577396529734383e-05,False,4.9920127795649635e-05,,51,0,False,False,False,False,False,False,False,,,,
p03,CO_active_eq_sto3g,yoshida4,CA_div_10,0.00015936001019904,complete,validated_existing_curve,two_term_5point,4,16336,0.053103439320029755,0.1565206611499901,0.1565206611499901,51,0.15677109420783011,1.0016,-3.1933424183062963e-05,3.1933424183062963e-05,981298044.6627187,False,complete,0.15677109420783011,0.0,True,3.193499312486577e-05,981310127.0587711,complete,0.1567632681747726,981310122.3165642,3.1928631118352156e-05,True,0.009950576606260203,4.9922619939209194e-05,51,45,True,True,True,True,True,True,True,3.367349330407114e-05,1.231251540090967e-05,4.832526157017014e-09,4.992261993930214e-05
p03,CO_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,16336,0.053103439320029755,0.1565206611499901,0.08801803601075503,51,0.08805764412695988,1.00045,-3.188747134776379e-06,3.188747134776379e-06,17463981910.39609,False,complete,0.07826033057499505,0.11126022787799361,False,1.989990692311031e-06,17961198405.716858,complete,0.07826033057499505,17961198405.716858,1.989990692311031e-06,False,0.1999999999999999,,5,0,False,False,False,False,False,False,False,,,,
p03,CO_active_eq_sto3g,yoshida6_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,three_term_5point,6,37936,0.006019604148441528,0.39471675580435694,0.5793649650877943,28,0.5922268673127433,1.0222,0.0002346427068151534,0.0002346427068151534,56563833.52217028,False,complete,0.4583954232263843,0.22598002804841555,False,5.2584080217801656e-05,64444425.40103473,complete,0.4583954232263843,64444425.40103473,5.2584080217801656e-05,False,0.043478260869565015,,28,0,False,False,False,False,False,False,False,,,,
