condition,formula,physical_gap_hartree,a8_diag,a8_mix,a8_total,a8_component_sum,a8_identity_relative_residual,mixing_fraction,cancellation_ratio,a8_diag_sign,a8_mix_sign,a8_total_sign
HF_full_eq_sto3g,yoshida4,0.5623239661768551,-301.64388032337655,-148.36123683863678,-450.00511716201595,-450.00511716201333,5.81059451965245e-15,0.32968788838288465,0.9999999999999942,-1,-1,-1
HF_full_eq_sto3g,current_m3,0.5623239661768551,6.519710716278959,-3.5540329736747287,2.9656777426034155,2.96567774260423,2.746284935699193e-13,0.352801608126985,3.39677623945428,1,-1,1
HF_full_stretch150_sto3g,yoshida4,0.17519102632642358,-100.12989378982064,-35.34145296090654,-135.47134675072857,-135.47134675072718,1.0280135213037634e-14,0.2608776970818505,0.9999999999999897,-1,-1,-1
HF_full_stretch150_sto3g,current_m3,0.17519102632642358,1.553791817621529,-0.8488245518565893,0.7049672657647802,0.7049672657649397,2.263070306754738e-13,0.3532917542058393,3.408124726006465,1,-1,1
