dataset_id,condition,molecule,analysis_cluster,variation_axis,pf,model,target_error_hartree,beta,rotations_per_pf_step,selected_time,model_signed_shift_hartree,direct_signed_shift_hartree,signed_shift_residual_hartree,frozen_model_cost,stored_direct_required_cost,model_error_hartree,direct_error_hartree,predicted_qpe_allowance_hartree,frozen_qpe_error_hartree,qpe_allowance_reproduction_difference_hartree,actual_total_error_bound_hartree,actual_total_error_over_target,budget_margin_hartree,target_excess_hartree,target_excess_over_epsilon,strict_frozen_budget_pass,tolerance_frozen_budget_pass,pf_error_direction,required_direct_cost,frozen_over_required_cost_ratio,additional_cost_fraction_needed,avoidable_cost_fraction_vs_direct,pf_error_underestimate_hartree,pf_error_overestimate_hartree,model_cost_reproduction_relative_difference,direct_cost_reproduction_relative_difference,stored_eta_star,eta_star_1pct_pass,four_metric_pass,eta_min,eta_t,maximum_unseen_residual_over_epsilon,source
five_condition_holdout,H6,H6,H_chain,chain_length,two_term_center,original_one_term,0.00015936001019904,1.2,14344,0.9898406669487186,-3.1872002039807995e-05,-3.0609783603945076e-05,1.2622184358629195e-06,136400792.68130872,135063570.99446765,3.1872002039807995e-05,3.0609783603945076e-05,0.000127488008159232,0.000127488008159232,0.0,0.00015809779176317708,0.9920794530931165,1.262218435862933e-06,0.0,0.0,True,True,conservative_pf_error,135063570.99446765,1.0099006836336042,0.0,0.00990068363360419,0.0,1.2622184358629195e-06,0.0,0.0,0.009900683633604244,True,True,0.0005166901203608187,0.014593864861402683,0.015389392814149309,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition_holdout,H6,H6,H_chain,chain_length,two_term_center,refit_one_term,0.00015936001019904,1.2,14344,0.9902147221880909,-3.187200203980801e-05,-3.065510820380741e-05,1.2168938360006e-06,136349267.0576094,135060096.4040181,3.187200203980801e-05,3.065510820380741e-05,0.000127488008159232,0.000127488008159232,0.0,0.00015814311636303942,0.9923638694897127,1.2168938360005864e-06,0.0,0.0,True,True,conservative_pf_error,135060096.4040181,1.009545163137859,0.0,0.009545163137858914,0.0,1.2168938360006e-06,0.0,0.0,0.009545163137858916,True,True,0.00049095123525289,0.014221485406743173,0.014920406734234162,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition_holdout,H6,H6,H_chain,chain_length,two_term_center,two_term,0.00015936001019904,1.2,14344,1.0045002072262292,-3.2426477477160624e-05,-3.2423193883502275e-05,3.2835936583492883e-09,134997313.12292412,134993821.0208364,3.2426477477160624e-05,3.2423193883502275e-05,0.00012693353272187939,0.00012693353272187939,0.0,0.00015935672660538167,0.9999793951214345,3.283593658342512e-09,0.0,0.0,True,True,conservative_pf_error,134993821.0208364,1.0000258686068837,0.0,2.586860688369441e-05,0.0,3.2835936583492883e-09,0.0,0.0,2.586860688362409e-05,True,True,0.0,0.0,7.013925243696833e-05,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition_holdout,H6,H6,H_chain,chain_length,current_m3,original_one_term,0.00015936001019904,1.2,14344,1.130328683486731,-3.187200203980801e-05,-2.9706717906622357e-05,2.165284133185652e-06,119447602.78357166,117452759.50206824,3.187200203980801e-05,2.9706717906622357e-05,0.000127488008159232,0.000127488008159232,0.0,0.00015719472606585437,0.9864126255358467,2.1652841331856385e-06,0.0,0.0,True,True,conservative_pf_error,117452759.50206824,1.0169842180801916,0.0,0.01698421808019157,0.0,2.165284133185652e-06,0.0,0.0,0.01698421808019161,False,False,0.0016783885921289876,0.02477557647953732,0.028232632453951648,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition_holdout,H6,H6,H_chain,chain_length,current_m3,refit_one_term,0.00015936001019904,1.2,14344,1.1310632544568169,-3.1872002039808e-05,-2.9780934415067457e-05,2.0910676247405453e-06,119370027.33312234,117443707.06875478,3.1872002039808e-05,2.9780934415067457e-05,0.000127488008159232,0.000127488008159232,0.0,0.00015726894257429947,0.9868783415479906,2.091067624740542e-06,0.0,0.0,True,True,conservative_pf_error,117443707.06875478,1.0164020730650118,0.0,0.016402073065011846,0.0,2.0910676247405453e-06,0.0,0.0,0.016402073065011857,False,False,0.0016011862611431393,0.024141803700608033,0.027392464300240775,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition_holdout,H6,H6,H_chain,chain_length,current_m3,two_term,0.00015936001019904,1.2,14344,1.1590446836907113,-3.283578988223308e-05,-3.270673573759969e-05,1.2905414463338906e-07,117375558.99761124,117255958.43906496,3.283578988223308e-05,3.270673573759969e-05,0.00012652422031680694,0.00012652422031680694,0.0,0.00015923095605440663,0.999190172337011,1.2905414463338228e-07,0.0,0.0,True,True,conservative_pf_error,117255958.43906496,1.0010199955732606,0.0,0.0010199955732606014,0.0,1.2905414463338906e-07,0.0,0.0,0.0010199955732605977,True,True,0.0,0.0,0.0015156556211767345,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition_holdout,H7,H7,H_chain,chain_length,two_term_center,original_one_term,0.00015936001019904,1.2,27552,1.0327277003004793,-3.187200203980801e-05,-3.059043618633377e-05,1.2815658534742354e-06,251118792.22814015,248619558.44754604,3.187200203980801e-05,3.059043618633377e-05,0.000127488008159232,0.000127488008159232,0.0,0.0001580784443455658,0.9919580461128639,1.281565853474215e-06,0.0,0.0,True,True,conservative_pf_error,248619558.44754604,1.01005244235892,0.0,0.01005244235892011,0.0,1.2815658534742354e-06,0.0,0.0,0.010052442358920048,False,False,0.0005329581781496895,0.014846266759927729,0.015646488628329337,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition_holdout,H7,H7,H_chain,chain_length,two_term_center,refit_one_term,0.00015936001019904,1.2,27552,1.0331306768080133,-3.187200203980801e-05,-3.063719343872021e-05,1.2348086010877956e-06,251020842.39842364,248612856.75106928,3.187200203980801e-05,3.063719343872021e-05,0.000127488008159232,0.000127488008159232,0.0,0.0001581252015979522,0.992251452547314,1.2348086010878024e-06,0.0,0.0,True,True,conservative_pf_error,248612856.75106928,1.0096856843158575,0.0,0.009685684315857479,0.0,1.2348086010877956e-06,0.0,0.0,0.00968568431585752,True,True,0.0005059881833409108,0.014461853898057542,0.015161741702325674,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition_holdout,H7,H7,H_chain,chain_length,two_term_center,two_term,0.00015936001019904,1.2,27552,1.0482909067440074,-3.243532217091613e-05,-3.243457371655785e-05,7.484543582776323e-10,248488590.49039522,248487125.2020047,3.243532217091613e-05,3.243457371655785e-05,0.0001269246880281239,0.0001269246880281239,0.0,0.00015935926174468173,0.9999953033740564,7.484543582776323e-10,0.0,0.0,True,True,conservative_pf_error,248487125.2020047,1.0000058968382741,0.0,5.896838274122018e-06,0.0,7.484543582776323e-10,0.0,0.0,5.89683827412002e-06,True,True,0.0,0.0,4.148046075863533e-05,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition_holdout,H7,H7,H_chain,chain_length,current_m3,original_one_term,0.00015936001019904,1.2,27552,1.1792969989068247,-3.1872002039807995e-05,-2.9691575850007067e-05,2.1804261898009285e-06,219908414.11484936,216210566.84846735,3.1872002039807995e-05,2.9691575850007067e-05,0.000127488008159232,0.000127488008159232,0.0,0.00015717958400923907,0.9863176076163801,2.1804261898009352e-06,0.0,0.0,True,True,conservative_pf_error,216210566.84846735,1.0171029904795248,0.0,0.017102990479524793,0.0,2.1804261898009285e-06,0.0,0.0,0.017102990479524852,False,False,0.0017184581548965738,0.024960998439937487,0.029010216658006262,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
