dataset_id,condition,molecule,analysis_cluster,variation_axis,pf,model,target_error_hartree,beta,rotations_per_pf_step,selected_time,model_signed_shift_hartree,direct_signed_shift_hartree,signed_shift_residual_hartree,frozen_model_cost,stored_direct_required_cost,model_error_hartree,direct_error_hartree,predicted_qpe_allowance_hartree,frozen_qpe_error_hartree,qpe_allowance_reproduction_difference_hartree,actual_total_error_bound_hartree,actual_total_error_over_target,budget_margin_hartree,target_excess_hartree,target_excess_over_epsilon,strict_frozen_budget_pass,tolerance_frozen_budget_pass,pf_error_direction,required_direct_cost,frozen_over_required_cost_ratio,additional_cost_fraction_needed,avoidable_cost_fraction_vs_direct,pf_error_underestimate_hartree,pf_error_overestimate_hartree,model_cost_reproduction_relative_difference,direct_cost_reproduction_relative_difference,stored_eta_star,eta_star_1pct_pass,four_metric_pass,eta_min,eta_t,maximum_unseen_residual_over_epsilon,source
twelve_condition_holdout,BeH2_stretch125,BeH2,BeH2,geometry,two_term_center,two_term,0.00015936001019904,1.2,4404,1.6097352870827806,-3.2411351932738294e-05,-3.241829756538331e-05,-6.945632645016678e-09,25861039.45516026,25862454.445364404,3.2411351932738294e-05,3.241829756538331e-05,0.0001269486582663017,0.0001269486582663017,0.0,0.00015936695583168502,1.0000435845394107,-6.945632645009902e-09,6.945632645009902e-09,4.358453941070181e-05,False,False,underestimated_pf_error,25862454.445364404,0.9999452878609363,5.471513264576622e-05,0.0,6.945632645016678e-09,0.0,0.0,0.0,5.471213906373424e-05,True,True,0.0,0.0,8.471574805802639e-05,artifacts/two_term_pf_geometry_local_20260911_ablation/summary.json
twelve_condition_holdout,BeH2_stretch150,BeH2,BeH2,geometry,two_term_center,two_term,0.00015936001019904,1.2,4404,1.828004910410612,-3.239847375265e-05,-3.240724690864599e-05,-8.773155995989569e-09,22770838.801970188,22772412.396083396,3.239847375265e-05,3.240724690864599e-05,0.00012696153644639,0.00012696153644639,0.0,0.00015936878335503599,1.0000550524311904,-8.773155995976016e-09,8.773155995976016e-09,5.505243119034932e-05,False,False,underestimated_pf_error,22772412.396083396,0.9999308991034486,6.910567181539484e-05,0.0,8.773155995989569e-09,0.0,0.0,0.0,6.910089655143407e-05,True,True,0.0,0.0,0.00011542326323975623,artifacts/two_term_pf_geometry_local_20260911_ablation/summary.json
twelve_condition_holdout,H2O_stretch125,H2O,H2O,geometry,two_term_center,two_term,0.00015936001019904,1.2,8100,0.9596298250584296,-3.2214586558205286e-05,-3.2218116515830406e-05,-3.5299576251198264e-09,79663942.31758614,79666154.1010706,3.2214586558205286e-05,3.2218116515830406e-05,0.0001271454236408347,0.00012714542364083474,2.710505431213761e-20,0.00015936354015666515,1.0000221508370934,-3.529957625140155e-09,3.529957625140155e-09,2.215083709351708e-05,False,False,underestimated_pf_error,79666154.1010706,0.999972236848767,2.776392204695277e-05,0.0,3.5299576251198264e-09,0.0,0.0,0.0,2.7763151232992683e-05,True,True,0.0,0.0,3.584904703159217e-05,artifacts/two_term_pf_geometry_local_20260911_ablation/summary.json
twelve_condition_holdout,H2O_stretch150,H2O,H2O,geometry,two_term_center,two_term,0.00015936001019904,1.2,8100,1.1885191142613774,-3.2284107224007e-05,-3.229082493386944e-05,-6.717709862440527e-09,64357162.80430982,64360565.14569092,3.2284107224007e-05,3.229082493386944e-05,0.000127075902975033,0.000127075902975033,0.0,0.00015936672790890246,1.000042154301158,-6.717709862447303e-09,6.717709862447303e-09,4.215430115784324e-05,False,False,underestimated_pf_error,64360565.14569092,0.9999471362413709,5.2866553353903e-05,0.0,6.717709862440527e-09,0.0,0.0,0.0,5.286375862911676e-05,True,True,0.0,0.0,7.000645657956834e-05,artifacts/two_term_pf_geometry_local_20260911_ablation/summary.json
twelve_condition_holdout,BeH2_stretch150_631g,BeH2,BeH2,geometry_and_basis,two_term_center,two_term,0.00015936001019904,1.2,4404,2.741861437761443,-3.265682303481037e-05,-3.267245730168834e-05,-1.5634266877970725e-08,15212322.129192133,15214199.452564178,3.265682303481037e-05,3.267245730168834e-05,0.00012670318716422963,0.00012670318716422963,0.0,0.00015937564446591798,1.0000981065880858,-1.5634266877970725e-08,1.5634266877970725e-08,9.810658808595449e-05,False,False,underestimated_pf_error,15214199.452564178,0.9998766071538697,0.00012340807380373242,0.0,1.5634266877970725e-08,0.0,0.0,0.0,0.00012339284613027278,True,True,0.0,0.0,0.00020100046333054307,artifacts/two_term_pf_geometry_local_20260911_ablation/summary.json
twelve_condition_holdout,BeH2_stretch150_ccpvdz,BeH2,BeH2,geometry_and_basis,two_term_center,two_term,0.00015936001019904,1.2,4404,3.110765577643448,-3.2689500819956834e-05,-3.269953769139469e-05,-1.0036871437857093e-08,13411759.429706698,13412822.208823863,3.2689500819956834e-05,3.269953769139469e-05,0.0001266705093790832,0.0001266705093790832,0.0,0.00015937004707047787,1.0000629823719598,-1.003687143786387e-08,1.003687143786387e-08,6.298237195973982e-05,False,False,underestimated_pf_error,13412822.208823863,0.9999207639450804,7.92423337694359e-05,0.0,1.0036871437857093e-08,0.0,0.0,0.0,7.923605491959517e-05,True,True,0.0,0.0,0.00010289648137881043,artifacts/two_term_pf_geometry_local_20260911_ablation/summary.json
twelve_condition_holdout,H2O_stretch150_631g,H2O,H2O,geometry_and_basis,two_term_center,two_term,0.00015936001019904,1.2,8100,1.2683061588619824,-3.2118397911567384e-05,-3.212275358199117e-05,-4.355670423785655e-09,60230018.989898026,60232080.82398117,3.2118397911567384e-05,3.212275358199117e-05,0.00012724161228747262,0.00012724161228747265,2.710505431213761e-20,0.00015936436586946382,1.0000273322674764,-4.35567042381276e-09,4.35567042381276e-09,2.733226747646756e-05,False,False,underestimated_pf_error,60232080.82398117,0.9999657685065012,3.423266533419955e-05,0.0,4.355670423785655e-09,0.0,0.0,0.0,3.423149349883386e-05,True,True,0.0,0.0,4.7909838438830345e-05,artifacts/two_term_pf_geometry_local_20260911_ablation/summary.json
twelve_condition_holdout,H2O_stretch150_ccpvdz,H2O,H2O,geometry_and_basis,two_term_center,two_term,0.00015936001019904,1.2,8100,1.285529902116102,-3.2120430805784523e-05,-3.2125342118863744e-05,-4.911313079220881e-09,59423996.58279163,59426290.3746963,3.2120430805784523e-05,3.2125342118863744e-05,0.00012723957939325548,0.0001272395793932555,2.710505431213761e-20,0.00015936492151211924,1.0000308189807035,-4.911313079234434e-09,4.911313079234434e-09,3.081898070350412e-05,False,False,underestimated_pf_error,59426290.3746963,0.9999614010585178,3.860043141790115e-05,0.0,4.911313079220881e-09,0.0,0.0,0.0,3.859894148213021e-05,True,True,0.0,0.0,5.86643453844983e-05,artifacts/two_term_pf_geometry_local_20260911_ablation/summary.json
