system_id,state_id,formula_id,state_energy_error_hartree,state_energy_variance_hartree_squared,exact_state_overlap_probability,d4_expectation_hartree,absolute_d4_expectation_hartree,d4_spectral_norm_hartree,d4_frobenius_norm_hartree,centered_d4_action_norm_hartree,expectation_over_spectral_norm,centered_action_over_expectation,d4_state_variance_hartree_squared,d4_expectation_relative_error_vs_exact_state
H2,exact,yoshida4,2.3314683517128287e-15,5.573124280103955e-32,1.0,-0.0010021771722412854,0.0010021771722412854,0.001125360239566942,0.0015914997133510047,0.0005119341600602819,0.890538990987402,0.5108220125543111,2.620765842366263e-07,0.0
H2,hf,yoshida4,0.035041680914684736,0.03872653374855178,0.969267020206228,-0.0007638645294723265,0.0007638645294723265,0.001125360239566942,0.0015914997133510047,0.0008264058624018746,0.6787733408515256,1.0818749012639077,6.829466494121861e-07,0.23779492226508472
H2,cisd,yoshida4,2.220446049250313e-15,1.825249119546072e-32,1.0000000000000004,-0.0010021771722412854,0.0010021771722412854,0.001125360239566942,0.0015914997133510047,0.000511934160060282,0.890538990987402,0.5108220125543113,2.620765842366264e-07,0.0
H2,exact,current_m3,2.3314683517128287e-15,5.573124280103955e-32,1.0,-2.7384116611797643e-06,2.7384116611797643e-06,2.1448803880277214e-05,3.03331893441687e-05,2.127327641592873e-05,0.12767199870281867,7.768472767444966,4.525522894685096e-10,0.0
H2,hf,current_m3,0.035041680914684736,0.03872653374855178,0.969267020206228,-9.913344556450818e-06,9.913344556450818e-06,2.1448803880277214e-05,3.03331893441687e-05,1.9020430794271767e-05,0.4621863583528973,1.9186693941647353,3.617767875996817e-10,2.620107486753816
H2,cisd,current_m3,2.220446049250313e-15,1.825249119546072e-32,1.0000000000000004,-2.7384116611797706e-06,2.7384116611797706e-06,2.1448803880277214e-05,3.03331893441687e-05,2.127327641592873e-05,0.12767199870281895,7.7684727674449485,4.525522894685096e-10,2.3198656339603657e-15
H2,exact,two_term_center,2.3314683517128287e-15,5.573124280103955e-32,1.0,-4.656046198994236e-06,4.656046198994236e-06,1.6094322448396507e-05,2.2760809083728098e-05,1.5406117254707335e-05,0.2892974347893796,3.3088411489635234,2.3734844886579107e-10,0.0
H2,hf,two_term_center,0.035041680914684736,0.03872653374855178,0.969267020206228,-9.687844562412773e-06,9.687844562412773e-06,1.6094322448396507e-05,2.2760809083728098e-05,1.2851960271004926e-05,0.6019417464435095,1.3266067790629503,1.6517288280748902e-10,1.0807019836928309
H2,cisd,two_term_center,2.220446049250313e-15,1.825249119546072e-32,1.0000000000000004,-4.656046198994241e-06,4.656046198994241e-06,1.6094322448396507e-05,2.2760809083728098e-05,1.5406117254707335e-05,0.28929743478937986,3.30884114896352,2.3734844886579107e-10,1.0915264725301953e-15
H2,exact,m5_best,2.3314683517128287e-15,5.573124280103955e-32,1.0,-2.4049513094842266e-07,2.4049513094842266e-07,9.697393254640043e-06,1.3714185060377314e-05,9.694410659092603e-06,0.02479997713131307,40.31021593186307,9.398159802712828e-11,0.0
H2,hf,m5_best,0.035041680914684736,0.03872653374855178,0.969267020206228,-3.572094450506762e-06,3.572094450506762e-06,9.697393254640043e-06,1.3714185060377314e-05,9.015518685677323e-06,0.36835615063847943,2.5238746652956836,8.127957717179696e-11,13.85308428665379
