formula_id,qiskit_label,number_of_groups,sequence_length,registry_sequence_residual,legacy_vs_explicit_unitary_residual,precomputed_vs_explicit_unitary_residual,legacy_vs_precomputed_unitary_residual,expected_rotation_count,legacy_rotation_count,precomputed_rotation_count,delta_e_explicit,delta_e_qiskit,delta_e_difference,ground_branch_overlap_probability,passed
second_order,2nd,1,1,0.0,2.1976967917933117e-17,2.1976967917933117e-17,0.0,2,2,2,-7.501506923142953e-17,-7.501506923142953e-17,0.0,1.0,True
second_order,2nd,2,1,0.0,5.689413472970616e-16,5.689413472970616e-16,0.0,6,6,6,0.000463496570096107,0.00046349657009663183,5.248080615916084e-16,0.9999973762074172,True
second_order,2nd,3,1,0.0,5.972635987781722e-16,5.972635987781722e-16,0.0,9,9,9,0.0007298817407583497,0.0007298817407587997,4.500523217987329e-16,0.999995736581069,True
yoshida4,4th,1,3,0.0,1.3352864229547329e-16,1.3352864229547329e-16,0.0,2,2,2,0.0,-4.50090415388577e-16,4.50090415388577e-16,1.0,True
yoshida4,4th,2,3,0.0,5.088813752948072e-16,5.088813752948072e-16,0.0,14,14,14,-1.892948030336727e-05,-1.892948030149186e-05,1.8754088722521683e-15,0.999999998843498,True
yoshida4,4th,3,3,0.0,5.874684267612832e-16,5.874684267612832e-16,0.0,23,23,23,-3.0368866280914608e-05,-3.0368866280389536e-05,5.250723358711518e-16,0.9999999966634241,True
morales_y8m10b,8th(Morales-Y8m10b),1,21,0.0,6.73577735068566e-16,6.73577735068566e-16,0.0,2,2,2,-3.750753461571474e-16,-7.501506923142953e-17,3.000602769257179e-16,1.0,True
morales_y8m10b,8th(Morales-Y8m10b),2,21,0.0,2.4780521591955474e-15,2.4780521591955474e-15,0.0,86,86,86,-5.251054846200062e-16,-2.2504520769428875e-16,3.0006027692571743e-16,1.0,True
morales_y8m10b,8th(Morales-Y8m10b),3,21,0.0,2.9109953554989926e-15,2.9109953554989926e-15,0.0,149,149,149,-7.051416507754359e-15,-5.326069915431499e-15,1.7253465923228595e-15,1.0000000000000004,True
