system,formula,curve_point_count,branch_warning_count,first_branch_warning_time,branch_reliable_prefix_end,system_common_reliable_prefix_end,selection_rule_disagreement_count,minimum_ground_overlap_probability,minimum_previous_branch_overlap_probability,minimum_phase_gap_radians
H2,yoshida4,536,177,3.9176676675900746,3.874360249061296,3.874360249061296,79,0.46462618654007326,0.9994784802037594,0.007105570747147907
H2,current_m3,536,122,5.390119897568547,5.346812479039768,3.874360249061296,116,0.00923066566981976,0.973562845987833,0.007105570743949771
H2,two_term_center,536,121,5.433427316097325,5.390119897568547,3.874360249061296,116,0.0030207100243105954,0.9390037904776606,0.007105570743955966
H2,morales_y8m10b,536,106,5.507369976630734,5.506313961920389,3.874360249061296,102,2.708089508208922e-05,0.9735251306549162,0.0035806908464977028
H4,yoshida4,584,231,2.1054711371088466,2.072885650591521,2.072885650591521,228,0.004403353568174063,0.502762068216154,0.00040892123707969574
H4,current_m3,584,213,2.5942534348687327,2.5616679483514067,2.072885650591521,210,1.500863412982779e-05,0.626064736641764,0.004652604302426332
H4,two_term_center,584,213,2.5942534348687327,2.5616679483514067,2.072885650591521,210,4.676018030068087e-06,0.570672432338629,0.002734700312008398
H4,morales_y8m10b,584,168,3.8911557982582967,3.8895265239324304,2.072885650591521,168,5.150241705691528e-06,0.6601564454308425,0.0005909871995748439
