system,formula,declared_t_min,declared_t_max,formula_reliable_prefix_end,system_common_reliable_prefix_end,first_branch_warning_time,coarse_grid_point_count,refined_grid_point_count,coarse_minimum_time,coarse_minimum_cost_per_pf_step_unit,refined_sampled_minimum_time,refined_sampled_minimum_cost_per_pf_step_unit,coarse_cost_over_refined_minus_one,coarse_time_relative_difference,refined_minimum_on_common_reliable_boundary,resolved_direct_sign_change_bracket_count_in_common_prefix,infeasible_grid_point_count_in_common_prefix,unrestricted_full_grid_minimum_time_diagnostic,unrestricted_full_grid_minimum_cost_diagnostic,unrestricted_minimum_outside_formula_reliable_prefix,root_refinement_added_point_count_for_system,sequential_spot_shift_absolute_difference_hartree,sequential_spot_unitary_frobenius_difference,optimum_kind
H2,yoshida4,0.02,6.949186964604576,3.874360249061296,3.874360249061296,3.9176676675900746,37,359,0.431523643491787,22220.02133222222,0.4265192505814716,22206.122276888767,0.0006259109609567659,0.011733099745188325,False,0,221,0.4265192505814716,22206.122276888767,False,38,1.9607796289400348e-16,4.1069372214679443e-16,common-branch-reliable sampled grid; not a continuous minimum
H2,current_m3,0.02,6.949186964604576,5.346812479039768,3.874360249061296,5.390119897568547,37,359,1.8630761066086827,5035.318490733437,1.88221899673748,5034.414644815417,0.00017953346750076982,0.010170384084943529,False,0,28,5.192715757269024,1467.1931362362864,False,38,5.817485809213579e-17,9.801068664149161e-16,common-branch-reliable sampled grid; not a continuous minimum
H2,two_term_center,0.02,6.949186964604576,5.390119897568547,3.874360249061296,5.433427316097325,37,359,1.6095630595200625,5780.574157865697,1.6352020958795033,5777.436470743186,0.0005430933145522676,0.01567942973168135,False,0,38,1.6352020958795033,5777.436470743186,False,38,1.7515963722861128e-16,1.1289731782444935e-15,common-branch-reliable sampled grid; not a continuous minimum
H2,morales_y8m10b,0.02,6.949186964604576,5.506313961920389,3.874360249061296,5.507369976630734,37,359,3.8711820580412377,1948.7029325847604,3.874360249061296,1947.1242096942788,0.000810797217055681,0.0008203137591110687,True,0,0,5.390119897568547,1443.5588373884714,False,38,4.4017761169964226e-17,2.0469251876245903e-15,common-branch-reliable sampled grid; not a continuous minimum
H4,yoshida4,0.02,5.233677842772116,2.072885650591521,2.072885650591521,2.1054711371088466,34,341,0.2814971914725122,32723.82808129622,0.2896562730522529,32677.46249030574,0.0014188859065857873,0.028168150800824687,False,0,209,0.2896562730522529,32677.46249030574,False,76,8.15800470796782e-15,7.903631830552271e-15,common-branch-reliable sampled grid; not a continuous minimum
H4,current_m3,0.02,5.233677842772116,2.5616679483514067,2.072885650591521,2.5942534348687327,34,341,1.301255980828521,7398.4289997371825,1.28032458645177,7394.146879881476,0.0005791229096838713,0.016348506150896558,False,0,5,2.985279273076641,4165.5261968667055,True,76,1.6120324476329162e-15,1.603907845038288e-14,common-branch-reliable sampled grid; not a continuous minimum
H4,two_term_center,0.02,5.233677842772116,2.5616679483514067,2.072885650591521,2.5942534348687327,34,341,1.132187390888476,8503.278983350898,1.1099529770181398,8496.225196930593,0.000830225924667527,0.020031852097075697,False,0,17,2.5942534348687327,3443.8251827558465,True,76,5.5402731014009277e-17,1.5821916300225126e-14,common-branch-reliable sampled grid; not a continuous minimum
H4,morales_y8m10b,0.02,5.233677842772116,3.8895265239324304,2.072885650591521,3.8911557982582967,34,341,1.9755863323096694,3811.9715526253003,2.072885650591521,3633.204294243732,0.04920374520772164,0.04693906692541683,True,0,0,3.83250192252711,2001.8466366546577,False,76,7.501925174276634e-16,3.5297277613511196e-14,common-branch-reliable sampled grid; not a continuous minimum
