system,formula,model_terms,maximum_training_time,branch_reliable_prefix_end,first_holdout_time,contiguous_validity_end_time,contiguous_validity_factor,first_failure_time,later_pass_reentry_after_first_failure,first_material_underprediction_time,first_material_underprediction_factor
H2,yoshida4,1,0.21114814385221364,3.874360249061296,0.2327986488463796,0.6696112779316791,3.171286593929767,0.6930047561509587,False,,
H2,yoshida4,2,0.21114814385221364,3.874360249061296,0.2327986488463796,1.232607718805801,5.837644112412965,1.2759151373345796,False,1.2759151373345796,6.042748536911674
H2,yoshida4,3,0.21114814385221364,3.874360249061296,0.2327986488463796,1.2759151373345796,6.042748536911674,1.3192225558633581,False,1.3192225558633581,6.247852961410381
H2,current_m3,1,0.923925476080354,5.346812479039768,0.9294557891043507,2.4452154376116018,2.646550507498876,2.4885228561403805,False,,
H2,current_m3,2,0.923925476080354,5.346812479039768,0.9294557891043507,3.4845934823022886,3.771509253197855,3.527900900831067,False,5.346812479039768,5.787060339241857
H2,current_m3,3,0.923925476080354,5.346812479039768,0.9294557891043507,3.7011305749461814,4.005875658551808,3.74443799347496,False,5.346812479039768,5.787060339241857
H2,two_term_center,1,0.8100208510728986,5.390119897568547,0.8428409520467935,2.315293182025266,2.858313065594035,2.3586006005540447,False,,
H2,two_term_center,2,0.8100208510728986,5.390119897568547,0.8428409520467935,4.047589923176409,4.996895966091795,4.090897341705189,False,,
H2,two_term_center,3,0.8100208510728986,5.390119897568547,0.8428409520467935,4.047589923176409,4.996895966091795,4.090897341705189,False,,
H2,morales_y8m10b,1,3.021385636784597,5.506313961920389,3.051519297014502,5.438494146212277,1.800000000000001,5.4767347346261035,False,5.4767347346261035,1.812656639373756
H2,morales_y8m10b,2,3.021385636784597,5.506313961920389,3.051519297014502,5.438494146212277,1.800000000000001,5.4767347346261035,False,5.4767347346261035,1.812656639373756
H2,morales_y8m10b,3,3.021385636784597,5.506313961920389,3.051519297014502,5.438494146212277,1.800000000000001,5.4767347346261035,False,5.4767347346261035,1.812656639373756
H4,yoshida4,1,0.14339419458032257,2.072885650591521,0.1503419460693029,0.44361132472523446,3.093649125918725,0.45502985721306016,False,,
H4,yoshida4,2,0.14339419458032257,2.072885650591521,0.1503419460693029,0.7457358808966169,5.200600227081657,0.7694661898984918,False,0.7694661898984918,5.366090253169027
H4,yoshida4,3,0.14339419458032257,2.072885650591521,0.1503419460693029,0.7042952168638403,4.911602027718966,0.7368807033811661,False,0.7368807033811661,5.138846140443996
H4,current_m3,1,0.6276100913979265,2.5616679483514067,0.6391242438291889,1.6166888393489607,2.575944621521269,1.6492743258662863,False,,
H4,current_m3,2,0.6276100913979265,2.5616679483514067,0.6391242438291889,2.0403001640741953,3.2509040119633363,2.072885650591521,True,2.170642110143498,3.458583824407049
H4,current_m3,3,0.6276100913979265,2.5616679483514067,0.6391242438291889,2.072885650591521,3.3028239650742646,2.1054711371088466,True,2.170642110143498,3.458583824407049
H4,two_term_center,1,0.5494816717911583,2.5616679483514067,0.5645419123109436,1.5515178663143092,2.82360258033137,1.5705545854156755,False,,
H4,two_term_center,2,0.5494816717911583,2.5616679483514067,0.5645419123109436,2.1054711371088466,3.831740429568093,2.138056623626172,True,2.170642110143498,3.9503448824194716
H4,two_term_center,3,0.5494816717911583,2.5616679483514067,0.5645419123109436,2.1054711371088466,3.831740429568093,2.138056623626172,True,2.170642110143498,3.9503448824194716
H4,morales_y8m10b,1,2.2751492860653006,3.8895265239324304,2.3009840562128008,3.881380152303099,1.7059892184110932,3.883009426628965,False,3.883009426628965,1.7067053359581241
H4,morales_y8m10b,2,2.2751492860653006,3.8895265239324304,2.3009840562128008,3.8732337806737673,1.7024086306759385,3.8748630549996337,False,3.8781216036513664,1.7045569833170313
H4,morales_y8m10b,3,2.2751492860653006,3.8895265239324304,2.3009840562128008,3.881380152303099,1.7059892184110932,3.883009426628965,False,3.883009426628965,1.7067053359581241
