system,formula,time_hartree_inverse,selection_rules_agree,ground_overlap_probability,previous_overlap_probability,phase_gap_radians
H2,yoshida4,3.9176676675900746,True,0.8922955771534833,0.9996103122298091,1.4525973506600185
H2,yoshida4,3.960975086118853,True,0.8792801744193475,0.999581128216398,1.454718506223074
H2,yoshida4,4.004282504647631,True,0.8651834606340199,0.9995539719826936,1.4550231574265198
H2,yoshida4,4.047589923176409,True,0.8500336729963748,0.999529895847904,1.4534173530758345
H2,yoshida4,4.090897341705189,True,0.8338869666162457,0.9995099534887871,1.4498179827618627
H2,yoshida4,4.134204760233967,True,0.8168284729940861,0.9994951168303448,1.4441553789911785
H2,yoshida4,4.177512178762745,True,0.7989715562966561,0.9994861878067489,1.4363756247945905
H2,yoshida4,4.220819597291524,True,0.7804551111404481,0.9994837174732325,1.4264423885596822
H2,yoshida4,4.264127015820303,True,0.761438987179819,0.9994879456330713,1.4143381350976834
H2,yoshida4,4.307434434349082,True,0.7420978803519462,0.9994987717434012,1.4000646115196889
H2,yoshida4,4.35074185287786,True,0.7226142443336357,0.9995157626434724,1.3836425718457976
H2,yoshida4,4.394049271406638,True,0.7031709012407569,0.9995381958783096,1.3651107750976579
H2,yoshida4,4.4373566899354175,True,0.6839440420088995,0.9995651309321828,1.3445243563091334
H2,yoshida4,4.480664108464196,True,0.6650972076497648,0.999595496288564,1.3219527184166238
H2,yoshida4,4.480909743803028,True,0.6649916822357304,0.9999999875026981,1.3218191824737098
H2,yoshida4,4.523971526992974,True,0.6467766625930688,0.9996324768597602,1.2974771192957208
H2,yoshida4,4.567278945521753,True,0.6291083555735683,0.9996621041192445,1.2711881311860653
H2,yoshida4,4.610586364050532,True,0.6121964574027619,0.999696298386563,1.2431831327424752
H2,yoshida4,4.65389378257931,True,0.5961233023593216,0.9997299302717831,1.2135639631920594
H2,yoshida4,4.697201201108089,True,0.5809504575425922,0.9997623308652052,1.1824348307057264
H2,yoshida4,4.740508619636867,True,0.5667206026529704,0.9997929962171049,1.1499005294981655
H2,yoshida4,4.7838160381656465,True,0.5534599101528445,0.9998215765410564,1.1160649869889658
H2,yoshida4,4.827123456694425,True,0.5411806562755678,0.9998478569968056,1.0810301361759342
