condition,state_method,normalization,energy_error_hartree,energy_variance_hartree2,hamiltonian_residual_2_norm,exact_ground_overlap_probability_evaluation_only,z2_sector_outside_norm,state_generation_wall_seconds,pyscf_vs_matrix_energy_difference_hartree
CO_active_eq_sto3g,cisd,0.9999999999999999,0.012361433265953181,0.04348127037868463,0.20852163048155128,0.9948983111282917,2.5702420573823644e-15,0.035830124048516154,-3.126388037344441e-13
CO_active_eq_sto3g,exact_ground,1.0,-8.881784197001252e-16,9.907285653294436e-30,3.147584097890704e-15,1.0000000000000009,1.7876540900764972e-16,0.0,
CO_active_eq_sto3g,rhf_determinant,1.0,0.13845057779473446,0.28384828996646394,0.5327741453622387,0.9188449291902506,0.0,4.141894169151783e-05,
CO_active_stretch150_sto3g,cisd,1.0,0.05527594177105133,0.10184150625596927,0.3191261604067729,0.9345056467980485,4.6329881435897967e-14,0.04518804093822837,-1.2789769243681803e-13
CO_active_stretch150_sto3g,exact_ground,1.0,8.881784197001252e-16,1.2841175703110538e-29,3.5834586230498786e-15,0.9999999999999998,3.345732484269339e-16,0.0,
CO_active_stretch150_sto3g,rhf_determinant,1.0,0.27287933969796097,0.24989497190650933,0.49989496087329116,0.5390860035049017,0.0,7.110903970897198e-05,
HF_full_eq_sto3g,cisd,1.0,-7.105427357601002e-15,6.256539275205134e-14,2.5013075131229136e-07,1.0000000000000004,3.9214414923117595e-16,0.012569822138175368,-2.842170943040401e-14
HF_full_eq_sto3g,exact_ground,1.0000000000000002,-7.105427357601002e-15,2.3834900168907147e-28,1.543855568662663e-14,1.0000000000000009,1.2431250774986702e-16,0.0,
HF_full_eq_sto3g,rhf_determinant,1.0,0.025844193973384222,0.04893369279602324,0.2212096128020282,0.9849091998968091,0.0,2.419017255306244e-05,
HF_full_stretch150_sto3g,cisd,1.0,1.2789769243681803e-13,3.497231408466093e-12,1.870088609789946e-06,0.999999999999984,3.817713859115115e-15,0.01089910906739533,8.526512829121202e-14
HF_full_stretch150_sto3g,exact_ground,1.0,1.4210854715202004e-14,7.791638143318836e-28,2.791350594840934e-14,1.0,4.522354982343994e-16,0.0,
HF_full_stretch150_sto3g,rhf_determinant,1.0,0.08183054564378978,0.07473266385103254,0.27337275623410706,0.908348910149795,0.0,2.1559186279773712e-05,
N2_active_eq_sto3g,cisd,0.9999999999999999,0.012441692687807482,0.041773788151372934,0.20438636977884053,0.9952719209963322,2.837076348005605e-15,0.038551690988242626,-1.7053025658242404e-13
N2_active_eq_sto3g,exact_ground,1.0,0.0,3.848968118074549e-30,1.9618787215509905e-15,1.0000000000000004,1.9410868142773078e-16,0.0,
N2_active_eq_sto3g,rhf_determinant,1.0,0.15732667688689617,0.3415537507986553,0.5844260011315849,0.916770108689891,0.0,6.207008846104145e-05,
N2_active_stretch150_sto3g,cisd,1.0,0.08260507841939191,0.13498844870191784,0.3674077417555567,0.9226094451522178,3.3880139182706442e-15,0.04485845286399126,1.4210854715202004e-13
N2_active_stretch150_sto3g,exact_ground,1.0,-4.440892098500626e-16,4.6618519498296905e-30,2.159132221479196e-15,1.0000000000000004,3.5344147835564997e-16,0.0,
N2_active_stretch150_sto3g,rhf_determinant,1.0,0.38282064193010523,0.5553900946287323,0.7452449896703314,0.5966693601224793,0.0,3.2559968531131744e-05,
