system_id,formula_id,window_id,point_count,minimum_time,maximum_time,scaled_design_condition_number,maximum_fit_residual_hartree,maximum_fit_residual_over_epsilon,fitted_a4,fitted_a6,fitted_a8,fitted_a10,fitted_a12,reference_a8,a8_relative_error,a8_disagreement_over_epsilon_at_reference_time
H2,yoshida4,lower,15,0.08555762013701519,0.5610254226699035,7254.19516542446,2.1353608750145694e-15,1.3399603026803979e-11,-0.0010021771687056336,8.401953378272106e-05,-1.203561748990677e-06,-2.0537128614059487e-07,2.346304734031453e-08,-1.2040636222198264e-06,0.00041681620463228294,5.283656520567185e-07
H2,yoshida4,middle,16,0.09595812310131174,0.65653639279173,6784.797330107626,2.3560255441545152e-15,1.478429589212406e-11,-0.001002177170865418,8.40195868183748e-05,-1.2040123683851489e-06,-2.0378584903475882e-07,2.1494628673265153e-08,-1.2040636222198264e-06,4.256738076938102e-05,5.3959375011349193e-08
H2,yoshida4,upper,17,0.10630690398225931,0.7525381419569002,6379.874045973067,2.477357733127663e-15,1.554566751114946e-11,-0.0010021771723791922,8.401961719856473e-05,-1.2042126110981272e-06,-2.0325279922593006e-07,2.100051335837898e-08,-1.2040636222198264e-06,0.00012373837690247071,1.568535663199363e-07
H2,current_m3,lower,15,0.08555762013701519,0.5610254226699035,7254.19516542446,2.253329987990593e-15,1.4139871007639826e-11,-2.7384080959911604e-06,3.615774890778409e-08,7.4811288418234e-10,-1.8028197495521755e-09,2.1500266983860594e-09,1.9617130806385887e-10,2.8135693316517507,5.810769609235371e-07
H2,current_m3,middle,16,0.09595812310131174,0.65653639279173,6784.797330107626,2.091638232345022e-15,1.3125239071788301e-11,-2.7384097483853527e-06,3.620162578318612e-08,3.565861213030569e-10,-3.7756357351167806e-10,3.3581645369455996e-10,1.9617130806385887e-10,0.8177282132766266,1.688826430139058e-07
H2,current_m3,upper,17,0.10630690398225931,0.7525381419569002,6379.874045973067,2.5260708040990257e-15,1.585134690280186e-11,-2.738410600264606e-06,3.621857457603209e-08,2.4456950253202034e-10,-7.780104408526723e-11,5.633228267290307e-11,1.9617130806385887e-10,0.24671393052243193,5.09529938902603e-08
H2,two_term_center,lower,15,0.08555762013701519,0.5610254226699035,7254.19516542446,2.3119082701066323e-15,1.4507455585746187e-11,-4.656042331767453e-06,4.9625120702047424e-08,6.039090298836517e-10,-2.0443898664743203e-09,2.444156246599414e-09,-1.4196495127942157e-11,43.53930455658818,6.507335115604422e-07
H2,two_term_center,middle,16,0.09595812310131174,0.65653639279173,6784.797330107626,2.3346149231366342e-15,1.4649942104174753e-11,-4.656043998777117e-06,4.967270151594926e-08,1.6495279858537582e-10,-4.213615069495168e-10,3.628701712009438e-10,-1.4196495127942157e-11,12.619262155819612,1.886060620303528e-07
H2,two_term_center,upper,17,0.10630690398225931,0.7525381419569002,6379.874045973067,2.4648779144694685e-15,1.5467355401087424e-11,-4.656045114271646e-06,4.96931112529787e-08,3.670926667045233e-11,-8.891291489648422e-11,5.939928349307023e-11,-1.4196495127942157e-11,3.5857978564159514,5.3592928380808926e-08
H2,m5_best,lower,15,0.08555762013701519,0.5610254226699035,7254.19516542446,1.820082653454417e-15,1.1421200658691858e-11,-2.4049147707439905e-07,4.659601496899709e-09,6.224956807598119e-10,-1.8370419682795735e-09,2.165307468196096e-09,5.822268661977109e-11,9.691634428089523,5.940593185097093e-07
H2,m5_best,middle,16,0.09595812310131174,0.65653639279173,6784.797330107626,2.118191815624367e-15,1.329186546222452e-11,-2.4049329827676384e-07,4.707034976950868e-09,2.0687127220306014e-10,-3.5020045964945427e-10,3.019641025046532e-10,5.822268661977109e-11,2.553104197235917,1.5649531054311836e-07
H2,m5_best,upper,17,0.10630690398225931,0.7525381419569002,6379.874045973067,2.4216542222598777e-15,1.519612241010302e-11,-2.4049400828036895e-07,4.721591869349716e-09,1.0987533128726145e-10,-9.020380133454772e-11,5.974820792464578e-11,5.822268661977109e-11,0.8871566680667446,5.437923701657461e-08
H4,yoshida4,lower,15,0.08555762013701519,0.5610254226699035,7254.19516542446,2.78661519552447e-14,1.7486289013435673e-10,-0.004711578757423767,0.0009987940891841315,-7.529210095121705e-05,-1.4553689471568747e-06,1.364270189165919e-06,-7.528377935094618e-05,0.00011053643085690902,8.76087326021834e-06
H4,yoshida4,middle,16,0.09595812310131174,0.65653639279173,6784.797330107626,5.698843090137795e-14,3.5760810274923825e-10,-0.004711578833860436,0.0009987960424946698,-7.530889738227899e-05,-1.3962669437904612e-06,1.2912872842024558e-06,-7.528377935094618e-05,0.00033364466488482116,2.644393889276041e-05
H4,yoshida4,upper,17,0.10630690398225931,0.7525381419569002,6379.874045973067,4.1635380039484193e-13,2.612661732857683e-09,-0.004711579082635333,0.000998800901677016,-7.53404452334459e-05,-1.3131220238041993e-06,1.2147816901973617e-06,-7.528377935094618e-05,0.0007526971013976971,5.965710904141035e-05
H4,current_m3,lower,15,0.08555762013701519,0.5610254226699035,7254.19516542446,9.869544899829697e-15,6.193238120092159e-11,-1.2874215808284955e-05,4.3475320925422465e-07,7.421553201216881e-09,3.5209498449699427e-09,-2.6741234223038665e-09,8.091750802939926e-09,0.08282479503441285,7.05575376955971e-07
H4,current_m3,middle,16,0.09595812310131174,0.65653639279173,6784.797330107626,1.4167428899574429e-14,8.890203308771986e-11,-1.2874212201386441e-05,4.3467631178502737e-07,8.035733494487067e-09,1.4015515206972656e-09,-4.273245539928625e-11,8.091750802939926e-09,0.00692276737347207,5.8974298663662005e-08
H4,current_m3,upper,17,0.10630690398225931,0.7525381419569002,6379.874045973067,1.2602931546996657e-14,7.908465575055905e-11,-1.2874211339715082e-05,4.346551093414866e-07,8.182117060517461e-09,1.0117755255404484e-09,3.138347490730924e-10,8.091750802939926e-09,0.011167701499742506,9.51364285554666e-08
H4,two_term_center,lower,15,0.08555762013701519,0.5610254226699035,7254.19516542446,1.8123051745213032e-14,1.1372396200638676e-10,-2.1889664526476554e-05,5.933107557991702e-07,1.0724072821554727e-09,-2.1115235383452573e-09,3.2467594896810297e-09,1.9976421633215452e-10,4.368365275051794,9.187073462115171e-07
H4,two_term_center,middle,16,0.09595812310131174,0.65653639279173,6784.797330107626,1.4411137183382874e-14,9.043132693944624e-11,-2.1889668924981924e-05,5.934100373424778e-07,3.004343910207836e-10,4.197262780745869e-10,2.6511115318375907e-10,1.9976421633215452e-10,0.5039449834260681,1.0598425937594715e-07
