system_id,formula_id,degenerate_group_index,excited_energy_hartree,excitation_gap_hartree,state_count,first_state_index,last_state_index,squared_d4_coupling,mixing_contribution_hartree,absolute_mixing_share
H2,yoshida4,0,-0.4182636033607578,0.355278537197052,1,1,1,1.4019624437973845e-38,-3.9460938306549004e-38,1.7167989864838944e-31
H2,yoshida4,1,-0.024682436389817708,0.7488597041679921,1,2,2,3.209689826017891e-40,-4.2861030018753145e-40,1.8647243591680912e-33
H2,yoshida4,2,0.36665582103989913,1.140197961597709,1,3,3,2.620765842366264e-07,-2.2985182666823058e-07,1.0
H2,current_m3,0,-0.4182636033607578,0.355278537197052,1,1,1,2.1468187868027719e-44,-6.042635740790777e-44,1.5224320182798526e-34
H2,current_m3,1,-0.024682436389817708,0.7488597041679921,1,2,2,2.909407722550511e-43,-3.885117207345212e-43,9.788488144841085e-34
H2,current_m3,2,0.36665582103989913,1.140197961597709,1,3,3,4.525522894685093e-10,-3.96906769447621e-10,1.0
H2,two_term_center,0,-0.4182636033607578,0.355278537197052,1,1,1,1.6912167152227477e-43,-4.760255794131267e-43,2.2867787757152007e-33
H2,two_term_center,1,-0.024682436389817708,0.7488597041679921,1,2,2,1.4309200172575466e-43,-1.910798523800057e-43,9.179283000466031e-34
H2,two_term_center,2,0.36665582103989913,1.140197961597709,1,3,3,2.3734844886579097e-10,-2.081642459114776e-10,1.0
H2,m5_best,0,-0.4182636033607578,0.355278537197052,1,1,1,2.3266862330058332e-45,-6.54890737662365e-45,7.945226510580383e-35
H2,m5_best,1,-0.024682436389817708,0.7488597041679921,1,2,2,6.272987605853551e-44,-8.37671939208299e-44,1.016275374778374e-33
H2,m5_best,2,0.36665582103989913,1.140197961597709,1,3,3,9.398159802712825e-11,-8.242568500599317e-11,1.0
H4,yoshida4,0,-1.602279420097768,0.23263021512018422,1,1,1,5.582227572262202e-37,-2.399614155615273e-36,2.6512780702300137e-31
H4,yoshida4,1,-1.3880163292143617,0.44689330600359045,1,2,2,2.6402708039258254e-10,-5.908056282016927e-10,6.527674468639666e-05
H4,yoshida4,2,-1.3181800727844573,0.5167295624334949,1,3,3,1.5384681823518068e-08,-2.9773179128875827e-08,0.0032895695635358755
