system_id,formula_id,excited_state_index,excited_energy_hartree,excitation_gap_hartree,d4_coupling_real,d4_coupling_imaginary,d4_coupling_absolute,mixing_contribution_hartree
H2,yoshida4,1,-0.4182636033607578,0.355278537197052,-1.184044950074694e-19,0.0,1.184044950074694e-19,-3.9460938306549004e-38
H2,yoshida4,2,-0.024682436389817708,0.7488597041679921,1.791560723508386e-20,0.0,1.791560723508386e-20,-4.2861030018753145e-40
H2,yoshida4,3,0.36665582103989913,1.140197961597709,0.000511934160060282,0.0,0.000511934160060282,-2.2985182666823058e-07
H2,current_m3,1,-0.4182636033607578,0.355278537197052,-1.4652026435967047e-22,0.0,1.4652026435967047e-22,-6.042635740790777e-44
H2,current_m3,2,-0.024682436389817708,0.7488597041679921,-5.393892585647689e-22,0.0,5.393892585647689e-22,-3.885117207345212e-43
H2,current_m3,3,0.36665582103989913,1.140197961597709,-2.1273276415928725e-05,0.0,2.1273276415928725e-05,-3.96906769447621e-10
H2,two_term_center,1,-0.4182636033607578,0.355278537197052,-4.112440534795303e-22,0.0,4.112440534795303e-22,-4.760255794131267e-43
H2,two_term_center,2,-0.024682436389817708,0.7488597041679921,-3.782750344997072e-22,0.0,3.782750344997072e-22,-1.910798523800057e-43
H2,two_term_center,3,0.36665582103989913,1.140197961597709,-1.540611725470733e-05,0.0,1.540611725470733e-05,-2.081642459114776e-10
H2,m5_best,1,-0.4182636033607578,0.355278537197052,4.823573605746919e-23,0.0,4.823573605746919e-23,-6.54890737662365e-45
H2,m5_best,2,-0.024682436389817708,0.7488597041679921,-2.504593301487e-22,0.0,2.504593301487e-22,-8.37671939208299e-44
H2,m5_best,3,0.36665582103989913,1.140197961597709,-9.694410659092602e-06,0.0,9.694410659092602e-06,-8.242568500599317e-11
H4,yoshida4,1,-1.602279420097768,0.23263021512018422,7.471430634264232e-19,0.0,7.471430634264232e-19,-2.399614155615273e-36
H4,yoshida4,2,-1.3880163292143617,0.44689330600359045,-1.624891012937737e-05,0.0,1.624891012937737e-05,-5.908056282016927e-10
H4,yoshida4,3,-1.3181800727844573,0.5167295624334949,-0.00012403500241269828,0.0,0.00012403500241269828,-2.9773179128875827e-08
H4,yoshida4,4,-1.291660212963727,0.5432494222542252,1.5588063637962828e-18,0.0,1.5588063637962828e-18,-4.4728575499058256e-36
H4,yoshida4,5,-1.1062134698360315,0.7286961653819206,1.5168124985164592e-18,0.0,1.5168124985164592e-18,-3.15731063913298e-36
H4,yoshida4,6,-1.0007975440348666,0.8341120911830855,-0.0005343834810300137,0.0,0.0005343834810300137,-3.423589081327369e-07
H4,yoshida4,7,-0.953344752704397,0.8815648825135551,4.983182109199903e-05,0.0,4.983182109199903e-05,-2.8168209085924164e-09
H4,yoshida4,8,-0.8831787619676617,0.9517308732502905,-0.0008498999371496653,0.0,0.0008498999371496653,-7.58964454625865e-07
H4,yoshida4,9,-0.8153265384161082,1.0195830968018438,0.0012880427642230881,0.0,0.0012880427642230881,-1.627188767322112e-06
H4,yoshida4,10,-0.7905198429945312,1.0443897922234209,-3.9024023119327264e-18,0.0,3.9024023119327264e-18,-1.4581475151875176e-35
