experiment_id,case_id,formula_id,state_id,order,state_expectation_real,state_expectation_imaginary,exact_expectation_real,state_minus_exact_expectation_real,operator_frobenius_norm,operator_action_2_norm
B,H4,yoshida4,exact,4,-0.004711578748179359,0.0,-0.004711578748179359,0.0,0.029269196238374234,0.006035133209569814
B,H4,yoshida4,exact,6,0.0009987935751143578,0.0,0.0009987935751143578,0.0,0.0070692611444696,0.0012947207660836504
B,H4,yoshida4,exact,8,-6.623299670178005e-05,0.0,-6.623299670178005e-05,0.0,0.0011568840346057282,0.00013238823463577706
B,H4,yoshida4,rhf,4,-0.0036120932903673797,0.0,-0.004711578748179359,0.0010994854578119792,0.029269196238374234,0.005647853053499253
B,H4,yoshida4,rhf,6,0.0010696361409809896,0.0,0.0009987935751143578,7.084256586663176e-05,0.0070692611444696,0.0012550887459218893
B,H4,yoshida4,rhf,8,-7.96803867864071e-05,0.0,-6.623299670178005e-05,-1.3447390084627043e-05,0.0011568840346057282,0.00013607920820299526
B,H4,yoshida4,cisd,4,-0.004666962108827896,0.0,-0.004711578748179359,4.461663935146319e-05,0.029269196238374234,0.006033873899507339
B,H4,yoshida4,cisd,6,0.0010140394959472676,0.0,0.0009987935751143578,1.5245920832909808e-05,0.0070692611444696,0.0012967423737434024
B,H4,yoshida4,cisd,8,-6.523139353468514e-05,0.0,-6.623299670178005e-05,1.00160316709491e-06,0.0011568840346057282,0.00013385485707622123
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,4,-0.004762036637337096,-7.52316384526264e-37,-0.004711578748179359,-5.04578891577373e-05,0.029269196238374234,0.0060349341962232204
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,6,0.0009751432359422555,-1.88079096131566e-37,0.0009987935751143578,-2.3650339172102356e-05,0.0070692611444696,0.0012915554931122834
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,8,-6.740689463051593e-05,-1.1754943508222875e-38,-6.623299670178005e-05,-1.1738979287358794e-06,0.0011568840346057282,0.0001303991267196901
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,4,-0.004705433191353296,3.3881317890172014e-21,-0.004711578748179359,6.1455568260626245e-06,0.029269196238374234,0.006034021494511057
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,6,0.0009971892967832112,0.0,0.0009987935751143578,-1.6042783311466437e-06,0.0070692611444696,0.0012944946029943977
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,8,-6.611882866193365e-05,-2.117582368135751e-22,-6.623299670178005e-05,1.1416803984640731e-07,0.0011568840346057282,0.00013241428886483374
B,H4,yoshida4,controlled_q0.001_phi3.141592653590,4,-0.004648829745369497,-8.352389719038111e-53,-0.004711578748179359,6.274900280986168e-05,0.029269196238374234,0.006033108654723409
B,H4,yoshida4,controlled_q0.001_phi3.141592653590,6,0.001019235357624167,0.0,0.0009987935751143578,2.0441782509809285e-05,0.0070692611444696,0.0012974270548183945
B,H4,yoshida4,controlled_q0.001_phi3.141592653590,8,-6.483076269335133e-05,-1.566073072319646e-53,-6.623299670178005e-05,1.402234008428721e-06,0.0011568840346057282,0.00013439923936504056
B,H4,yoshida4,controlled_q0.001_phi4.712388980385,4,-0.004705433191353296,-3.3881317890172014e-21,-0.004711578748179359,6.1455568260626245e-06,0.029269196238374234,0.006034021494511057
B,H4,yoshida4,controlled_q0.001_phi4.712388980385,6,0.0009971892967832112,0.0,0.0009987935751143578,-1.6042783311466437e-06,0.0070692611444696,0.0012944946029943977
B,H4,yoshida4,controlled_q0.001_phi4.712388980385,8,-6.611882866193365e-05,2.117582368135751e-22,-6.623299670178005e-05,1.1416803984640731e-07,0.0011568840346057282,0.00013241428886483374
B,H4,yoshida4,controlled_q0.010_phi0.000000000000,4,-0.004828310881008075,0.0,-0.004711578748179359,-0.00011673213282871638,0.029269196238374234,0.006026884319415519
B,H4,yoshida4,controlled_q0.010_phi0.000000000000,6,0.0009133497715814394,0.0,0.0009987935751143578,-8.544380353291841e-05,0.0070692611444696,0.0012831675837200781
B,H4,yoshida4,controlled_q0.010_phi0.000000000000,8,-6.914614918149052e-05,-7.052966104933725e-38,-6.623299670178005e-05,-2.913152479710462e-06,0.0011568840346057282,0.000126207840351711
B,H4,yoshida4,controlled_q0.010_phi1.570796326795,4,-0.004650123179918732,0.0,-0.004711578748179359,6.145556826062711e-05,0.029269196238374234,0.0060240068266015885
B,H4,yoshida4,controlled_q0.010_phi1.570796326795,6,0.0009827507918028927,-6.776263578034403e-21,0.0009987935751143578,-1.6042783311465136e-05,0.0070692611444696,0.0012924573542914754
B,H4,yoshida4,controlled_q0.010_phi1.570796326795,8,-6.509131630331578e-05,-4.235164736271502e-22,-6.623299670178005e-05,1.1416803984642764e-06,0.0011568840346057282,0.00013264854664110821
B,H4,yoshida4,controlled_q0.010_phi3.141592653590,4,-0.004471935478829389,0.0,-0.004711578748179359,0.00023964326934996973,0.029269196238374234,0.006021127958636024
