experiment_id,selected_formula,selected_time_hartree_inverse,predicted_cost,direct_cost_at_selection,same_formula_grid_best_cost,joint_grid_best_formula,joint_grid_best_time,joint_grid_best_cost,same_formula_time_regret,joint_selection_regret,budget_multiplier,frozen_budget,phase_estimation_error_hartree,direct_shift_absolute_hartree,energy_margin_hartree,success,budget_over_reference_minus_one
B,m5_best,2.1466061014866242,17568978.67970809,14717463.430879032,8946044.72065897,m5_best,3.5175172132783867,8946044.72065897,0.6451363580703113,0.6451363580703113,1.0,17568978.67970809,0.00012714750729608625,7.57761540293167e-06,2.463488750002209e-05,True,0.9638822773975528
B,m5_best,2.1466061014866242,17568978.67970809,14717463.430879032,8946044.72065897,m5_best,3.5175172132783867,8946044.72065897,0.6451363580703113,0.6451363580703113,1.01,17744668.46650517,0.00012588862108523394,7.57761540293167e-06,2.58937737108744e-05,True,0.9835211001715283
