condition,evaluation_group,selected_formula,coverage_status,selected_time,c_star_reference_grid,c_selected_formula_star_reference_grid,c_required_selected_time,c_hat,b_frozen,factor_model,factor_margin,factor_calibration,factor_total,energy_margin_gamma_1_01_hartree,factor_pf_selection,factor_within_lower,factor_within_upper,factor_domain_lower,factor_domain_upper
N2_active_eq_sto3g,primary,current_m3,exact_saved_grid_only,0.5983202971910435,273562446.926076,273562446.926076,279399598.0082803,298110124.44559836,301091225.69005436,1.0669669053595545,1.01,1.0776365744131502,1.100630693552092,9.91685118471698e-06,1.0,1.0213375452215545,1.0213375452215545,1.0,1.0
N2_active_stretch150_sto3g,primary,current_m3,exact_saved_grid_only,0.8303584711475099,147957576.27790663,147957576.27790663,181632703.25691193,208603332.59679866,210689365.92276666,1.1484899407225024,1.01,1.1599748401297274,1.4239849774710542,2.0795996797056158e-05,1.0,1.227599882521418,1.227599882521418,1.0,1.0
CO_active_eq_sto3g,primary,current_m3,exact_saved_grid_only,0.6127481451622522,516598986.2848441,516598986.2848441,533049026.4240849,573237653.784658,578970030.3225045,1.0753938669209755,1.01,1.0861478055901852,1.1207339652100479,1.1054495140832123e-05,1.0,1.0318429586119446,1.0318429586119446,1.0,1.0
CO_active_stretch150_sto3g,primary,current_m3,exact_saved_grid_only,0.8652659966787087,338482010.43392205,338482010.43392205,362791668.8334559,399939334.26033634,403938727.6029397,1.10239393188473,1.01,1.1134178712035774,1.1933831493292788,1.4685108936712989e-05,1.0,1.0718196466877803,1.0718196466877803,1.0,1.0
HF_full_eq_sto3g,stress_test,current_m3,analytic_bound_at_cap,0.148871685974198,217857453.1696019,217857453.1696019,466549222.40975195,463823391.8193374,468461625.7375308,0.9941574640799197,1.01,1.004099038720719,2.1503125962499605,6.423920546350928e-07,1.0,1.0,1.012708972041748,2.1146592190772195,2.141534363970296
HF_full_stretch150_sto3g,stress_test,current_m3,analytic_bound_at_cap,0.20600464713499966,160860033.9862181,160860033.9862181,334003547.0930502,334916449.94069874,338265614.44010574,1.0027332130319988,1.01,1.012760545162319,2.102856788337413,2.001421802918287e-06,1.0,1.0,1.0032361603760322,2.069663523283636,2.076361286369406
