strategy,corrected_safe_count,condition_count,mean_original_grid_regret,maximum_original_grid_regret,minimum_corrected_energy_margin_hartree,coverage_status
practical_baseline,6,6,0.4284159472315503,1.1415343639702962,6.423920546350928e-07,beta_1.2_corrected_audit
fixed_current_m3,6,6,0.4284159472315503,1.1415343639702962,6.423920546350928e-07,beta_1.2_corrected_audit
fixed_yoshida4,6,6,1.6215917924659855,3.0491539613263567,1.5571699177638451e-06,beta_1.2_corrected_audit
diagnostic_record_only,6,6,0.4284159472315503,1.1415343639702962,6.423920546350928e-07,beta_1.2_corrected_audit
universal_fallback,6,6,0.9034243686303903,1.1415343639702962,6.423920546350928e-07,beta_1.2_corrected_audit
state_targeted_fallback,6,6,0.4284159472315503,1.1415343639702962,6.423920546350928e-07,beta_1.2_corrected_audit
equal_cost_extra_points,6,6,0.4238279683497665,1.1415343639702962,1.193954094400138e-06,beta_1.2_corrected_audit
