system_id,formula_id,method_id,direct_point_count,requires_compact_a4,shared_preparation_seconds,compact_a4_seconds,direct_unitary_build_seconds,direct_schur_seconds,direct_point_total_seconds,fit_seconds,marginal_seconds_warm_cache,cold_seconds_no_reuse,batched_seconds_setup_amortized,pf_exponential_action_count,compact_group_matvec_action_count,shared_input_bytes,incremental_working_bytes,estimated_peak_bytes,higher_order_residual_over_epsilon,meets_residual_threshold
H2,yoshida4,direct_fixed_a4_2_tail,2,True,0.06781270890496671,0.0006558923050761223,6.125401705503464e-05,1.906394027173519e-05,7.954100146889687e-05,4.268600605428219e-05,0.0007781193125993013,0.06859082821756601,0.01773129653884098,14,212,1408,896,2304,2.829366738719239e-07,True
H2,yoshida4,direct_fixed_a4_3_tail,3,True,0.06781270890496671,0.0006558923050761223,8.964398875832558e-05,2.7365051209926605e-05,0.0001163720153272152,4.2132800444960594e-05,0.0008143971208482981,0.06862710602581501,0.017767574347089976,21,212,1408,896,2304,1.2460783133912803e-07,True
H2,yoshida4,direct_fixed_a4_5_tail,5,True,0.06781270890496671,0.0006558923050761223,0.00014690659008920193,4.277494736015797e-05,0.00018939608708024025,4.2279018089175224e-05,0.0008875674102455378,0.06870027631521225,0.017840744636487216,35,212,1408,896,2304,6.637792073717538e-08,True
H2,yoshida4,direct_free_3_tail,3,False,0.06781270890496671,0.0,8.503184653818607e-05,2.3826956748962402e-05,0.00010936311446130276,4.2822910472750664e-05,0.00015218602493405342,0.06796489492990077,0.01710536325117573,21,0,1408,768,2176,1.0279082891898405e-06,True
H2,yoshida4,direct_free_5_tail,5,False,0.06781270890496671,0.0,0.00014690659008920193,4.277494736015797e-05,0.00018939608708024025,4.358217120170593e-05,0.00023297825828194618,0.06804568716324866,0.017186155484523624,35,0,1408,768,2176,7.202950265250166e-07,True
H2,current_m3,direct_fixed_a4_2_tail,2,True,0.06781270890496671,0.000972069101408124,0.00011095171794295311,1.5774043276906013e-05,0.0001279180869460106,4.214583896100521e-05,0.0011421330273151398,0.06895484193228185,0.018095310253556818,30,212,1408,896,2304,2.9487844136003907e-06,True
H2,current_m3,direct_fixed_a4_3_tail,3,True,0.06781270890496671,0.000972069101408124,0.00016637868247926235,2.3703090846538544e-05,0.00019145803526043892,4.196283407509327e-05,0.0012054899707436562,0.06901819887571037,0.018158667196985334,45,212,1408,896,2304,4.787583234009293e-06,True
H2,current_m3,direct_fixed_a4_5_tail,5,True,0.06781270890496671,0.000972069101408124,0.0002773746382445097,3.969809040427208e-05,0.0003193251322954893,4.2353058233857155e-05,0.0013337472919374704,0.06914645619690418,0.01828692451817915,75,212,1408,896,2304,5.254806898106946e-06,True
H2,current_m3,direct_free_3_tail,3,False,0.06781270890496671,0.0,0.00016634794883430004,2.3429282009601593e-05,0.00019102892838418484,4.32340893894434e-05,0.00023426301777362823,0.06804697192274034,0.017187440244015306,45,0,1408,768,2176,8.918249990735983e-06,True
H2,current_m3,direct_free_5_tail,5,False,0.06781270890496671,0.0,0.0002773746382445097,3.969809040427208e-05,0.0003193251322954893,4.3283915147185326e-05,0.00036260904744267464,0.06817531795240939,0.017315786273684353,75,0,1408,768,2176,8.237447211533125e-06,True
H2,two_term_center,direct_fixed_a4_2_tail,2,True,0.06781270890496671,0.0009714728221297264,0.00011175521649420261,1.653609797358513e-05,0.0001288179773837328,4.1628023609519005e-05,0.0011419188231229782,0.06895462772808969,0.018095096049364656,30,212,1408,896,2304,1.3067785725392736e-07,True
H2,two_term_center,direct_fixed_a4_3_tail,3,True,0.06781270890496671,0.0009714728221297264,0.00016757426783442497,2.4576904252171516e-05,0.00019283592700958252,4.1839899495244026e-05,0.001206148648634553,0.06901885755360126,0.01815932587487623,45,212,1408,896,2304,3.0770744775403873e-07,True
H2,two_term_center,direct_fixed_a4_5_tail,5,True,0.06781270890496671,0.0009714728221297264,0.00027893041260540485,4.050787538290024e-05,0.0003207479603588581,4.216702654957771e-05,0.0013343878090381622,0.06914709671400487,0.01828756503527984,75,212,1408,896,2304,3.7705527625058594e-07,True
H2,two_term_center,direct_free_3_tail,3,False,0.06781270890496671,0.0,0.00016654515638947487,2.364697866141796e-05,0.00019089598208665848,4.266994073987007e-05,0.00023356592282652855,0.06804627482779324,0.017186743149068207,45,0,1408,768,2176,8.575704076031341e-07,True
H2,two_term_center,direct_free_5_tail,5,False,0.06781270890496671,0.0,0.00027893041260540485,4.050787538290024e-05,0.0003207479603588581,4.326598718762398e-05,0.0003640139475464821,0.0681767228525132,0.01731719117378816,75,0,1408,768,2176,8.890222016769137e-07,True
H2,m5_best,direct_fixed_a4_2_tail,2,True,0.06781270890496671,0.0013170838356018066,0.00016752188093960285,1.7075100913643837e-05,0.00018484285101294518,4.27470076829195e-05,0.0015446736942976713,0.06935738259926438,0.01849785092053935,46,212,1408,896,2304,0.009627844777559442,True
H2,m5_best,direct_fixed_a4_3_tail,3,True,0.06781270890496671,0.0013170838356018066,0.0002504538279026747,2.505909651517868e-05,0.00027601071633398533,4.181801341474056e-05,0.0016349125653505325,0.06944762147031724,0.01858808979159221,69,212,1408,896,2304,0.006711459889775246,True
