system_id,formula_id,dimension,group_count,expanded_step_count,series_seconds,perturbation_seconds,marginal_seconds_warm_cache,cold_seconds_no_reuse,shared_input_bytes,incremental_working_bytes,estimated_peak_bytes,a4_absolute_difference_hartree,a6_absolute_difference_hartree,a8_absolute_difference_hartree,higher_order_residual_over_epsilon,meets_residual_threshold
H2,yoshida4,4,2,7,0.0010371359530836344,0.0001812828704714775,0.0012184188235551119,0.06903112772852182,1408,15360,16768,3.903127820947816e-18,5.55653613398821e-19,1.131741896650152e-17,5.750224663448634e-20,True
H2,current_m3,4,2,15,0.0015695658512413502,0.0001681949943304062,0.0017377608455717564,0.06955046975053847,1408,15360,16768,1.0565465467576515e-17,1.802747500830718e-17,3.942231388538977e-18,7.249297563744855e-16,True
H2,two_term_center,4,2,15,0.00157281500287354,0.00016934704035520554,0.0017421620432287455,0.06955487094819546,1408,15360,16768,3.255740539361354e-17,2.05533007872399e-17,1.0139868557160612e-17,3.73847771650795e-16,True
H2,m5_best,4,2,23,0.0021249919664114714,0.00016406388022005558,0.002289055846631527,0.07010176475159824,1408,15360,16768,9.421759230546396e-18,8.11610591882942e-18,2.1626272703364988e-17,4.4132880593987204e-14,True
H4,yoshida4,36,13,73,0.11634154990315437,0.0010405359789729118,0.11738208588212729,0.4923508348874748,564192,1244160,1808352,4.336808689942018e-18,2.8189256484623115e-18,3.3881317890172014e-19,5.713592760120703e-18,True
H4,current_m3,36,13,169,0.2592098889872432,0.0011490331962704659,0.26035892218351364,0.6353276711888611,564192,1244160,1808352,3.3881317890172014e-21,1.3129010682441655e-20,3.771943593241806e-21,8.496611671010921e-16,True
H4,two_term_center,36,13,169,0.2982906620018184,0.0010708579793572426,0.29936151998117566,0.6743302689865232,564192,1244160,1808352,9.147955830346444e-20,6.564505341220828e-21,1.819797347616661e-22,7.14253384895001e-16,True
H4,m5_best,36,13,265,0.40611353190615773,0.001162990927696228,0.40727652283385396,0.7822452718392015,564192,1244160,1808352,1.3552527156068805e-20,3.494010907423989e-21,5.467663848975513e-22,2.4589776568114607e-12,True
