method_id,condition_count,direct_point_count,residual_pass_count,maximum_higher_order_residual_over_epsilon,median_higher_order_residual_over_epsilon,median_marginal_seconds_warm_cache,maximum_marginal_seconds_warm_cache,median_cold_seconds_no_reuse,median_estimated_peak_bytes,median_pf_exponential_action_count,median_compact_group_matvec_action_count
direct_fixed_a4_2_tail,8,2,8,0.028294840995209642,4.079435566157234e-06,0.021761868963949382,0.058127723168581724,0.24315259791910648,423504.0,96.0,9298.0
direct_fixed_a4_3_tail,8,3,8,0.03357700819286204,5.338003113037933e-06,0.02350986935198307,0.07190044014714658,0.24490059830714017,423504.0,144.0,9298.0
direct_fixed_a4_5_tail,8,5,8,0.03529156968062462,5.685318096789006e-06,0.02689098089467734,0.09931131615303457,0.24828170984983444,423504.0,240.0,9298.0
direct_free_3_tail,8,3,7,0.05142719197646407,8.241365593603608e-06,0.00522951502352953,0.03553367918357253,0.22662024397868663,314288.0,144.0,0.0
direct_free_5_tail,8,5,8,0.04741832040161132,7.717752438925913e-06,0.008556978078559041,0.06338996300473809,0.22994770703371614,314288.0,240.0,0.0
dense_bch_order8,8,0,8,2.4589776568114607e-12,7.195915706347433e-16,0.059835570864379406,0.40727652283385396,0.2812262998195365,912560.0,0.0,0.0
