condition,state_id,direction_id,source_state_method,source_state_exact_overlap_probability,target_energy_error_hartree,direction_excitation_energy_hartree,excited_weight,phase_index,relative_phase_radians,normalization,energy_error_hartree,energy_variance_hartree2,hamiltonian_residual_2_norm,exact_ground_overlap_probability
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,cisd,0.9952719209963322,0.001,2.6314477144217894,0.0003800189509825511,0,0.0,1.0,0.0009999999999994458,0.003369006390641971,0.05804314249454427,0.9996199810490178
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,cisd,0.9952719209963322,0.001,2.6314477144217894,0.0003800189509825511,1,1.5707963267948966,1.0,0.0009999999999985576,0.0033690063906348655,0.058043142494483065,0.9996199810490181
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,cisd,0.9952719209963322,0.001,2.6314477144217894,0.0003800189509825511,2,3.141592653589793,1.0,0.001000000000000334,0.0033690063906384182,0.058043142494513665,0.9996199810490174
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,cisd,0.9952719209963322,0.001,2.6314477144217894,0.0003800189509825511,3,4.71238898038469,1.0,0.0009999999999985576,0.0033690063906348655,0.058043142494483065,0.9996199810490181
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,cisd,0.9952719209963322,0.005,2.6314477144217894,0.0019000947549127553,0,0.0,1.0,0.004999999999999893,0.016825031953210612,0.12971134088124528,0.9980999052450876
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,cisd,0.9952719209963322,0.005,2.6314477144217894,0.0019000947549127553,1,1.5707963267948966,1.0,0.004999999999999893,0.016825031953210612,0.12971134088124528,0.9980999052450874
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,cisd,0.9952719209963322,0.005,2.6314477144217894,0.0019000947549127553,2,3.141592653589793,1.0,0.005000000000000782,0.016825031953214165,0.12971134088125896,0.9980999052450874
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase3,cisd_orthogonal_component,cisd,0.9952719209963322,0.005,2.6314477144217894,0.0019000947549127553,3,4.71238898038469,1.0,0.004999999999999893,0.016825031953210612,0.12971134088124528,0.9980999052450874
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase0,cisd_orthogonal_component,cisd,0.9952719209963322,0.01,2.6314477144217894,0.0038001895098255106,0,0.0,1.0,0.009999999999998899,0.0336000639064018,0.18330320211715287,0.9961998104901751
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase1,cisd_orthogonal_component,cisd,0.9952719209963322,0.01,2.6314477144217894,0.0038001895098255106,1,1.5707963267948966,1.0,0.009999999999998899,0.033600063906408906,0.18330320211717227,0.9961998104901747
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase2,cisd_orthogonal_component,cisd,0.9952719209963322,0.01,2.6314477144217894,0.0038001895098255106,2,3.141592653589793,1.0,0.009999999999998899,0.033600063906408906,0.18330320211717227,0.9961998104901749
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase3,cisd_orthogonal_component,cisd,0.9952719209963322,0.01,2.6314477144217894,0.0038001895098255106,3,4.71238898038469,1.0,0.009999999999998899,0.033600063906408906,0.18330320211717227,0.9961998104901747
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase0,cisd_orthogonal_component,cisd,0.9952719209963322,0.05,2.6314477144217894,0.019000947549127553,0,0.0,1.0,0.049999999999998934,0.1660003195320705,0.4074313678793896,0.9809990524508729
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase1,cisd_orthogonal_component,cisd,0.9952719209963322,0.05,2.6314477144217894,0.019000947549127553,1,1.5707963267948966,1.0,0.04999999999999716,0.1660003195320634,0.4074313678793809,0.9809990524508729
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase2,cisd_orthogonal_component,cisd,0.9952719209963322,0.05,2.6314477144217894,0.019000947549127553,2,3.141592653589793,1.0,0.04999999999999716,0.1660003195320634,0.4074313678793809,0.9809990524508732
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase3,cisd_orthogonal_component,cisd,0.9952719209963322,0.05,2.6314477144217894,0.019000947549127553,3,4.71238898038469,1.0,0.04999999999999716,0.1660003195320634,0.4074313678793809,0.9809990524508729
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase0,rhf_orthogonal_component,rhf_determinant,0.916770108689891,0.001,1.8902665185601024,0.0005290259284504193,0,0.0,1.0,0.0009999999999994458,0.002327311010606792,0.04824221191660672,0.99947097407155
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase1,rhf_orthogonal_component,rhf_determinant,0.916770108689891,0.001,1.8902665185601024,0.0005290259284504193,1,1.5707963267948966,1.0,0.0009999999999985576,0.002327311010603239,0.0482422119165699,0.99947097407155
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase2,rhf_orthogonal_component,rhf_determinant,0.916770108689891,0.001,1.8902665185601024,0.0005290259284504193,2,3.141592653589793,0.9999999999999999,0.001000000000000334,0.00232731101061745,0.04824221191671719,0.9994709740715497
