condition,formula,state_id,direction_id,target_energy_error_hartree,phase_index,relative_phase_radians,a4,a6,coefficient_relative_2_norm_error,predicted_time,exact_echo_predicted_time,predicted_time_relative_error,predicted_model_cost,exact_echo_predicted_model_cost,predicted_model_cost_relative_error,minimum_echo_magnitude,training_design_condition_number,training_maximum_absolute_residual_hartree
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,0.001,0,0.0,-0.00018533330213511717,-7.050274308859318e-06,0.13675583107088007,0.6404819141367749,0.6621688081187646,0.03275130709282814,281377780.59298265,273623312.3402094,0.028339939994336927,0.9999999999484188,29.20924143389024,8.398158258669341e-11
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,0.001,1,1.5707963267948966,-0.00017493707840336305,2.2760361446482586e-05,0.04794296705204185,0.6672965827500482,0.6621688081187646,0.007743908454177717,272208132.5940478,273623312.3402094,0.00517199990767625,0.999999999948684,29.20924143389024,1.5449025851016073e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,0.001,2,3.141592653589793,-0.00016284867337470116,3.4305203543256554e-05,0.13209629395701786,0.6908451528720583,0.6621688081187646,0.04330669823419164,264365437.43170282,273623312.3402094,0.03383437920302579,0.9999999999490387,29.20924143389024,6.834013603527824e-11
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,0.001,3,4.71238898038469,-0.00017324489560928153,4.494557509077306e-06,0.05688677502093584,0.6575309482611703,0.6621688081187646,0.007004044589129066,274827047.70693284,273623312.3402094,0.004399242726901731,0.9999999999487709,29.20924143389024,1.3884225359619315e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,0.005,0,0.0,-0.0001971811033985718,-3.553698897615465e-05,0.3126737710109547,0.6195788837926884,0.6621688081187646,0.06431883200157829,289494878.78524643,273623312.3402094,0.05800516889183438,0.9999999999480652,29.20924143389024,1.814387174010339e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,0.005,1,1.5707963267948966,-0.00017395211552145224,3.107084915296118e-05,0.09541268252747498,0.6742860335213523,0.6621688081187646,0.01829929959554133,270158319.6947567,273623312.3402094,0.012663367809627735,0.9999999999486571,29.20924143389024,3.389682091669284e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,0.005,2,3.141592653589793,-0.0001469421828540576,5.686629662220325e-05,0.2894287258638693,0.746630115102839,0.6621688081187646,0.1275525303344185,249458840.4025642,273623312.3402094,0.08831291358537585,0.9999999999494531,29.20924143389024,1.5891623644478177e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase3,cisd_orthogonal_component,0.005,3,4.71238898038469,-0.00017017116958369485,-9.741548959620857e-06,0.13992233334292734,0.6523705126449741,0.6621688081187646,0.014797277300976464,276031444.3803021,273623312.3402094,0.008800902304327396,0.9999999999488504,29.20924143389024,3.1643260056866673e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.01__phase0,cisd_orthogonal_component,0.01,0,0.0,-0.00020501540795556667,-5.831568128308435e-05,0.44975396487402847,0.6068084386918481,0.6621688081187646,0.08360461675051778,294761798.96034455,273623312.3402094,0.07725396801663087,0.9999999999478182,29.20924143389024,2.560090197364553e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.01__phase1,cisd_orthogonal_component,0.01,1,1.5707963267948966,-0.00017219594717045192,3.579237081357432e-05,0.12305889162105373,0.680034366865976,0.6621688081187646,0.02698036894544731,268399205.25940177,273623312.3402094,0.019092331848948096,0.9999999999486509,29.20924143389024,4.785731643197067e-10
