system_id,formula_id,group_count,s2_block_count,naive_raw_d4_commutator_count,naive_symbolic_expansion_seconds,grouped_construction_seconds,grouped_d4_term_count,base_y3_grouped_term_count,base_y5_grouped_term_count,composition_c5,composition_c13,composition_first_order_x,composition_third_order_l1,composition_fifth_order_model_residual_l1,median_grouped_action_seconds,maximum_full_action_relative_error,maximum_expectation_absolute_error_hartree,linear_combination_action_count_per_state,unique_partial_sum_operator_count
H2,yoshida4,2,3,6,0.022374899126589298,0.0004382762126624584,5,2,3,-5.2914470714853215,-0.14440359149507537,1.0000000000000002,5.551115123125783e-17,1.8318679906315083e-15,0.00021761609241366386,6.642057231844355e-15,3.0357660829594124e-18,212,6
H2,current_m3,2,7,6,0.04645250900648534,0.0007590490859001875,5,2,3,-0.014458681325443586,0.0011629587670989963,1.0000000000000002,5.429684479807406e-15,6.071532165918825e-17,0.00021302001550793648,3.497566799801164e-15,2.202285662861181e-20,212,6
H2,two_term_center,2,7,6,0.046137331053614616,0.0007586670108139515,5,2,3,-0.02458369907714954,0.0005508779033868956,1.0,9.461181837977506e-15,6.10405823109339e-17,0.00021280581131577492,5.19619410229651e-15,2.710505431213761e-20,212,6
H2,m5_best,2,11,6,0.0833647248800844,0.0011012807954102755,5,2,3,-0.0012698026772227668,0.0006397763303627504,1.0,0.0,7.556889142223966e-17,0.00021580304019153118,8.93435142928241e-16,2.541098841762901e-21,212,6
H4,yoshida4,13,3,168560,75.8487379560247,0.0006757101509720087,456,24,432,-5.2914470714853215,-0.14440359149507537,1.0000000000000002,5.551115123125783e-17,1.8318679906315083e-15,0.03467893390916288,4.3996548710357073e-13,2.480654570646834e-15,18384,61
H4,current_m3,13,7,,,0.0010708400513976812,456,24,432,-0.014458681325443586,0.0011629587670989963,1.0000000000000002,5.429684479807406e-15,6.071532165918825e-17,0.03434117301367223,1.964661539044403e-12,3.0525712166329377e-16,18384,61
H4,two_term_center,13,7,,,0.0010068409610539675,456,24,432,-0.02458369907714954,0.0005508779033868956,1.0,9.461181837977506e-15,6.10405823109339e-17,0.034517970867455006,1.0825280870930806e-11,1.4554601013988533e-15,18384,61
H4,m5_best,13,11,,,0.0013804160989820957,456,24,432,-0.0012698026772227668,0.0006397763303627504,1.0,0.0,7.556889142223966e-17,0.03454405604861677,1.4058492417856383e-11,1.1021694353626627e-15,18384,61
