formula_id,formal_order,variant,degree,word_count,l1,l2,linf,maximum_word,maximum_signed_residual
yoshida4,4,stored_float_binary,0,1,0.0,0.0,0.0,I,0.0
yoshida4,4,stored_float_binary,1,2,0.000000000000000444089209850062616169452667236328125,0.00000000000000031401849173675501187867647439271269828468466375802582950009339279667408072740532,0.0000000000000002220446049250313080847263336181640625,X,0.0000000000000002220446049250313080847263336181640625
yoshida4,4,stored_float_binary,2,4,0.00000000000000088817841970012533094651848709913192646607066034827870915080438862787559628486633,0.00000000000000044408920985006266547325924354956596323303533017413935457540219431393779814243317,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658,XX,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658
yoshida4,4,stored_float_binary,3,8,0.0000000000000010141619075303644947923507592583758534525265318179132532565921716739146496449126,0.00000000000000039418812613265300333968288592120591577035984537616686073496989433204137859215531,0.00000000000000019802932565133328435095446233174257587618508894149625870051670663435528058747195,XYX,0.00000000000000019802932565133328435095446233174257587618508894149625870051670663435528058747195
yoshida4,4,stored_float_binary,4,16,0.00000000000000065707972086911950692107668323844551789284231244681556156311813052149359384776969,0.00000000000000021347071681115110925416288779865844819673679903418654253411098865526022090221269,0.00000000000000012401445734298952198286746337808804466210827805952366765141691373561469837737652,XYYX,0.00000000000000012401445734298952198286746337808804466210827805952366765141691373561469837737652
yoshida4,4,stored_float_binary,5,32,0.6481905087046705202395732373270124520166716026739755277019138066941758153207817,0.1841203257194489362237371842891002884583879107963910081481038314030843488746371,0.10417977330197283130455197684831941070746619338590502190755271293638928700761487,YXYXY,-0.10417977330197283130455197684831941070746619338590502190755271293638928700761487
yoshida4,4,analytic_high_precision,0,1,0.0,0.0,0.0,I,0.0
yoshida4,4,analytic_high_precision,1,2,4.2168791772922092897394296205080076030839845529474030200311052100432577163879038e-81,2.981783861707670778467275319119074292653662743692367858716926515698985554037555e-81,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,X,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81
yoshida4,4,analytic_high_precision,2,4,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-81,4.2168791772922092897394296205080076030839845529474030200311052100432577163879038e-81,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,XX,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81
yoshida4,4,analytic_high_precision,3,8,1.6076851863426547917131575428186778986757691108111974013868588613289920043728883e-80,6.8372066628198416497551837612718642463306409435535365598838872613096353875501231e-81,3.6897692801306831285220009179445066526984864838289776425272170587878505018394159e-81,XYX,3.6897692801306831285220009179445066526984864838289776425272170587878505018394159e-81
yoshida4,4,analytic_high_precision,4,16,1.6076851863426547917131575428186778986757691108111974013868588613289920043728883e-80,4.956129610097292583598964535626947258448237832979480508826375552784159236786362e-81,2.8332156972432031165436792762788176083220521215115364040833988129978137781981229e-81,XYYY,2.8332156972432031165436792762788176083220521215115364040833988129978137781981229e-81
yoshida4,4,analytic_high_precision,5,32,0.64819050870467062387293683492511380836832860323426218318166974281678209889576895,0.18412032571944899372709805513734660817239079878033802395604337126142791638089958,0.10417977330197285474530527324256832071844087390628882603994970648678366821478122,YXYXY,-0.10417977330197285474530527324256832071844087390628882603994970648678366821478122
paper_new4_printed_registry,4,stored_float_binary,0,1,0.0,0.0,0.0,I,0.0
paper_new4_printed_registry,4,stored_float_binary,1,2,0.0,0.0,0.0,X,0.0
paper_new4_printed_registry,4,stored_float_binary,2,4,0.0,0.0,0.0,XX,0.0
paper_new4_printed_registry,4,stored_float_binary,3,8,0.0000000036730681569559308785213959911688909408570329570154510321796241923646688345947457,0.0000000016765185706822411353424817196571645838184133913415306819759123367777184977460331,0.0000000012243560523186436261737986637229636469523443190051503440598747307882229446892119,YXY,-0.0000000012243560523186436261737986637229636469523443190051503440598747307882229446892119
paper_new4_printed_registry,4,stored_float_binary,4,16,0.000000003673068156955930878521395991168890940857032957015451032179624192364668834265302,0.0000000010821880839766303391689447099115348942946338484842001737365161470838942868359464,0.0000000006121780261593218130868993318614818234761721595025751720299373653941114724104947,XYYX,0.0000000006121780261593218130868993318614818234761721595025751720299373653941114724104947
paper_new4_printed_registry,4,stored_float_binary,5,32,0.039866327991392631747039805908386036938733573259490197940559007657181360289761411,0.008970465504813307017885209155329998597925644398168768332030308780093630758549531,0.0044427941598548479835162630257823534235023986171598120704359201146388923213330213,YXYXY,-0.0044427941598548479835162630257823534235023986171598120704359201146388923213330213
paper_new4_printed_registry,4,exact_printed_decimal_literals,0,1,0.0,0.0,0.0,I,0.0
paper_new4_printed_registry,4,exact_printed_decimal_literals,1,2,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,X,-1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81
paper_new4_printed_registry,4,exact_printed_decimal_literals,2,4,3.6897692801306831285220009179445066526984864838289776425272170587878505018394159e-81,1.9005217620204328801034775511295453055439143878183130287772155064874606829236765e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,XY,-1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81
paper_new4_printed_registry,4,exact_printed_decimal_literals,3,8,0.000000003673068161380753999999999999999999999999999999999999999999999999999999999864392,0.0000000016765185727018873325126928092565889968026835278914930032593639909999524936285206,0.0000000012243560537935846666666666666666666666666666666666666666666666666666666668850189,YXY,-0.0000000012243560537935846666666666666666666666666666666666666666666666666666666668850189
paper_new4_printed_registry,4,exact_printed_decimal_literals,4,16,0.0000000036730681613807540000000000000000000000000000000000000000000000000000000004573906,0.0000000010821880852803063536475061433622479350655994933066551429526739499920614785254575,0.00000000061217802689679233333333333333333333333333333333333333333333333333333333324484326,XYYX,0.00000000061217802689679233333333333333333333333333333333333333333333333333333333324484326
paper_new4_printed_registry,4,exact_printed_decimal_literals,5,32,0.0398663279913926304957001100019575329314,0.0089704655048133067124990851425708597612410477410929901932527324716131194924274479,0.0044427941598548479666840400835131801267333333333333333333333333333333333333333334,YXYXY,-0.0044427941598548479666840400835131801267333333333333333333333333333333333333333334
paper_new4_projected,4,stored_float_binary,0,1,0.0,0.0,0.0,I,0.0
paper_new4_projected,4,stored_float_binary,1,2,0.0,0.0,0.0,X,0.0
paper_new4_projected,4,stored_float_binary,2,4,0.0,0.0,0.0,XX,0.0
paper_new4_projected,4,stored_float_binary,3,8,0.0000000000000057413683441009496037034765454934090086217622555281369811423050756669384351603269,0.0000000000000026205641275084772628191332328184703400707170632730150099142784641136066239709338,0.0000000000000019137894480336498679011588484978030028739207518427123270474350252221371084210551,YXY,-0.0000000000000019137894480336498679011588484978030028739207518427123270474350252221371084210551
paper_new4_projected,4,stored_float_binary,4,16,0.0000000000000057413683441009496037034765454934090086217622555281369811423050756666089914746009,0.0000000000000016915668705848170269097492769635949346278463240976708772218502890292664177928051,0.00000000000000095689472401682493395057942424890150143696037592135616352371751261113444294767275,XYYX,0.00000000000000095689472401682493395057942424890150143696037592135616352371751261113444294767275
paper_new4_projected,4,stored_float_binary,5,32,0.039866328935106893583624622221637197235127812199459042349345320815632969960237871,0.0089704657387780270084432790783889588324848890617143551218552758081516243633916478,0.0044427941673268162236567327875730510146998614477369905348710009012230760149065738,YXYXY,-0.0044427941673268162236567327875730510146998614477369905348710009012230760149065738
