formula_id,formal_order,significant_digits,w0_policy,normalization_residual,complete_word_hard_linf,degree_p_plus_1_linf,lower_order_crossover_tau,crossover_contamination_degree,hard_conditions_passed
yoshida4,4,6,explicit_analytic,0.000010000000000000000000000000000000000000000000000000000000000000000000000000000467,0.000010739837133583333333333333333333333333333333333333333333333333333333333333333437,0.10417599943668319362149333333333333333333333333333333333333333333333333333333333,0.098982423078823900670525292060300147210714141778081766381288585160667209731184053,1,False
yoshida4,4,8,explicit_analytic,-2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,0.0000000086228963305813333333333333333333333333333333333333333333333333333333333351836322,0.10417977973649690271036668516472149333333333333333333333333333333333333333333333,0.00028769668978036351402371391244779883500851690775012831141407034307097947486057223,3,False
yoshida4,4,10,explicit_analytic,-2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,0.000000000043265326048955221333333333333333333333333333333333333333333333333333335106436104,0.10417977333425803685717088936026844754464494933333333333333333333333333333333333,0.000020378784949152517751481649457379767167397763371261495587494763748879464033372428,3,False
yoshida4,4,12,explicit_analytic,0.0,0.00000000000036717168673803217486933333333333333333333333333333333333333333333333328038240953,0.10417977330224684331432019726335815518176551460688208213333333333333333333333333,0.0000018773398038274833625917871018017652355348465697974831872743863264135287165534526,3,True
yoshida4,4,14,explicit_analytic,0.000000000000099999999999999999999999999999999999999999999999999999999999999999997432130333268,0.00000000000010000000000000499999999999999999999999999999999999999999999999999999737290148107,0.10417977330194654819543035907437440311260800033267734529366026681333333333333333,0.00098981526668247409570239822629081122137819661607277131661369966990954543909290883,1,True
yoshida4,4,16,explicit_analytic,0.00000000000000099999999999999999999999999999999999999999999999999999999999999999913094546787424,0.0000000000000010283201989393708787922426713125833333333333333333333333333333333320359811916501,0.10417977330197254549788908166877047583661022314949125946159625351836014316833333,0.00031300707055233993081968529385769564947706034930667778595114183782260418782054174,1,True
paper_new4_printed_registry,4,6,computed_from_tail,0.0,0.000000057054228611666666666666666666666666666666666666666666666666666666666666666767844,0.0044427959391963588504147050888333333333333333333333333333333333333333333333333334,0.0035835687098226669291841266775625998205616829490389362501528498948252927919892629,3,False
paper_new4_printed_registry,4,8,computed_from_tail,0.0,0.0000000012243560537935846666666666666666666666666666666666666666666666666666666668850189,0.0044427941598548479666840400835131801267333333333333333333333333333333333333333334,0.0005249594648452230504545229020434448732939687652920367089653174530227754803849349,3,False
paper_new4_printed_registry,4,10,computed_from_tail,0.0,0.0000000012243560537935846666666666666666666666666666666666666666666666666666666668850189,0.0044427941598548479666840400835131801267333333333333333333333333333333333333333334,0.0005249594648452230504545229020434448732939687652920367089653174530227754803849349,3,False
paper_new4_printed_registry,4,12,computed_from_tail,0.0,0.0000000012243560537935846666666666666666666666666666666666666666666666666666666668850189,0.0044427941598548479666840400835131801267333333333333333333333333333333333333333334,0.0005249594648452230504545229020434448732939687652920367089653174530227754803849349,3,False
paper_new4_printed_registry,4,14,computed_from_tail,0.0,0.0000000012243560537935846666666666666666666666666666666666666666666666666666666668850189,0.0044427941598548479666840400835131801267333333333333333333333333333333333333333334,0.0005249594648452230504545229020434448732939687652920367089653174530227754803849349,3,False
paper_new4_printed_registry,4,16,computed_from_tail,0.0,0.0000000012243560537935846666666666666666666666666666666666666666666666666666666668850189,0.0044427941598548479666840400835131801267333333333333333333333333333333333333333334,0.0005249594648452230504545229020434448732939687652920367089653174530227754803849349,3,False
paper_new4_projected,4,6,explicit_projected_float,0.0,0.000000057054228611666666666666666666666666666666666666666666666666666666666666666504289,0.0044427959391963588504147050888333333333333333333333333333333333333333333333333333,0.003583568709822666929184126677562599820561682949038936250152849894825292791980986,3,False
paper_new4_projected,4,8,explicit_projected_float,-0.0000000099999999999999999999999999999999999999999999999999999999999999999999999988366082,0.000000009999999999999999999999999999999999999999999999999999999999999999999999999890828,0.0044427943661028548309044647670102767284333333333333333333333333333333333333333333,0.038733429079787695190257515029805164276650591338300950394687570545124123648899895,1,False
paper_new4_projected,4,10,explicit_projected_float,-1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,0.0000000000042076528417467914003333333333333333333333333333333333333333333333333335737443497,0.0044427941674531227046453134327563003951420237652083333333333333333333333333333333,0.000030774560102018997689280508903628588145133725923188767146953605508003662465387143,3,False
paper_new4_projected,4,12,explicit_projected_float,0.0,0.000000000000055916390391728748463590666666666666666666666666666666666666666666666070099626256,0.0044427941673238693647160642850716458075727291058845398510533333333333333333333333,0.0000035476557222814665328111612017110282816137250272619301190340223311692921600890555,3,True
paper_new4_projected,4,14,explicit_projected_float,0.0,0.0000000000000015409004359130813001020628466666666666666666666666666666666666666664215331626314,0.0044427941673268608242090343023714352636720485195137219552299022000733333333333333,0.00000058892391771435789157163932928378841577167092133306915299694863197603360971022263,3,True
paper_new4_projected,4,16,explicit_projected_float,-1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,0.0000000000000019141648199436453338189007334917936666666666666666666666666666666667986068224833,0.0044427941673268161470979617354017553139951301796117764304654190594581373464612183,0.00000065638941439021183909350632509943835743410234799369654754956814206562807199738988,3,True
m5_best,4,6,computed_from_tail,0.0,0.000000022903485802666666666666666666666666666666666666666666666666666666666666667002088,0.00036221671717134408848152517333333333333333333333333333333333333333333333333333336,0.0079518201229873662864946201769627005778896897831432687753453122383561650398626687,3,False
m5_best,4,8,computed_from_tail,0.0,0.00000000086819831196441833333333333333333333333333333333333333333333333333333333352334574,0.00036221483650114577365415217232273160558333333333333333333333333333333333333333332,0.0015481974611120357550016018067987658132502858806768682969566232286102342102554241,3,False
m5_best,4,10,computed_from_tail,0.0,0.0000000000026017115861613234566666666666666666666666666666666666666666666666666666871878774,0.00036221492139343202779667646431035357128895948355333333333333333333333333333333333,0.00008475130749474783629867660621605498582270933718717432165822518544639619317206788,3,False
m5_best,4,12,computed_from_tail,0.0,0.000000000000017492040122138509475359333333333333333333333333333333333333333333333889621936698,0.00036221492108878836197893342312922964202149987344777808935933333333333333333333332,0.0000069492360521231046763386788223745399987409097378471117569054852541592356782761045,3,True
m5_best,4,14,computed_from_tail,0.0,0.00000000000000025984345236890594207770658533333333333333333333333333333333333333318669835475612,0.00036221492108877754459973562579050927985232858938388552455290519359013333333333334,0.00000084697915209078172275447674301935271318450871345037399127219691305194031278364037,3,True
m5_best,4,16,computed_from_tail,0.0,0.0000000000000000030164426754499620627910471972213333333333333333333333333333333333807667146793345,0.00036221492108879925471958726070960181493091700493895947377202023670519332643157334,0.000000091256618044756045608224055131927166803055157195764530103875862544443060879223765,3,True
current_m3,4,6,explicit_saved_tuple,0.0,0.00000000068100954733333333333333333333333333333333333333333333333333333333333333314342658,0.0010634336788263418029100629953333333333333333333333333333333333333333333333333334,0.00080024209934444147206542708452459658594111768967228166513422344934361019428962578,3,False
current_m3,4,8,explicit_saved_tuple,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,0.000000000014007142330112333333333333333333333333333333333333333333333333333333333557521337,0.0010634354238906533024398704488174121942833333333333333333333333333333333333333333,0.00011476757608949075822293686306496737144981030636810154008196955537478119968782106,3,False
current_m3,4,10,explicit_saved_tuple,0.00000000010000000000000000000000000000000000000000000000000000000000000000000000020975224,0.00000000010000000000499999999999999999999999999999999999999999999999999999999999953403517,0.0010634354244584241648085032010539021712998082726733333333333333333333333333333333,0.017511454466379630901487407539177041341972413117619729762507716768193161758242946,1,False
current_m3,4,12,explicit_saved_tuple,0.0000000000010000000000000000000000000000000000000000000000000000000000000000000017310179851,0.0000000000010000000000005000000000000000000000000000000000000000000000000000000021334515308,0.0010634354276994450669854199376317035678586244807817028675293333333333333333333333,0.0055376081213895820590446716973245461725958408091000871348120817304135279012367115,1,False
current_m3,4,14,explicit_saved_tuple,0.000000000000010000000000000000000000000000000000000000000000000000000000000000001851652621973,0.000000000000010000000000000050000000000000000000000000000000000000000000000000000765213945298,0.0010634354277303737851201946971046803597981912065676455273165079900106333333333333,0.0017511454452909937452217708444024543577672617983251796170206980516473200429469708,1,True
