formula_id,display_name,formal_order,variant,production_role,provenance,w0_policy,compact_weight_count,s2_block_count,minimum_source_decimal_digits,maximum_source_decimal_digits,weights,normalization_residual,cubic_moment_residual,fifth_moment_residual,seventh_moment_residual,complete_word_hard_linf,complete_word_hard_l2,degree_p_plus_1_linf,lower_order_crossover_tau,crossover_contamination_degree,hard_condition_tolerance,hard_conditions_passed
yoshida4,Yoshida 4th,4,stored_float_binary,unified comparison candidate,src/trotterlib/product_formula.py:yoshida_4th_list,explicit_analytic,2,3,,,"['-1.7024143839193153215916254339390434324741363525390625', '1.3512071919596577718181151794851757586002349853515625']",0.0000000000000002220446049250313080847263336181640625,0.0000000000000010440842782658112678802560883924776108275040109863857936790484087880311043078995,nan,nan,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658,0.00000000000000070482399588671674085962057570080917355993618009696653918750533953125500978196252,0.10417977330197283130455197684831941070746619338590502190755271293638928700761487,0.00021486427105511695051663773114887018119236439827349312146654467878410488901975178,1,1e-12,True
yoshida4,Yoshida 4th,4,analytic_high_precision,unified comparison candidate,src/trotterlib/product_formula.py:yoshida_4th_list,explicit_analytic,2,3,,,"['-1.7024143839193152680953756179429216538439987524342896566574119953786052862173794', '1.3512071919596576340476878089714608269219993762171448283287059976893026431086897']",2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,2.5301275063753255738436577723048045618503907317684418120186631260259546298327423e-80,nan,nan,3.6897692801306831285220009179445066526984864838289776425272170587878505018394159e-81,9.8986726714247959838721996409348222627804223458368356122706618367186653788081811e-81,0.10417977330197285474530527324256832071844087390628882603994970648678366821478122,0.0,,1e-12,True
paper_new4_printed_registry,"4th(new_2), printed registry",4,stored_float_binary,public registry value; not used unprojected by unified comparison,src/trotterlib/product_formula.py:new_4th_m2_list,computed_from_tail,3,5,8,8,"['-0.6581584400000000112385123429703526198863983154296875', '0.42008729000000000208814299185178242623805999755859375', '0.40899193000000000353111317963339388370513916015625']",0.0,0.0000000073461363139118617570427919823377818817140659140309020643592483847293376686623815,nan,nan,0.0000000012243560523186436261737986637229636469523443190051503440598747307882229446892119,0.0000000019954562302750303835711009500662488933633384311942719697192107064775639359366725,0.0044427941598548479835162630257823534235023986171598120704359201146388923213330213,0.00052495946452902244052384765715406419746264294406408698110779639729388016274850008,3,1e-12,False
paper_new4_printed_registry,"4th(new_2), printed registry",4,exact_printed_decimal_literals,public registry value; not used unprojected by unified comparison,src/trotterlib/product_formula.py:new_4th_m2_list,computed_from_tail,3,5,8,8,"['-0.65815844', '0.42008729', '0.40899193']",0.0,0.0000000073461363227615079999999999999999999999999999999999999999999999999999999986745642,nan,nan,0.0000000012243560537935846666666666666666666666666666666666666666666666666666666668850189,0.0000000019954562326788901782494015440861704204103412587222893781993065174925794477539984,0.0044427941598548479666840400835131801267333333333333333333333333333333333333333334,0.0005249594648452230504545229020434448732939687652920367089653174530227754803849349,3,1e-12,False
paper_new4_projected,"4th(new_2), projected comparison value",4,stored_float_binary,actual unified comparison candidate,search_pf_cost_predictability_m2_m3.py:projected_reference_candidate(2),explicit_projected_float,3,5,,,"['-0.658158449368397402423624953371472656726837158203125', '0.420087292300872994221805356573895551264286041259765625', '0.408991932383325706990007120111840777099132537841796875']",0.0,0.000000000000011482736688201899207406953090986818017243524511056273962284610151333349760423492,nan,nan,0.0000000000000019137894480336498679011588484978030028739207518427123270474350252221371084210551,0.0000000000000031190951931681049278439102142455159382012035630292956411795912496592172442823493,0.0044427941673268162236567327875730510146998614477369905348710009012230760149065738,0.00000065632505153435701006652867961792216093375749092880450992803242036934469073759138,3,1e-12,True
m5_best,4th(m5_best),4,stored_float_binary,unified comparison candidate,src/trotterlib/product_formula.py:actual_circuit_optimized_4th_m5_list,computed_from_tail,6,11,16,17,"['-0.277112710891391333944966390845365822315216064453125', '0.11225428783206335692224087097201845608651638031005859375', '0.141819616431216044549756816195440478622913360595703125', '0.12119203657130679652187410511032794602215290069580078125', '0.1378164353375340434038065495769842527806758880615234375', '0.1254739792735754255748048535679117776453495025634765625']",0.0,-0.000000000000000039781310365081300323031210295667960460370930996236086939901234408985757739832243,nan,nan,0.0000000000000000066302183941802167205052017159446600767284884993726811566502057349188112728322949,0.000000000000000010805933925589628020680929646899774617568261971627460137527816005950888689742273,0.00036221492108879900325938892830781278723637426630406089954469783501915122745032179,0.00000013529468898707631586263914738584059771752773585126317402000134722803779902599466,3,1e-12,True
m5_best,4th(m5_best),4,exact_printed_decimal_literals,unified comparison candidate,src/trotterlib/product_formula.py:actual_circuit_optimized_4th_m5_list,computed_from_tail,6,11,16,17,"['-0.27711271089139134', '0.11225428783206336', '0.14181961643121604', '0.1211920365713068', '0.13781643533753404', '0.12547397927357543']",0.0,-0.000000000000000041155961856909427202184322282227721999999999999999999999999999999886567277119511,nan,nan,0.0000000000000000068593269761515712003640537137046203333333333333333333333333333335505291876235187,0.000000000000000011179335230249683602140873237242163432573837774194475122367818311078991426179727,0.00036221492108879898530151304901576021482065267188132863349720853599510875133642151,0.00000013761240486474717715111954764250395687114830617135988158498577341672259716054066,3,1e-12,True
current_m3,current_m3,4,stored_float_binary,unified comparison candidate,compare_existing_pf_low_order_models_local.py:CURRENT_M3_WEIGHTS,explicit_saved_tuple,4,7,16,16,"['-0.4737318199452464906329396399087272584438323974609375', '0.331611800193505279477079739081091247498989105224609375', '0.2092246690782796070262605780953890644013881683349609375', '0.19602944070083838656870511840679682791233062744140625']",0.000000000000000055511151231257827021181583404541015625,-0.0000000000000054229045109833889860452279385581591030470722456298934305921825449478604721906688,nan,nan,0.00000000000000093157299411286041272553940363841906927461796932301098542823405901284852723535615,0.0000000000000014818484046462208932032838166582356455502419722696889308237688398552375572548574,0.0010634354277307222512952160616406247085454558576907402931008098070906385988685463,0.00047798831227532717754638857176814356358789427336336463288712941985935842476135671,1,1e-12,True
current_m3,current_m3,4,exact_saved_decimal_literals,unified comparison candidate,compare_existing_pf_low_order_models_local.py:CURRENT_M3_WEIGHTS,explicit_saved_tuple,4,7,16,16,"['-0.4737318199452465', '0.3316118001935053', '0.2092246690782796', '0.1960294407008384']",0.000000000000000099999999999999999999999999999999999999999999999999999999999999998648030793599761,-0.0000000000000054144186973254207614881505457339910000000000000000000000000000000001705148872852,nan,nan,0.00000000000000095240311622090346524802509095566533333333333333333333333333333333351312794928694,0.0000000000000014991704985201817160444733784953416167837266352367171499278348193322257286793736,0.0010634354277307207509859850839715044331868390063002269585536364458848599713509333,0.00055376081213488667327518868951145305367805397631755670029053688592969138032351347,1,1e-12,True
two_term_center,two_term_center,4,stored_float_binary,unified comparison candidate,compare_existing_pf_low_order_models_local.py:TWO_TERM_CENTER_WEIGHTS,explicit_saved_tuple,4,7,16,16,"['-0.547974637273622278144102892838418483734130859375', '0.413066573484316912345803984862868674099445343017578125', '0.1864679228988850023807088973626377992331981658935546875', '0.174452822253609196589962948564789257943630218505859375']",-0.000000000000000055511151231257827021181583404541015625,-0.000000000000009403120889785282124983643927550492749653679451385509442275407577892820161810608,nan,nan,0.0000000000000015394312393485847755274271517326002710650720216487732030439935986053950607811459,0.0000000000000025592907960255141960063298914301994690047550406782236543067024323090003978196835,0.0010948955875980418021191734523375127513675113672850710603492860840267523455819794,0.0004745171159355570975007728690724676198616600267949498637395367252482569892440729,1,1e-12,True
two_term_center,two_term_center,4,exact_saved_decimal_literals,unified comparison candidate,compare_existing_pf_low_order_models_local.py:TWO_TERM_CENTER_WEIGHTS,explicit_saved_tuple,4,7,16,16,"['-0.5479746372736223', '0.4130665734843169', '0.186467922898885', '0.1744528222536092']",-0.000000000000000099999999999999999999999999999999999999999999999999999999999999998648030793599761,-0.0000000000000094353222350285564907563275294985730000000000000000000000000000000000842106795532,nan,nan,0.0000000000000015225537058380927534593879215830953333333333333333333333333333333334551489008474,0.0000000000000025793704454197570144690193006841143957022364719071650897230087734788229582476045,0.0010948955875980431504284632545616768150256945545170286051665129156731396128759733,0.00054973934873332199034167764963281451389831439623989261627511924728461706467586545,1,1e-12,True
joint_refine_r0_s0046,joint_refine_r0_s0046,4,stored_float_binary,unified comparison candidate,artifacts/m3_joint_full_frozen_refinement_20260913/refinement_results.json,explicit_json_float,4,7,,,"['-1.08739965192843168750869153882376849651336669921875', '0.8623983814720916907248238203465007245540618896484375', '0.0865606576556421369872396098799072206020355224609375', '0.09474078683648191889776768448427901603281497955322265625']",-0.0000000000000001942890293094023945741355419158935546875,0.0000000000000086305612254756689060903939783796491115139830088665660909870595395853827958895887,nan,nan,0.0000000000000015355713855673126627613533123596448249918907463096154617631247480310508791307108,0.0000000000000024113761508761643920388861111704900887670750259175113298885146018851625434367405,0.011267039829404430075637519270475717585555405437545409714789269672363272397107988,0.00036237615470115665724177692545573504936857639086884920567568841715465110250748031,1,1e-12,True
yoshida6_m3,Yoshida 6th m=3,6,stored_float_binary,unified comparison candidate,compare_existing_pf_low_order_models_local.py:YOSHIDA6_M3_WEIGHTS,explicit_saved_tuple,4,7,14,16,"['1.315186320683908061113243093132041394710540771484375', '-1.1776799841788709866108320056810043752193450927734375', '0.23557321335935699213592897649505175650119781494140625', '0.78451361047755996391828148261993192136287689208984375']",0.0,-0.0000000000000066261649258939733473709215727833212069727993848723142002293995133747584221865574,-0.000000000000036655100095976434223563414491369573036872376180503086675745426829521744898953623,nan,0.0000000000000011043608209823288912284869287972202011621332308120523667048999188958809220139532,0.0000000000000025540569535064402008609556905398756677993067589976915998893234592249130526262933,0.0057467180332864788350648749531825525745915595829652437591485700268520793084287605,0.00066209876158089465906372533960891132390342030364740280535295683955169312593618547,3,1e-12,True
yoshida6_m3,Yoshida 6th m=3,6,exact_saved_decimal_literals,unified comparison candidate,compare_existing_pf_low_order_models_local.py:YOSHIDA6_M3_WEIGHTS,explicit_saved_tuple,4,7,14,16,"['1.315186320683908', '-1.177679984178871', '0.235573213359357', '0.78451361047756']",0.0,-0.0000000000000069188494988856321502771922147239999999999999999999999999999999999939936715675089,-0.00000000000003768996150180363277695075208478763692547395985750380553780481999998570069717349,nan,0.0000000000000011531415831476053583795320357873333333333333333333333333333333333329472401412733,0.0000000000000026452875992022900298041323955222153853656129816650833422934646310287764796829677,0.0057467180332864853114965454763698930481117840726521552087757972989094328011276636,0.00066929208049779843568266177648550461350011749379609803240293394646183949498918066,3,1e-12,True
yoshida8,Yoshida 8th,8,stored_float_binary,unified comparison candidate,src/trotterlib/product_formula.py:yoshida_8th_list,computed_from_tail,8,15,14,15,"['-1.780828626589451513240192070952616631984710693359375', '-1.6158237415009699677881371826515533030033111572265625', '-2.446991823705240154396278740023262798786163330078125', '-0.00716989419708119989083083822833941667340695858001708984375', '2.440027326167350185670557038974948227405548095703125', '0.1577399281236170069941948668201803229749202728271484375', '1.8202063097071399244697431640815921127796173095703125', '1.042426208699910095134555376716889441013336181640625']",0.0000000000000002671474153004282925394363701343536376953125,0.000000000000077131125418714037419936830748686478029250239777393319159746507981352287187337891,0.00000000000019039990851661047801803232513683495863362085273013263068533372179570412368138318,-0.0000000000022062374859387275476018152655076916395157618479758031539121467214784424007649178,0.00000000000078435457910585871504308491506567019117747455561884544127672441122715255829125314,0.0000000000050736604925959727457819982470824512871663824873455113183210954049671870525016709,6.59285156700407562128774818615616189685546556703835882093465984592353105643394,0.0089322261424113849933496304111831386830850332181166610901208824362686489307082238,1,1e-12,True
yoshida8,Yoshida 8th,8,exact_printed_decimal_literals,unified comparison candidate,src/trotterlib/product_formula.py:yoshida_8th_list,computed_from_tail,8,15,14,15,"['-1.7808286265894516', '-1.61582374150097', '-2.44699182370524', '-0.0071698941970812', '2.44002732616735', '0.157739928123617', '1.82020630970714', '1.04242620869991']",0.0,0.00000000000007559556211623365193713447667739124799999999999999999999999999999998314750807003,0.00000000000018055047155278989883471880006853742596282776632590780702941356605723771741539614,-0.0000000000022814209343717573346391777125998858306924410268854147641278647984723751800373331,0.00000000000079560477528188874132843679286502672310116991100332164398640112000223761306229753,0.0000000000051465903689696990228267612624796003342787741480893165662596413320755531229958697,6.5928515670040517108816701291442474145757035516856007968205012984312642162908943,0.0035227240581771259982670064123128321934836327930986123516892731668166816804666334,3,1e-12,True
morales_y8m10b,Morales Y8m10b,8,stored_float_binary,unified comparison candidate,src/trotterlib/product_formula.py:morales_2025_y8m10b_list,computed_from_tail,11,21,31,32,"['0.1220556551361575703396056269411928951740264892578125', '0.10467636532245895575332639282351010479032993316650390625', '-0.5789699933178098500974328999291174113750457763671875', '0.575033501600617835691764412331394851207733154296875', '0.12231011868707029888181381238609901629388332366943359375', '0.2779314999903952365656323308940045535564422607421875', '-0.373496050880567309615543081235955469310283660888671875', '0.115755665894804626869785124654299579560756683349609375', '0.146464561097580048265598406942444853484630584716796875', '-0.394435783222840841144574142163037322461605072021484375', '0.44370228726021221365982682982576079666614532470703125']",0.0,0.000000000000000030394752208274687305891852383856856991373030155851327533952501715057261171593305,0.000000000000000015963585916663062718830948519745546671702363121918982269581653503842488486950526,0.0000000000000000064160023012062072121066597827158045665694342293905259576442316982221518295909454,0.0000000000000000050657920347124478843153087306428094985621716926418879223254169524216918790719631,0.000000000000000008511030230736130698331248666939578729010075641267157798131871788225322416245737,0.00000095378335591641790205096913714069481279865426172484513725033776059414557227498729,0.013208888358941568392742315233174202599049975548689414494459767384487380218789356,3,1e-12,True
morales_y8m10b,Morales Y8m10b,8,published_decimal_literals_high_precision,unified comparison candidate,src/trotterlib/product_formula.py:morales_2025_y8m10b_list,computed_from_tail,11,21,31,32,"['0.12205565513615756311730933818828', '0.10467636532245895252340732579853', '-0.57896999331780988041471955125778', '0.57503350160061785946141563279891', '0.12231011868707029786561397542663', '0.27793149999039524816733903301747', '-0.37349605088056728482635987352576', '0.11575566589480463220616543972403', '0.1464645610975800618712569230326', '-0.39443578322284085764474498594073', '0.44370228726021218923197141183196']",0.0,2.9253319436473504394853124612556926812218570870376618638327883860873374326857803e-32,-2.4927195879166953248239057659952972069719393382635992370045693801786538705053644e-33,-5.5438311879399311840464595840967343687742522459901415990126704301122243340429713e-33,4.8755532394122507324755207687594878020364284783963515618342989670080112279012068e-33,1.1808974219727590840787928034479828106889162029767530941318569905901176486739711e-32,0.00000095378335591642458286619975693058964153499011774719876106652611996516121290761741,0.000041504548511619260485013558069407146587643016690126209315284852672342428049246455,3,1e-12,True
