formula_id,formal_order,variant,degree,word,signed_residual,absolute_residual
yoshida4,4,stored_float_binary,0,I,0.0,0.0
yoshida4,4,stored_float_binary,1,X,0.0000000000000002220446049250313080847263336181640625,0.0000000000000002220446049250313080847263336181640625
yoshida4,4,stored_float_binary,1,Y,0.0000000000000002220446049250313080847263336181640625,0.0000000000000002220446049250313080847263336181640625
yoshida4,4,stored_float_binary,2,XX,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658
yoshida4,4,stored_float_binary,2,XY,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658
yoshida4,4,stored_float_binary,2,YX,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658
yoshida4,4,stored_float_binary,2,YY,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658,0.00000000000000022204460492503133273662962177478298161651766508706967728770109715696889907121658
yoshida4,4,stored_float_binary,3,XXX,0.00000000000000011102230246251567869426645496570277497389308802596410922726267256851031859609315,0.00000000000000011102230246251567869426645496570277497389308802596410922726267256851031859609315
yoshida4,4,stored_float_binary,3,XXY,0.00000000000000006751879086810687586592245128268287452274708756819803449063565553585139254898451,0.00000000000000006751879086810687586592245128268287452274708756819803449063565553585139254898451
yoshida4,4,stored_float_binary,3,XYX,0.00000000000000019802932565133328435095446233174257587618508894149625870051670663435528058747195,0.00000000000000019802932565133328435095446233174257587618508894149625870051670663435528058747195
yoshida4,4,stored_float_binary,3,XYY,0.00000000000000019802932565133328435095446233174257587618508894149625870051670663435528058747195,0.00000000000000019802932565133328435095446233174257587618508894149625870051670663435528058747195
yoshida4,4,stored_float_binary,3,YXX,0.00000000000000006751879086810687586592245128268287452274708756819803449063565553585139254898451,0.00000000000000006751879086810687586592245128268287452274708756819803449063565553585139254898451
yoshida4,4,stored_float_binary,3,YXY,-0.000000000000000062991743915119532619109559766376826830690913805100189719245395562652495489502927,0.000000000000000062991743915119532619109559766376826830690913805100189719245395562652495489502927
yoshida4,4,stored_float_binary,3,YYX,0.00000000000000019802932565133328435095446233174257587618508894149625870051670663435528058747195,0.00000000000000019802932565133328435095446233174257587618508894149625870051670663435528058747195
yoshida4,4,stored_float_binary,3,YYY,0.00000000000000011102230246251567869426645496570277497389308802596410922726267256798320869893162,0.00000000000000011102230246251567869426645496570277497389308802596410922726267256798320869893162
yoshida4,4,stored_float_binary,4,XXXX,0.000000000000000037007434154171897006739366348005294582300922149197223306033561843420101960887104,0.000000000000000037007434154171897006739366348005294582300922149197223306033561843420101960887104
yoshida4,4,stored_float_binary,4,XXXY,0.000000000000000015255678356967490762707342090484607062349083171615612219687723870354980672478453,0.000000000000000015255678356967490762707342090484607062349083171615612219687723870354980672478453
yoshida4,4,stored_float_binary,4,XXYX,0.000000000000000058759189951376303250771390605525982102252761126778834392379399816485223249295755,0.000000000000000058759189951376303250771390605525982102252761126778834392379399816485223249295755
yoshida4,4,stored_float_binary,4,XXYY,0.000000000000000058759189951376303250771390605525982102252761126778834392379399816485223249295755,0.000000000000000058759189951376303250771390605525982102252761126778834392379399816485223249295755
yoshida4,4,stored_float_binary,4,XYXX,0.000000000000000058759189951376303250771390605525982102252761126778834392379399816485223249295755,0.000000000000000058759189951376303250771390605525982102252761126778834392379399816485223249295755
yoshida4,4,stored_float_binary,4,XYXY,-0.0000000000000000064960774402369154813246821670360804576027558059659988666581141026442518787850066,0.0000000000000000064960774402369154813246821670360804576027558059659988666581141026442518787850066
yoshida4,4,stored_float_binary,4,XYYX,0.00000000000000012401445734298952198286746337808804466210827805952366765141691373561469837737652,0.00000000000000012401445734298952198286746337808804466210827805952366765141691373561469837737652
yoshida4,4,stored_float_binary,4,XYYY,0.000000000000000080510945748580709494803414863046669622204600104360445478725237789352678326268833,0.000000000000000080510945748580709494803414863046669622204600104360445478725237789352678326268833
yoshida4,4,stored_float_binary,4,YXXX,0.000000000000000015255678356967490762707342090484607062349083171615612219687723870354980672478453,0.000000000000000015255678356967490762707342090484607062349083171615612219687723870354980672478453
yoshida4,4,stored_float_binary,4,YXXY,-0.0000000000000000064960774402369154813246821670360804576027558059659988666581141026442518787850066,0.0000000000000000064960774402369154813246821670360804576027558059659988666581141026442518787850066
yoshida4,4,stored_float_binary,4,YXYX,-0.0000000000000000064960774402369154813246821670360804576027558059659988666581141026442518787850066,0.0000000000000000064960774402369154813246821670360804576027558059659988666581141026442518787850066
yoshida4,4,stored_float_binary,4,YXYY,-0.0000000000000000064960774402369154813246821670360804576027558059659988666581141026442518787850066,0.0000000000000000064960774402369154813246821670360804576027558059659988666581141026442518787850066
yoshida4,4,stored_float_binary,4,YYXX,0.000000000000000058759189951376303250771390605525982102252761126778834392379399816485223249295755,0.000000000000000058759189951376303250771390605525982102252761126778834392379399816485223249295755
yoshida4,4,stored_float_binary,4,YYXY,-0.0000000000000000064960774402369154813246821670360804576027558059659988666581141026442518787850066,0.0000000000000000064960774402369154813246821670360804576027558059659988666581141026442518787850066
yoshida4,4,stored_float_binary,4,YYYX,0.000000000000000080510945748580709494803414863046669622204600104360445478725237789220900851978452,0.000000000000000080510945748580709494803414863046669622204600104360445478725237789220900851978452
yoshida4,4,stored_float_binary,4,YYYY,0.000000000000000037007434154171897006739366348005294582300922149197223306033561844013100595193821,0.000000000000000037007434154171897006739366348005294582300922149197223306033561844013100595193821
yoshida4,4,analytic_high_precision,0,I,0.0,0.0
yoshida4,4,analytic_high_precision,1,X,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81
yoshida4,4,analytic_high_precision,1,Y,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81
yoshida4,4,analytic_high_precision,2,XX,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81
yoshida4,4,analytic_high_precision,2,XY,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81
yoshida4,4,analytic_high_precision,2,YX,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81
yoshida4,4,analytic_high_precision,2,YY,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81
yoshida4,4,analytic_high_precision,3,XXX,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81
yoshida4,4,analytic_high_precision,3,XXY,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82
yoshida4,4,analytic_high_precision,3,XYX,3.6897692801306831285220009179445066526984864838289776425272170587878505018394159e-81,3.6897692801306831285220009179445066526984864838289776425272170587878505018394159e-81
yoshida4,4,analytic_high_precision,3,XYY,2.8991044343883938866958578640992552271202393801513395762713848319047396800166839e-81,2.8991044343883938866958578640992552271202393801513395762713848319047396800166839e-81
yoshida4,4,analytic_high_precision,3,YXX,0.0,0.0
yoshida4,4,analytic_high_precision,3,YXY,-2.8991044343883938866958578640992552271202393801513395762713848319047396800166839e-81,2.8991044343883938866958578640992552271202393801513395762713848319047396800166839e-81
yoshida4,4,analytic_high_precision,3,YYX,3.4262143315499200479132865666627561775057374492697649537752729831601468945651719e-81,3.4262143315499200479132865666627561775057374492697649537752729831601468945651719e-81
yoshida4,4,analytic_high_precision,3,YYY,1.8448846400653415642610004589722533263492432419144888212636085293939252509197079e-81,1.8448846400653415642610004589722533263492432419144888212636085293939252509197079e-81
yoshida4,4,analytic_high_precision,4,XXXX,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-82,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-82
yoshida4,4,analytic_high_precision,4,XXXY,-1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82
yoshida4,4,analytic_high_precision,4,XXYX,9.8833105717786155228267881730656428197280887959704758281979028360388852727841496e-82,9.8833105717786155228267881730656428197280887959704758281979028360388852727841496e-82
yoshida4,4,analytic_high_precision,4,XXYY,1.251886005758624632891393168588314757165557914156260271571734359231592134552659e-81,1.251886005758624632891393168588314757165557914156260271571734359231592134552659e-81
yoshida4,4,analytic_high_precision,4,XYXX,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81
yoshida4,4,analytic_high_precision,4,XYXY,-5.9299863430671693136960729038393856918368532775822854969187417016233311636704898e-82,5.9299863430671693136960729038393856918368532775822854969187417016233311636704898e-82
yoshida4,4,analytic_high_precision,4,XYYX,2.0425508515009138747175362224335661827438050178338983378275665861147029563753909e-81,2.0425508515009138747175362224335661827438050178338983378275665861147029563753909e-81
yoshida4,4,analytic_high_precision,4,XYYY,2.8332156972432031165436792762788176083220521215115364040833988129978137781981229e-81,2.8332156972432031165436792762788176083220521215115364040833988129978137781981229e-81
yoshida4,4,analytic_high_precision,4,YXXX,-1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82
yoshida4,4,analytic_high_precision,4,YXXY,-7.2477610859709847167396446602481380678005984503783489406784620797618492000417097e-82,7.2477610859709847167396446602481380678005984503783489406784620797618492000417097e-82
yoshida4,4,analytic_high_precision,4,YXYX,-5.9299863430671693136960729038393856918368532775822854969187417016233311636704898e-82,5.9299863430671693136960729038393856918368532775822854969187417016233311636704898e-82
yoshida4,4,analytic_high_precision,4,YXYY,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82
