m3_local_c3_r2_s000 t/t_ana=0.1: shift=-3.186598e-09, ratio=0.99981, build=2.83s
m3_local_c3_r2_s000 t/t_ana=0.3: shift=-2.569472e-07, ratio=0.99529, build=2.09s
m3_local_c3_r2_s000 t/t_ana=0.5: shift=-1.964473e-06, ratio=0.98618, build=2.09s
m3_local_c3_r2_s000 t/t_ana=0.7: shift=-7.440804e-06, ratio=0.97234, build=2.06s
m3_local_c3_r2_s000 t/t_ana=0.9: shift=-1.993773e-05, ratio=0.95345, build=2.08s
m3_local_c3_r2_s000 t/t_ana=1: shift=-3.001960e-05, ratio=0.94188, build=2.08s
m3_local_c3_r2_s000 t/t_ana=1.1: shift=-4.332590e-05, ratio=0.92847, build=2.08s
m3_local_c3_r2_s000 t/t_ana=1.2: shift=-6.040257e-05, ratio=0.91395, build=2.09s
m3_local_c3_r2_s000 t/t_ana=1.4: shift=-1.080091e-04, ratio=0.88214, build=2.07s
completed m3_local_c3_r2_s000: passed=True
