m3_local_c2_r0_s000 t/t_ana=0.1: shift=-3.186896e-09, ratio=0.99990, build=2.96s
m3_local_c2_r0_s000 t/t_ana=0.3: shift=-2.571970e-07, ratio=0.99626, build=2.09s
m3_local_c2_r0_s000 t/t_ana=0.5: shift=-1.970023e-06, ratio=0.98897, build=2.09s
m3_local_c2_r0_s000 t/t_ana=0.7: shift=-7.484013e-06, ratio=0.97799, build=2.10s
m3_local_c2_r0_s000 t/t_ana=0.9: shift=-2.014212e-05, ratio=0.96322, build=2.05s
m3_local_c2_r0_s000 t/t_ana=1: shift=-3.041703e-05, ratio=0.95435, build=2.09s
m3_local_c2_r0_s000 t/t_ana=1.1: shift=-4.406844e-05, ratio=0.94438, build=2.09s
m3_local_c2_r0_s000 t/t_ana=1.2: shift=-6.174619e-05, ratio=0.93428, build=2.11s
m3_local_c2_r0_s000 t/t_ana=1.4: shift=-1.124622e-04, ratio=0.91851, build=2.09s
completed m3_local_c2_r0_s000: passed=True
