condition,evaluation_group,selected_formula,oracle_joint_formula,selected_time,c_star,c_selected_formula_star,c_required_selected_time,c_hat,b_frozen,factor_model,factor_margin,factor_calibration,factor_time_selection,factor_pf_selection,factor_total,closure_absolute_error,excess_model,excess_margin,excess_calibration,excess_time_selection,excess_pf_selection,excess_total,log_model,log_margin,log_calibration,log_time_selection,log_pf_selection,log_total,model_log_share,margin_log_share,calibration_log_share,time_selection_log_share,pf_selection_log_share,dominant_component,success_gamma_1_01,coverage_status
N2_active_eq_sto3g,primary,current_m3,current_m3,0.5983202971910435,273562446.926076,273562446.926076,279399598.0082803,298110124.44559836,301091225.69005436,1.0669669053595545,1.01,1.0776365744131502,1.0213375452215545,1.0,1.100630693552092,0.0,0.06696690535955452,0.010000000000000009,0.0776365744131502,0.02133754522155451,0.0,0.10063069355209198,0.06481995530584256,0.009950330853168092,0.07477028615901077,0.021113087113175586,0.0,0.09588337327218643,0.6760291497237648,0.10377535242655522,0.7798045021503214,0.22019549784967785,0.0,calibration,True,complete_existing_truth
N2_active_stretch150_sto3g,primary,current_m3,current_m3,0.8303584711475099,147957576.27790663,147957576.27790663,181632703.25691193,208603332.59679866,210689365.92276666,1.1484899407225024,1.01,1.1599748401297274,1.227599882521418,1.0,1.4239849774710542,2.220446049250313e-16,0.14848994072250243,0.010000000000000009,0.1599748401297274,0.22759988252141805,0.0,0.42398497747105424,0.13844798448654524,0.009950330853168092,0.1483983153397133,0.20506094806566988,0.0,0.3534592634053833,0.3916943162068408,0.028151280453940268,0.4198455966607809,0.5801544033392186,0.0,time_selection,True,complete_existing_truth
CO_active_eq_sto3g,primary,current_m3,current_m3,0.6127481451622522,516598986.2848441,516598986.2848441,533049026.4240849,573237653.784658,578970030.3225045,1.0753938669209755,1.01,1.0861478055901852,1.0318429586119446,1.0,1.1207339652100479,0.0,0.0753938669209755,0.010000000000000009,0.0861478055901852,0.03184295861194464,0.0,0.12073396521004787,0.07268698230945958,0.009950330853168092,0.08263731316262761,0.03134648359240404,0.0,0.11398379675503158,0.6376957460512997,0.08729601168272065,0.7249917577340198,0.27500824226598075,0.0,calibration,True,complete_existing_truth
CO_active_stretch150_sto3g,primary,current_m3,current_m3,0.8652659966787087,338482010.43392205,338482010.43392205,362791668.8334559,399939334.26033634,403938727.6029397,1.10239393188473,1.01,1.1134178712035774,1.0718196466877803,1.0,1.1933831493292788,0.0,0.10239393188473,0.010000000000000009,0.11341787120357738,0.07181964668778029,0.0,0.1933831493292788,0.09748411680340828,0.009950330853168092,0.10743444765657643,0.06935780846461316,0.0,0.17679225612118962,0.5514049028062843,0.056282617075417735,0.6076875198817023,0.3923124801182975,0.0,calibration,True,complete_existing_truth
HF_full_eq_sto3g,stress_test,current_m3,current_m3,0.148871685974198,217857453.1696019,217857453.1696019,466549222.40975195,463823391.8193374,468461625.7375308,0.9941574640799197,1.01,1.004099038720719,2.141534363970296,1.0,2.1503125962499605,0.0,-0.005842535920080327,0.010000000000000009,0.004099038720718928,1.1415343639702962,0.0,1.1503125962499605,-0.005859670304501983,0.009950330853168092,0.004090660548666159,0.7615225646269124,0.0,0.7656132251755785,-0.007653564635274138,0.012996550380756781,0.005342985745482708,0.9946570142545174,0.0,time_selection,True,complete_existing_truth
HF_full_stretch150_sto3g,stress_test,current_m3,current_m3,0.20600464713499966,160860033.9862181,160860033.9862181,334003547.0930502,334916449.94069874,338265614.44010574,1.0027332130319988,1.01,1.012760545162319,2.076361286369406,1.0,2.102856788337413,0.0,0.0027332130319988046,0.010000000000000009,0.012760545162318948,1.0763612863694059,0.0,1.1028567883374132,0.00272948459745178,0.009950330853168092,0.012679815450620016,0.7306169802052374,0.0,0.7432967956558573,0.003672132872634524,0.013386753328309848,0.017058886200944565,0.9829411137990556,0.0,time_selection,True,complete_existing_truth
