condition,formula,formal_order,protocol,qualified,failure_reasons,t_start,t_stop,free_order,r2,lambda_h_sector_centered_half_width,tau_start__lambda_h_sector_centered_half_width,tau_stop__lambda_h_sector_centered_half_width,lambda_group_half_width_sum,tau_start__lambda_group_half_width_sum,tau_stop__lambda_group_half_width_sum,lambda_pauli_nonidentity_l1,tau_start__lambda_pauli_nonidentity_l1,tau_stop__lambda_pauli_nonidentity_l1
active_equilibrium,joint_refine_r0_s0046,4,legacy_molecular_sensitivity,True,,0.02,0.034507053373351075,3.9998517893712062,0.9999999999319622,2.965603349033963,0.05931206698067926,0.10233423304930366,18.47285862483773,0.36945717249675464,0.6374439185256443,34.139120217697844,0.6827824043539569,1.1780404434713483
active_equilibrium,joint_refine_r0_s0046,4,shared_molecular,True,,0.06,0.12576573057683554,3.998580000956176,0.99999999417555,2.965603349033963,0.17793620094203777,0.37297127179236655,18.47285862483773,1.1083715174902637,2.3232525607953147,34.139120217697844,2.0483472130618705,4.293531395429186
active_equilibrium,m5_best,4,legacy_molecular_sensitivity,True,,0.034507053373351075,0.059536836625564964,4.001704353940608,0.9999998875925487,2.965603349033963,0.10233423304930366,0.17656264208766337,18.47285862483773,0.6374439185256443,1.0998155659541227,34.139120217697844,1.1780404434713483,2.0325352229415983
active_equilibrium,m5_best,4,shared_molecular,True,,0.06,0.12576573057683554,3.998567472281181,0.9999999960670667,2.965603349033963,0.17793620094203777,0.37297127179236655,18.47285862483773,1.1083715174902637,2.3232525607953147,34.139120217697844,2.0483472130618705,4.293531395429186
active_equilibrium,paper_new4,4,legacy_molecular_sensitivity,True,,0.02,0.034507053373351075,3.999944432244087,0.999999996126794,2.965603349033963,0.05931206698067926,0.10233423304930366,18.47285862483773,0.36945717249675464,0.6374439185256443,34.139120217697844,0.6827824043539569,1.1780404434713483
active_equilibrium,paper_new4,4,shared_molecular,True,,0.06,0.12576573057683554,3.9974009721300865,0.9999999804363383,2.965603349033963,0.17793620094203777,0.37297127179236655,18.47285862483773,1.1083715174902637,2.3232525607953147,34.139120217697844,2.0483472130618705,4.293531395429186
active_equilibrium,two_term_center,4,legacy_molecular_sensitivity,True,,0.02,0.034507053373351075,3.9991089286423454,0.9999999690050503,2.965603349033963,0.05931206698067926,0.10233423304930366,18.47285862483773,0.36945717249675464,0.6374439185256443,34.139120217697844,0.6827824043539569,1.1780404434713483
active_equilibrium,two_term_center,4,shared_molecular,True,,0.06,0.12576573057683554,3.9994553101741332,0.9999999992383823,2.965603349033963,0.17793620094203777,0.37297127179236655,18.47285862483773,1.1083715174902637,2.3232525607953147,34.139120217697844,2.0483472130618705,4.293531395429186
active_equilibrium,yoshida4,4,legacy_molecular_sensitivity,True,,0.02,0.034507053373351075,3.9996970462631523,0.9999999998383522,2.965603349033963,0.05931206698067926,0.10233423304930366,18.47285862483773,0.36945717249675464,0.6374439185256443,34.139120217697844,0.6827824043539569,1.1780404434713483
active_equilibrium,yoshida4,4,shared_molecular,True,,0.06,0.12576573057683554,3.9965209923907565,0.9999999649888508,2.965603349033963,0.17793620094203777,0.37297127179236655,18.47285862483773,1.1083715174902637,2.3232525607953147,34.139120217697844,2.0483472130618705,4.293531395429186
