condition,lambda_group_half_width_sum,lambda_h_ground_energy_difference,lambda_h_sector_centered_half_width,lambda_h_sector_maximum,lambda_h_sector_minimum,lambda_pauli_nonidentity_l1
active_equilibrium,18.47285862483773,8.881784197001252e-16,2.965603349033963,1.6853721653065303,-4.245834532761395,34.139120217697844
active_stretch150,19.33984192107232,1.7763568394002505e-15,1.9379558728040103,1.0804483119325408,-2.79546343367548,34.923207330135035
full_equilibrium,42.34877421691797,0.0,19.437353742532018,17.411551343093283,-21.463156141970757,74.70171787162863
full_stretch150,43.64915499023773,0.0,18.821680838632126,17.613400944398702,-20.02996073286555,74.54925934522794
