condition,state_id,direction_id,source_state_method,source_state_exact_overlap_probability,target_energy_error_hartree,direction_excitation_energy_hartree,excited_weight,phase_index,relative_phase_radians,normalization,energy_error_hartree,energy_variance_hartree2,hamiltonian_residual_2_norm,exact_ground_overlap_probability
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,cisd,0.9952719252813067,0.001,2.6314500992598826,0.00038001860657789347,0,0.0,1.0,0.0009999999999994458,0.0033690068627016956,0.05804314656099974,0.9996199813934222
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,cisd,0.9952719252813067,0.001,2.6314500992598826,0.00038001860657789347,1,1.5707963267948966,0.9999999999999999,0.001000000000000334,0.0033690068627016956,0.05804314656099974,0.9996199813934222
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,cisd,0.9952719252813067,0.001,2.6314500992598826,0.00038001860657789347,2,3.141592653589793,1.0,0.0009999999999994458,0.0033690068627016956,0.05804314656099974,0.9996199813934222
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,cisd,0.9952719252813067,0.001,2.6314500992598826,0.00038001860657789347,3,4.71238898038469,0.9999999999999999,0.001000000000000334,0.0033690068627016956,0.05804314656099974,0.9996199813934222
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,cisd,0.9952719252813067,0.005,2.6314500992598826,0.0019000930328894672,0,0.0,1.0,0.004999999999998117,0.016825034313495024,0.12971134997946412,0.9980999069671109
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,cisd,0.9952719252813067,0.005,2.6314500992598826,0.0019000930328894672,1,1.5707963267948966,1.0,0.004999999999999893,0.016825034313505682,0.1297113499795052,0.9980999069671107
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,cisd,0.9952719252813067,0.005,2.6314500992598826,0.0019000930328894672,2,3.141592653589793,1.0,0.004999999999998117,0.01682503431348792,0.12971134997943673,0.9980999069671112
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase3,cisd_orthogonal_component,cisd,0.9952719252813067,0.005,2.6314500992598826,0.0019000930328894672,3,4.71238898038469,1.0,0.004999999999999893,0.016825034313505682,0.1297113499795052,0.9980999069671107
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase0,cisd_orthogonal_component,cisd,0.9952719252813067,0.01,2.6314500992598826,0.0038001860657789345,0,0.0,1.0,0.009999999999998899,0.03360006862700615,0.18330321499364421,0.9961998139342213
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase1,cisd_orthogonal_component,cisd,0.9952719252813067,0.01,2.6314500992598826,0.0038001860657789345,1,1.5707963267948966,0.9999999999999999,0.010000000000001563,0.03360006862702036,0.18330321499368296,0.9961998139342209
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase2,cisd_orthogonal_component,cisd,0.9952719252813067,0.01,2.6314500992598826,0.0038001860657789345,2,3.141592653589793,0.9999999999999999,0.010000000000001563,0.03360006862702036,0.18330321499368296,0.9961998139342211
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase3,cisd_orthogonal_component,cisd,0.9952719252813067,0.01,2.6314500992598826,0.0038001860657789345,3,4.71238898038469,0.9999999999999999,0.010000000000001563,0.03360006862702036,0.18330321499368296,0.9961998139342209
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase0,cisd_orthogonal_component,cisd,0.9952719252813067,0.05,2.6314500992598826,0.019000930328894675,0,0.0,1.0,0.049999999999998046,0.16600034313502832,0.40743139684495144,0.9809990696711055
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase1,cisd_orthogonal_component,cisd,0.9952719252813067,0.05,2.6314500992598826,0.019000930328894675,1,1.5707963267948966,1.0,0.05000000000000071,0.16600034313505674,0.4074313968449863,0.9809990696711055
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase2,cisd_orthogonal_component,cisd,0.9952719252813067,0.05,2.6314500992598826,0.019000930328894675,2,3.141592653589793,1.0,0.05000000000000071,0.16600034313505319,0.407431396844982,0.9809990696711055
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase3,cisd_orthogonal_component,cisd,0.9952719252813067,0.05,2.6314500992598826,0.019000930328894675,3,4.71238898038469,1.0,0.05000000000000071,0.16600034313505674,0.4074313968449863,0.9809990696711055
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase0,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.001,1.8902665185601135,0.0005290259284504163,0,0.0,1.0,0.0009999999999985576,0.002327311010606792,0.04824221191660672,0.9994709740715497
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase1,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.001,1.8902665185601135,0.0005290259284504163,1,1.5707963267948966,1.0,0.0009999999999994458,0.0023273110106138972,0.04824221191668037,0.99947097407155
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase2,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.001,1.8902665185601135,0.0005290259284504163,2,3.141592653589793,1.0,0.0009999999999994458,0.0023273110106103445,0.048242211916643546,0.9994709740715497
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase3,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.001,1.8902665185601135,0.0005290259284504163,3,4.71238898038469,1.0,0.0009999999999994458,0.0023273110106138972,0.04824221191668037,0.99947097407155
N2_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase0,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.005,1.8902665185601135,0.0026451296422520813,0,0.0,1.0,0.004999999999999893,0.011616555053063138,0.10778012364561074,0.9973548703577482
N2_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase1,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.005,1.8902665185601135,0.0026451296422520813,1,1.5707963267948966,1.0,0.004999999999999893,0.01161655505306669,0.10778012364562721,0.9973548703577482
N2_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase2,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.005,1.8902665185601135,0.0026451296422520813,2,3.141592653589793,1.0,0.004999999999999005,0.011616555053059585,0.10778012364559425,0.9973548703577482
N2_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase3,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.005,1.8902665185601135,0.0026451296422520813,3,4.71238898038469,1.0,0.004999999999999893,0.01161655505306669,0.10778012364562721,0.9973548703577482
N2_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase0,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.01,1.8902665185601135,0.005290259284504163,0,0.0,1.0,0.010000000000000675,0.023183110106138827,0.1522600082298002,0.994709740715496
N2_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase1,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.01,1.8902665185601135,0.005290259284504163,1,1.5707963267948966,1.0,0.009999999999999787,0.023183110106135274,0.15226000822978855,0.994709740715496
N2_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase2,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.01,1.8902665185601135,0.005290259284504163,2,3.141592653589793,1.0,0.009999999999998899,0.02318311010612817,0.1522600082297652,0.9947097407154962
N2_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase3,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.01,1.8902665185601135,0.005290259284504163,3,4.71238898038469,1.0,0.009999999999999787,0.023183110106135274,0.15226000822978855,0.994709740715496
N2_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase0,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.05,1.8902665185601135,0.026451296422520813,0,0.0,1.0,0.049999999999998934,0.11391555053064906,0.3375137782826785,0.9735487035774795
N2_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase1,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.05,1.8902665185601135,0.026451296422520813,1,1.5707963267948966,1.0,0.049999999999998934,0.11391555053065261,0.33751377828268375,0.9735487035774797
N2_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase2,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.05,1.8902665185601135,0.026451296422520813,2,3.141592653589793,1.0,0.049999999999998934,0.11391555053064906,0.3375137782826785,0.9735487035774795
N2_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase3,rhf_orthogonal_component,rhf_determinant,0.9167701086898915,0.05,1.8902665185601135,0.026451296422520813,3,4.71238898038469,1.0,0.049999999999998934,0.11391555053065261,0.33751377828268375,0.9735487035774797
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,cisd,0.9226094636935972,0.001,1.0673795839907738,0.0009368738310144068,0,0.0,0.9999999999999999,0.0009999999999998899,0.0017157501504776462,0.041421614532483476,0.9990631261689861
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,cisd,0.9226094636935972,0.001,1.0673795839907738,0.0009368738310144068,1,1.5707963267948966,0.9999999999999999,0.001000000000000778,0.0017157501504829753,0.0414216145325478,0.9990631261689861
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,cisd,0.9226094636935972,0.001,1.0673795839907738,0.0009368738310144068,2,3.141592653589793,1.0,0.0009999999999998899,0.0017157501504794226,0.04142161453250492,0.9990631261689861
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,cisd,0.9226094636935972,0.001,1.0673795839907738,0.0009368738310144068,3,4.71238898038469,0.9999999999999999,0.001000000000000778,0.0017157501504829753,0.0414216145325478,0.9990631261689861
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,cisd,0.9226094636935972,0.005,1.0673795839907738,0.004684369155072034,0,0.0,1.0,0.004999999999999005,0.008558750752387212,0.09251351659291313,0.9953156308449287
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,cisd,0.9226094636935972,0.005,1.0673795839907738,0.004684369155072034,1,1.5707963267948966,0.9999999999999999,0.0050000000000003375,0.008558750752396094,0.09251351659296113,0.995315630844928
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,cisd,0.9226094636935972,0.005,1.0673795839907738,0.004684369155072034,2,3.141592653589793,1.0,0.004999999999999449,0.008558750752390765,0.09251351659293232,0.9953156308449287
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase3,cisd_orthogonal_component,cisd,0.9226094636935972,0.005,1.0673795839907738,0.004684369155072034,3,4.71238898038469,0.9999999999999999,0.0050000000000003375,0.008558750752396094,0.09251351659296113,0.995315630844928
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase0,cisd_orthogonal_component,cisd,0.9226094636935972,0.01,1.0673795839907738,0.009368738310144068,0,0.0,1.0,0.009999999999998455,0.017067501504778093,0.13064264810841095,0.9906312616898564
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase1,cisd_orthogonal_component,cisd,0.9226094636935972,0.01,1.0673795839907738,0.009368738310144068,1,1.5707963267948966,0.9999999999999999,0.010000000000000231,0.01706750150478875,0.13064264810845175,0.9906312616898564
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase2,cisd_orthogonal_component,cisd,0.9226094636935972,0.01,1.0673795839907738,0.009368738310144068,2,3.141592653589793,1.0000000000000002,0.00999999999999801,0.017067501504778093,0.13064264810841095,0.9906312616898566
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase3,cisd_orthogonal_component,cisd,0.9226094636935972,0.01,1.0673795839907738,0.009368738310144068,3,4.71238898038469,0.9999999999999999,0.010000000000000231,0.01706750150478875,0.13064264810845175,0.9906312616898564
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase0,cisd_orthogonal_component,cisd,0.9226094636935972,0.05,1.0673795839907738,0.04684369155072034,0,0.0,1.0000000000000002,0.049999999999998934,0.08333750752392532,0.2886823644144639,0.9531563084492803
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase1,cisd_orthogonal_component,cisd,0.9226094636935972,0.05,1.0673795839907738,0.04684369155072034,1,1.5707963267948966,1.0,0.04999999999999982,0.0833375075239271,0.288682364414467,0.9531563084492801
