condition,direction_id,target_energy_error_hartree,state_count,energy_error_spread_hartree,variance_spread_hartree2,residual_spread,overlap_probability_spread,selected_formulae,selection_changes_with_phase,maximum_direct_formula_choice_regret,current_m3_relative_time_span,yoshida4_relative_time_span,current_m3_relative_model_cost_span,yoshida4_relative_model_cost_span,constructive_counterexample
N2_active_eq_sto3g,cisd_orthogonal_component,0.001,4,8.881784197001252e-16,0.0,0.0,0.0,current_m3,False,0.0,0.07538903157576668,0.007520284979220214,0.06504673630908586,0.007594375037356471,True
N2_active_eq_sto3g,cisd_orthogonal_component,0.005,4,1.7763568394002505e-15,1.7763568394002505e-14,6.847300504375653e-14,4.440892098500626e-16,current_m3,False,0.0,0.18944244885210063,0.016991255961844264,0.15939332590892147,0.017080114115703336,True
N2_active_eq_sto3g,cisd_orthogonal_component,0.01,4,2.6645352591003757e-15,1.4210854715202004e-14,3.8746783559417963e-14,4.440892098500626e-16,current_m3,False,0.0,0.3168332624415141,0.024064570773753246,0.25333551505246216,0.02427373496213769,True
N2_active_eq_sto3g,cisd_orthogonal_component,0.05,4,2.6645352591003757e-15,2.842170943040401e-14,3.4861002973229915e-14,0.0,current_m3,False,0.0,1.0447574690446437,0.055351481910129244,1.1634131712825677,0.055725194907323826,True
N2_active_eq_sto3g,rhf_orthogonal_component,0.001,4,8.881784197001252e-16,7.105427357601002e-15,7.364941989607132e-14,2.220446049250313e-16,current_m3,False,0.0,0.6976504980511046,0.00876281004010074,1.084858058604322,0.008831219483320054,True
N2_active_eq_sto3g,rhf_orthogonal_component,0.005,4,8.881784197001252e-16,7.105427357601002e-15,3.2959746043559335e-14,0.0,current_m3,False,0.0,1.0953378732320584,0.019755175159235472,0.6756524038093895,0.01985599028387858,True
N2_active_eq_sto3g,rhf_orthogonal_component,0.01,4,1.7763568394002505e-15,1.0658141036401503e-14,3.499978085130806e-14,2.220446049250313e-16,current_m3,False,0.0,1.1136858664085183,0.028067722119562634,1.5629583097522395,0.028197181097895603,True
N2_active_eq_sto3g,rhf_orthogonal_component,0.05,4,0.0,3.552713678800501e-15,5.2735593669694936e-15,2.220446049250313e-16,current_m3,False,0.0,1.0419636852723608,0.06380069876955807,1.4634130485155028,0.06417407475679415,True
N2_active_stretch150_sto3g,cisd_orthogonal_component,0.001,4,8.881784197001252e-16,5.329070518200751e-15,6.432354648922001e-14,0.0,current_m3,False,0.0,0.2187398856403064,0.013698630136986337,0.17569967500017133,0.013716844453739961,True
N2_active_stretch150_sto3g,cisd_orthogonal_component,0.005,4,1.3322676295501878e-15,8.881784197001252e-15,4.8003268027230206e-14,6.661338147750939e-16,current_m3,False,0.0,0.958520566885586,0.030871858516909847,1.426718376798556,0.030921973809989116,True
