pf,model,condition_count,four_metric_passed,strict_frozen_budget_passed_before_margin,margin_adjusted_passed_on_saved_conditions,empirical_uniform_cost_multiplier,short_time_proxy_points_over_17_conditions,direct_fit_points_over_17_conditions,total_calibration_points_over_17_conditions,minimum_calibration_points_per_condition,maximum_calibration_points_per_condition,total_calibration_seconds_over_17_conditions,median_calibration_seconds_per_condition,equal_one_run_basket_quantum_cost,minimum_quantum_cost_ratio_to_current_m3_two_term,median_quantum_cost_ratio_to_current_m3_two_term,maximum_quantum_cost_ratio_to_current_m3_two_term,condition_count_cheaper_than_current_m3_two_term,equal_one_run_basket_cost_ratio_to_current_m3_two_term
current_m3,original_one_term,17,3,17,17,1.0,86,51,137,8,9,211.53492418600945,0.19070178898982704,1837181620.688673,1.0067278961927244,1.0151935791865325,1.0481532941463763,0,1.0129513392375697
current_m3,refit_one_term,17,3,17,17,1.0,86,51,137,8,9,211.53492418600945,0.19070178898982704,1836276884.7515535,1.006443837683642,1.0145598759649632,1.0462729523557983,0,1.012452502612578
current_m3,two_term,17,16,17,17,1.0,86,51,137,8,9,211.53492418600945,0.19070178898982704,1813691881.854351,1.0,1.0,1.0,0,1.0
two_term_center,original_one_term,17,11,17,17,1.0,85,51,136,8,8,212.60991901095258,0.18585353501839563,2097935600.9603455,1.149582649833586,1.1592586674004595,1.1970345885310936,0,1.1567210626842408
two_term_center,refit_one_term,17,12,17,17,1.0,85,51,136,8,8,212.60991901095258,0.18585353501839563,2097457529.6940682,1.1493602097098627,1.1587733391451178,1.19591586856159,0,1.1564574725612105
two_term_center,two_term,17,17,9,17,1.0001234080738037,85,51,136,8,8,212.60991901095258,0.18585353501839563,2085392427.7811556,1.1442456378304369,1.1501889024267202,1.175105030616536,0,1.1498052390514166
